Symbol / Rank,Theme,2022-12-03 00:00:00,2022-12-10 00:00:00,2022-12-17 00:00:00,2023-01-01 00:00:00,2023-01-12 00:00:00,2023-01-31 00:00:00,2023-02-14 00:00:00,2023-02-28 00:00:00,2023-03-13 00:00:00,2023-03-31 00:00:00,2023-04-14 00:00:00,2023-04-30 00:00:00,2023-05-16 00:00:00,2023-05-31 00:00:00,2023-06-14 00:00:00,2023-06-30 00:00:00,2023-07-13 00:00:00,14Jul23_PUp,2023-07-29 00:00:00,2023-08-13 00:00:00,2023-08-31 00:00:00,2023-09-13 00:00:00,2023-09-29 00:00:00,2023-10-13 00:00:00,2023-10-31 00:00:00,2023-11-12 00:00:00,2023-11-30 00:00:00,2023-12-14 00:00:00,2023-12-31 00:00:00,2024-01-13 00:00:00,2024-01-31 00:00:00,2024-02-13 00:00:00,2024-02-29 00:00:00,2024-03-29 00:00:00,2024-04-30 00:00:00,2024-05-31 00:00:00,2024-06-28 00:00:00,2024-07-31 00:00:00,2024-08-31 00:00:00,2024-09-29 00:00:00,2024-10-31 00:00:00,2024-11-30 00:00:00,2024-12-31 00:00:00,2025-02-01 00:00:00,2025-02-28 00:00:00,2025-03-31 00:00:00,2025-04-30 00:00:00,2025-05-31 00:00:00,2025-06-30 00:00:00,2025-07-31 00:00:00,2025-08-31 00:00:00,2025-09-30 00:00:00,2025-10-31 00:00:00,2025-11-30 00:00:00,2025-12-31 00:00:00,2026-01-31 00:00:00,note
ORKLAINDIA,cross-sector (no rank) · group 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PWL,cross-sector (no rank) · group 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKFINDUS,cross-sector (no rank) · group 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUDEEPPHRM,cross-sector (no rank) · group 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMCV,cross-sector (no rank) · group 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAKEFIT,cross-sector (no rank) · group 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross-Sector (no Rank) · Group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTAELE,cross-sector (no rank) · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANHLIFE,cross-sector (no rank) · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPPLUS,cross-sector (no rank) · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPACKPEB,cross-sector (no rank) · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIAMC,cross-sector (no rank) · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KSHINTL,cross-sector (no rank) · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOTUSDEV,cross-sector (no rank) · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDWESTLTD,cross-sector (no rank) · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACEDIGITK,cross-sector (no rank) · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUBICON,cross-sector (no rank) · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STUDDS,cross-sector (no rank) · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACAP,cross-sector (no rank) · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUALT,cross-sector (no rank) · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEWORK,cross-sector (no rank) · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross-Sector (no Rank) · Group 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUESTONE,cross-sector (no rank) · group 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIRAMALFIN,cross-sector (no rank) · group 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIKRAMSOLR,cross-sector (no rank) · group 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross-Sector · Group 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGFA,cross-sector · group 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,21.0,15.0,20.0,15.0,10.0,20.0,23.0,11.0,6.0,8.0,9.0,12.0,8.0,
DYNAMATECH,cross-sector · group 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,38.0,18.0,36.0,42.0,69.0,65.0,66.0,60.0,65.0,70.0,49.0,28.0,11.0,21.0,15.0,
RPTECH,cross-sector · group 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,78.0,67.0,81.0,76.0,82.0,88.0,78.0,54.0,54.0,50.0,28.0,20.0,
CARRARO,cross-sector · group 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,75.0,36.0,20.0,21.0,18.0,35.0,26.0,
BBOX,cross-sector · group 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,2.0,5.0,21.0,36.0,42.0,42.0,35.0,47.0,50.0,44.0,27.0,30.0,44.0,39.0,31.0,
CEIGALL,cross-sector · group 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,83.0,87.0,95.0,97.0,95.0,94.0,78.0,90.0,76.0,53.0,39.0,
E2E,cross-sector · group 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,7.0,17.0,33.0,43.0,50.0,54.0,65.0,70.0,56.0,27.0,64.0,91.0,91.0,57.0,
SURAKSHA,cross-sector · group 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,67.0,62.0,59.0,57.0,66.0,76.0,60.0,
RAYMONDLSL,cross-sector · group 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,100.0,100.0,98.0,97.0,87.0,76.0,71.0,69.0,88.0,67.0,
SOTL,cross-sector · group 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,50.0,47.0,61.0,77.0,87.0,83.0,81.0,88.0,86.0,68.0,64.0,72.0,68.0,71.0,67.0,
XPROINDIA,cross-sector · group 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,12.0,19.0,34.0,43.0,30.0,55.0,58.0,65.0,62.0,60.0,63.0,59.0,85.0,92.0,71.0,
UNIECOM,cross-sector · group 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,90.0,95.0,92.0,96.0,96.0,70.0,63.0,79.0,68.0,62.0,74.0,
FIRSTCRY,cross-sector · group 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,94.0,98.0,99.0,99.0,98.0,89.0,86.0,85.0,92.0,96.0,88.0,
OLAELEC,cross-sector · group 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,97.0,99.0,99.0,100.0,100.0,93.0,75.0,86.0,96.0,87.0,92.0,
AFCONS,cross-sector · group 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,87.0,94.0,85.0,68.0,58.0,72.0,78.0,83.0,secondary
Cross-Sector · Group 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYUNDAI,cross-sector · group 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,31.0,6.0,15.0,11.0,6.0,17.0,22.0,23.0,25.0,
STLTECH,cross-sector · group 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,91.0,90.0,82.0,87.0,89.0,85.0,78.0,19.0,10.0,10.0,10.0,10.0,18.0,35.0,27.0,
SANOFICONR,cross-sector · group 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,17.0,15.0,13.0,52.0,49.0,60.0,65.0,64.0,71.0,65.0,
UNIMECH,cross-sector · group 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,71.0,57.0,59.0,62.0,91.0,92.0,82.0,
Cross-Sector · Group 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHAPURMIN,cross-sector · group 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,73.0,54.0,13.0,29.0,29.0,26.0,22.0,32.0,15.0,6.0,2.0,3.0,4.0,2.0,14.0,
POCL,cross-sector · group 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,9.0,12.0,25.0,43.0,39.0,26.0,36.0,23.0,2.0,9.0,9.0,7.0,7.0,2.0,16.0,
ZOTA,cross-sector · group 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,3.0,4.0,8.0,5.0,3.0,9.0,7.0,8.0,3.0,4.0,3.0,6.0,20.0,
VINCOFE,cross-sector · group 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.0,29.0,26.0,36.0,20.0,10.0,4.0,6.0,8.0,7.0,8.0,13.0,24.0,
AIIL,cross-sector · group 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,12.0,11.0,4.0,14.0,7.0,7.0,1.0,3.0,1.0,2.0,3.0,8.0,16.0,5.0,26.0,
AGARWALEYE,cross-sector · group 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,20.0,14.0,4.0,12.0,38.0,
GALLANTT,cross-sector · group 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,14.0,28.0,17.0,17.0,6.0,5.0,5.0,6.0,1.0,11.0,7.0,33.0,15.0,27.0,43.0,
IKS,cross-sector · group 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,72.0,88.0,71.0,49.0,32.0,39.0,43.0,
QPOWER,cross-sector · group 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,1.0,12.0,32.0,49.0,
PENIND,cross-sector · group 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,12.0,27.0,44.0,24.0,12.0,20.0,16.0,12.0,11.0,9.0,15.0,8.0,27.0,42.0,61.0,
TRANSRAILL,cross-sector · group 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,8.0,13.0,9.0,11.0,37.0,59.0,68.0,
KRN,cross-sector · group 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,33.0,20.0,46.0,67.0,53.0,29.0,39.0,57.0,77.0,
AFCONS,cross-sector · group 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,87.0,94.0,85.0,68.0,58.0,72.0,78.0,83.0,
Cross-Sector · Group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMARTWORKS,cross-sector · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,
HDBFS,cross-sector · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,54.0,
MARATHON,cross-sector · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,26.0,65.0,46.0,38.0,58.0,22.0,16.0,16.0,40.0,35.0,40.0,54.0,63.0,
ENRIN,cross-sector · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,71.0,
CRIZAC,cross-sector · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,
INDIQUBE,cross-sector · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,
ANTHEM,cross-sector · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,
EBGNG,cross-sector · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,
RAYMONDREL,cross-sector · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,81.0,
ABLBL,cross-sector · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,87.0,
BRIGHOTEL,cross-sector · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,
ELLEN,cross-sector · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,98.0,
Cross-Sector · Group 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFOCUS,cross-sector · group 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,48.0,43.0,75.0,64.0,80.0,44.0,62.0,30.0,24.0,20.0,7.0,9.0,11.0,3.0,3.0,
NORTHARC,cross-sector · group 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,39.0,60.0,34.0,35.0,23.0,21.0,20.0,16.0,27.0,8.0,
MUTHOOTMF,cross-sector · group 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,95.0,93.0,97.0,81.0,98.0,95.0,69.0,67.0,51.0,54.0,14.0,24.0,18.0,
GMRAIRPORT,cross-sector · group 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,78.0,64.0,57.0,22.0,44.0,45.0,33.0,35.0,38.0,27.0,7.0,11.0,19.0,
THELEELA,cross-sector · group 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,32.0,
AWL,cross-sector · group 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,90.0,77.0,87.0,74.0,71.0,75.0,82.0,92.0,78.0,82.0,75.0,70.0,64.0,73.0,73.0,
BAJAJHFL,cross-sector · group 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,50.0,72.0,65.0,75.0,88.0,89.0,86.0,84.0,87.0,80.0,
PATELENG,cross-sector · group 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,85.0,91.0,78.0,69.0,90.0,71.0,94.0,95.0,96.0,94.0,92.0,92.0,81.0,95.0,85.0,
SPICEJET,cross-sector · group 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,51.0,65.0,66.0,60.0,76.0,73.0,93.0,96.0,97.0,97.0,100.0,93.0,94.0,95.0,99.0,
Cross-Sector · Group 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMSPHARMA,cross-sector · group 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,53.0,52.0,65.0,51.0,35.0,50.0,61.0,62.0,66.0,34.0,12.0,10.0,6.0,
IIFLCAPS,cross-sector · group 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,24.0,32.0,45.0,55.0,32.0,20.0,19.0,25.0,46.0,30.0,35.0,21.0,16.0,
KRBL,cross-sector · group 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,70.0,72.0,64.0,61.0,40.0,20.0,13.0,12.0,12.0,7.0,30.0,27.0,19.0,25.0,33.0,
INTERARCH,cross-sector · group 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,14.0,28.0,2.0,9.0,7.0,9.0,24.0,22.0,19.0,23.0,34.0,
SKYGOLD,cross-sector · group 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,5.0,6.0,3.0,6.0,16.0,12.0,45.0,53.0,69.0,79.0,40.0,66.0,39.0,38.0,
FOSECOIND,cross-sector · group 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,59.0,45.0,56.0,62.0,24.0,16.0,12.0,6.0,17.0,17.0,29.0,31.0,45.0,
ITCHOTELS,cross-sector · group 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,35.0,47.0,48.0,56.0,55.0,
TMPV,cross-sector · group 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,82.0,67.0,63.0,
EPACK,cross-sector · group 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.0,16.0,30.0,38.0,68.0,50.0,47.0,78.0,86.0,94.0,90.0,98.0,
Cross-Sector · Group 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANATHAN,cross-sector · group 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,8.0,15.0,37.0,39.0,39.0,31.0,
HEXT,cross-sector · group 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,72.0,74.0,61.0,52.0,36.0,
EUREKAFORB,cross-sector · group 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,30.0,36.0,25.0,23.0,23.0,40.0,12.0,24.0,39.0,32.0,35.0,44.0,26.0,24.0,38.0,
BHARTIHEXA,cross-sector · group 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,7.0,12.0,2.0,3.0,4.0,9.0,14.0,29.0,26.0,31.0,26.0,46.0,
AKUMS,cross-sector · group 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,97.0,95.0,94.0,63.0,71.0,86.0,96.0,95.0,95.0,92.0,82.0,71.0,
INDGN,cross-sector · group 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,33.0,33.0,49.0,48.0,55.0,74.0,65.0,67.0,77.0,74.0,64.0,72.0,
JUNIPER,cross-sector · group 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,81.0,89.0,72.0,81.0,91.0,77.0,67.0,60.0,78.0,92.0,74.0,75.0,
SHAKTIPUMP,cross-sector · group 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,3.0,10.0,5.0,4.0,10.0,21.0,49.0,49.0,62.0,66.0,71.0,88.0,83.0,87.0,
COHANCE,cross-sector · group 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,60.0,70.0,88.0,92.0,99.0,100.0,100.0,100.0,
Cross-Sector · Group 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIVABUPA,cross-sector · group 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,49.0,36.0,52.0,48.0,89.0,65.0,54.0,37.0,
SUNDRMFAST,cross-sector · group 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,83.0,91.0,81.0,69.0,85.0,84.0,73.0,70.0,80.0,66.0,65.0,81.0,68.0,60.0,39.0,
TRAVELFOOD,cross-sector · group 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,
TARC,cross-sector · group 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,23.0,64.0,90.0,84.0,84.0,64.0,68.0,43.0,38.0,59.0,67.0,73.0,83.0,38.0,42.0,
JSWHL,cross-sector · group 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,9.0,2.0,1.0,1.0,2.0,3.0,5.0,18.0,38.0,50.0,56.0,42.0,36.0,48.0,
ACMESOLAR,cross-sector · group 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,26.0,13.0,9.0,13.0,20.0,64.0,41.0,50.0,
ALIVUS,cross-sector · group 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,32.0,15.0,14.0,37.0,45.0,53.0,72.0,73.0,84.0,76.0,63.0,52.0,
SHARDAMOTR,cross-sector · group 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,39.0,63.0,47.0,51.0,66.0,55.0,48.0,59.0,42.0,42.0,28.0,35.0,47.0,45.0,54.0,
AJAXENGG,cross-sector · group 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,51.0,84.0,55.0,65.0,77.0,
Cross-Sector · Group 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHERENERG,cross-sector · group 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,5.0,
AEGISVOPAK,cross-sector · group 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,39.0,
CEMPRO,cross-sector · group 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,12.0,12.0,32.0,47.0,
SWANCORP,cross-sector · group 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,58.0,66.0,62.0,57.0,
SKIPPER,cross-sector · group 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,7.0,13.0,22.0,21.0,24.0,29.0,37.0,37.0,34.0,24.0,30.0,45.0,56.0,63.0,77.0,
IGIL,cross-sector · group 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,90.0,86.0,92.0,82.0,84.0,80.0,82.0,
OSWALPUMPS,cross-sector · group 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,98.0,
LAXMIDENTL,cross-sector · group 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,86.0,98.0,98.0,97.0,98.0,100.0,
IKS,cross-sector · group 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,72.0,88.0,71.0,49.0,32.0,39.0,43.0,secondary
Cross-Sector · Group 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLACKBUCK,cross-sector · group 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,43.0,25.0,6.0,5.0,6.0,4.0,6.0,14.0,
EMCURE,cross-sector · group 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,64.0,61.0,81.0,32.0,58.0,26.0,19.0,33.0,34.0,26.0,28.0,16.0,
FILATEX,cross-sector · group 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,47.0,74.0,83.0,93.0,82.0,49.0,55.0,43.0,41.0,40.0,22.0,56.0,64.0,54.0,
NTPCGREEN,cross-sector · group 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,86.0,80.0,52.0,78.0,72.0,83.0,72.0,83.0,
SAMBHV,cross-sector · group 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,84.0,
DAMCAPITAL,cross-sector · group 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,99.0,76.0,80.0,55.0,87.0,91.0,88.0,
Defence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTARTECH,defence,,,,,,,,,,,,20.0,,16.0,,27.0,,,14.0,15.0,11.0,10.0,22.0,24.0,30.0,33.0,53.0,55.0,62.0,62.0,72.0,72.0,81.0,86.0,88.0,86.0,86.0,87.0,86.0,,95.0,83.0,83.0,70.0,68.0,80.0,64.0,55.0,58.0,70.0,64.0,12.0,2.0,5.0,7.0,2.0,
BEL,defence,,,,,,,,,,,,20.0,,13.0,,7.0,,,7.0,7.0,13.0,15.0,12.0,12.0,18.0,19.0,12.0,12.0,3.0,2.0,10.0,11.0,6.0,9.0,5.0,1.0,5.0,9.0,20.0,,24.0,31.0,35.0,22.0,24.0,12.0,9.0,9.0,5.0,15.0,16.0,7.0,7.0,17.0,24.0,5.0,
