theme_id,theme_name,size,cohesion_pairwise_corr,A_symbols,B_symbols,top_outliers
IND::Electric Utilities::A::B,Electric Utilities - Cluster B,6,0.3196,"NTPC, POWERGRID","ADANIENSOL, ADANIGREEN","ADANIGREEN, ADANIENSOL, TORNTPOWER"
IND::Pharmaceuticals::B::A::B::A::B,Pharmaceuticals - Cluster B,6,0.2954,"BLUEJET, DIVISLAB","HIKAL, MARKSANS","HIKAL, MARKSANS, LAURUSLABS"
IND::Auto Parts & Equipment::B::A::A,Auto Parts & Equipment - Cluster A,6,0.2916,"ENDURANCE, ZFCVINDIA","ROLEXRINGS, SJS","SJS, ROLEXRINGS, TVSHLTD"
IND::Hotels,Hotels - Cluster s,6,0.2859,"CHALET, LEMONTREE","INDHOTEL, MHRIL","MHRIL, INDHOTEL, SAMHI"
IND::Pharmaceuticals::B::B::B::B,Pharmaceuticals - Cluster B,6,0.2808,"IPCALAB, MANKIND","ANUP, JBCHEPHARM","ANUP, JBCHEPHARM, PPLPHARMA"
IND::Housing Finance::A,Housing Finance - Cluster A,6,0.2573,"LICHSGFIN, REPCOHOME","AAVAS, LTF","LTF, AAVAS, PNBHOUSING"
IND::Auto Parts & Equipment::B::B::A::B,Auto Parts & Equipment - Cluster B,6,0.2456,"CIEINDIA, LGBBROSLTD","SSWL, VARROC","SSWL, VARROC, LUMAXIND"
IND::Pharmaceuticals::B::A::A,Pharmaceuticals - Cluster A,6,0.2162,"APLLTD, CIPLA","SPARC, WINDLAS","SPARC, WINDLAS, NATCOPHARM"
IND::Industrial Machinery::A::A,Industrial Machinery - Cluster A,6,0.1751,"TEAMLEASE, WENDT","3MINDIA, DOMS","DOMS, 3MINDIA, KIRLOSBROS"
IND::Furniture-Furnishing-Paints::B,Furniture-Furnishing-Paints - Cluster B,6,0.1679,"ASIANPAINT, INDIGOPNTS","AGI, AKZOINDIA","AGI, AKZOINDIA, BERGEPAINT"
IND::Finance (including NBFCs)::A,Finance (including NBFCs) - Cluster A,6,0.1629,"CGCL, MASFIN","FEDFINA, IRFC","IRFC, FEDFINA, PFS"
IND::Other Industrial Goods::B,Other Industrial Goods - Cluster B,6,0.1615,"ESABINDIA, SBCL","AIAENG, VESUVIUS","VESUVIUS, AIAENG, SKFINDIA"
IND::Specialty Chemicals::B,Specialty Chemicals - Cluster B,6,0.1109,"FINEORG, GALAXYSURF","NEOGEN, TATVA","TATVA, NEOGEN, CHEMPLASTS"
IND::General Insurance,General Insurance - Cluster e,6,0.0964,"GICRE, ICICIGI","AWFIS, STARHEALTH","AWFIS, STARHEALTH, PGIL"
IND::Department Stores,Department Stores - Cluster s,6,0.0721,"ABFRL, VMART","TRENT, V2RETAIL","V2RETAIL, TRENT, SHOPERSTOP"
IND::Household Appliances,Household Appliances - Cluster s,6,0.0269,"IFBIND, NYKAA","BAJAJELEC, CARTRADE","BAJAJELEC, CARTRADE, CARYSIL"
IND::Holding Companies,Holding Companies - Cluster s,6,0.0074,"BAJAJHLDNG, CHOLAHLDNG","ABCAPITAL, RANEHOLDIN","ABCAPITAL, RANEHOLDIN, JMFINANCIL"
IND::Cigarettes-Tobacco Products,Cigarettes-Tobacco Products - Cluster s,5,0.4706,ONESOURCE,GODFRYPHLP,"GODFRYPHLP, VMM, VSTIND"
IND::Aluminium and Aluminium Products,Aluminium and Aluminium Products - Cluster s,5,0.4482,HINDALCO,VEDL,"VEDL, HINDCOPPER, NATIONALUM"
IND::Life Insurance,Life Insurance - Cluster e,5,0.3513,HDFCLIFE,LICI,"LICI, MFSL, SBILIFE"
IND::Pharmaceuticals::B::B::A,Pharmaceuticals - Cluster A,5,0.3424,ABBOTINDIA,GLAND,"GLAND, SANOFI, GLAXO"
IND::Banks::A::B,Banks - Cluster B,5,0.3371,KTKBANK,DCBBANK,"DCBBANK, ICICIBANK, EQUITASBNK"
IND::Cement & Cement Products::A::B,Cement & Cement Products - Cluster B,5,0.3262,SHREECEM,ULTRACEMCO,"ULTRACEMCO, JKLAKSHMI, DALBHARAT"
IND::Restaurants,Restaurants - Cluster s,5,0.3245,DEVYANI,JUBLFOOD,"JUBLFOOD, WESTLIFE, SAPPHIRE"
IND::Auto Parts & Equipment::B::B::A::A,Auto Parts & Equipment - Cluster A,5,0.3119,JTEKTINDIA,MINDACORP,"MINDACORP, JAMNAAUTO, PRICOLLTD"
IND::Breweries & Distilleries::A,Breweries & Distilleries - Cluster A,5,0.2571,TRIVENI,CCL,"CCL, GODREJAGRO, LTFOODS"
IND::Internet Software & Services::B::A,Internet Software & Services - Cluster A,5,0.2375,SUNTV,AFFLE,"AFFLE, MPSLTD, ZEEL"
IND::Cement & Cement Products::B,Cement & Cement Products - Cluster B,5,0.2124,STARCEMENT,INDIACEM,"INDIACEM, NUVOCO, JKCEMENT"
IND::Other Electrical Equipment/Products::A,Other Electrical Equipment/Products - Cluster A,5,0.2057,WAAREEENER,RRKABEL,"RRKABEL, APARINDS, INDIGO"
IND::Internet Software & Services::A,Internet Software & Services - Cluster A,5,0.1994,AADHARHFC,ROUTE,"ROUTE, POLICYBZR, PAYTM"
IND::Furniture-Furnishing-Paints::A,Furniture-Furnishing-Paints - Cluster A,5,0.189,KANSAINER,GREENLAM,"GREENLAM, KAJARIACER, CERA"
