theme_id,theme_name,symbol,role,outlier_score,corr_with_theme_moves,med_abs_resid,rank_volatility,median_rank_norm,obs_months
IND::Commodity Chemicals,Commodity Chemicals - Cluster s,ACI,A,-0.8399,0.5335,0.0569,0.1877,0.672,50
IND::Commodity Chemicals,Commodity Chemicals - Cluster s,TIRUMALCHM,A,-0.2195,0.454,0.1522,0.2082,0.5443,38
IND::Commodity Chemicals,Commodity Chemicals - Cluster s,GHCL,Core,0.0677,0.1989,0.0849,0.2266,0.6324,43
IND::Commodity Chemicals,Commodity Chemicals - Cluster s,TATACHEM,Core,0.166,0.1629,0.1605,0.1056,0.7582,50
IND::Commodity Chemicals,Commodity Chemicals - Cluster s,DEEPAKNTR,Core,0.2226,0.4526,0.2578,0.2041,0.6559,50
IND::Commodity Chemicals,Commodity Chemicals - Cluster s,DEEPAKFERT,Core,0.3353,0.456,0.1808,0.3855,0.5537,50
IND::Commodity Chemicals,Commodity Chemicals - Cluster s,INDIAGLYCO,B,0.7373,0.3413,0.2548,0.3246,0.204,44
IND::Commodity Chemicals,Commodity Chemicals - Cluster s,NAVINFLUOR,B,0.9481,0.2507,0.2292,0.3783,0.6239,50
THEME::Cdmo,Cdmo - Cluster o,SAILIFE,A,-1.6569,0.936,0.0412,0.0852,0.183,11
THEME::Cdmo,Cdmo - Cluster o,SENORES,Core,-0.3183,0.9476,0.0591,0.0979,0.0518,11
THEME::Cdmo,Cdmo - Cluster o,GODIGIT,Core,0.6404,0.9251,0.0607,0.1511,0.3288,20
THEME::Cdmo,Cdmo - Cluster o,ACUTAAS,B,11.715,0.2923,0.0667,0.056,0.0688,12
IND::Marine Port & Services,Marine Port & Services - Cluster s,ADANIPORTS,A,-0.5059,0.7544,0.0604,0.2565,0.368,50
IND::Marine Port & Services,Marine Port & Services - Cluster s,JSWINFRA,Core,0.0323,0.6481,0.1714,0.1559,0.361,32
IND::Marine Port & Services,Marine Port & Services - Cluster s,GPPL,B,0.4971,0.4755,0.0903,0.2779,0.307,50
IND::Biotechnology,Biotechnology - Cluster y,CONCORDBIO,A,-4.2335,0.7232,0.0071,0.2505,0.4789,32
IND::Biotechnology,Biotechnology - Cluster y,ADVENZYMES,Core,-0.686,0.3753,0.0978,0.1579,0.6547,50
IND::Biotechnology,Biotechnology - Cluster y,BIOCON,B,0.4721,0.4254,0.1068,0.2681,0.4345,50
IND::Oil Marketing & Distribution,Oil Marketing & Distribution - Cluster n,GULFOILLUB,A,-1.2432,0.6705,0.106,0.1674,0.3249,50
IND::Oil Marketing & Distribution,Oil Marketing & Distribution - Cluster n,CASTROLIND,A,-0.8735,0.5215,0.0926,0.1828,0.5123,50
IND::Oil Marketing & Distribution,Oil Marketing & Distribution - Cluster n,OIL,Core,-0.4586,0.4668,0.0839,0.2403,0.4039,50
IND::Oil Marketing & Distribution,Oil Marketing & Distribution - Cluster n,AEGISLOG,Core,-0.0346,0.4194,0.1036,0.2062,0.3264,29
IND::Oil Marketing & Distribution,Oil Marketing & Distribution - Cluster n,ONGC,Core,0.0459,0.4007,0.105,0.2024,0.3416,50
IND::Oil Marketing & Distribution,Oil Marketing & Distribution - Cluster n,IOC,B,1.182,0.3679,0.1414,0.2184,0.4522,50
IND::Oil Marketing & Distribution,Oil Marketing & Distribution - Cluster n,PETRONET,B,1.568,0.3185,0.1425,0.2411,0.5773,50
IND::Construction & Engineering,Construction & Engineering - Cluster g,AHLUCONT,A,-1.1237,0.5703,0.0837,0.2112,0.376,50
IND::Construction & Engineering,Construction & Engineering - Cluster g,POWERMECH,A,-0.3456,0.3432,0.1328,0.2182,0.3744,50
IND::Construction & Engineering,Construction & Engineering - Cluster g,TEXRAIL,A,0.0232,0.2888,0.1295,0.2881,0.5274,50
IND::Construction & Engineering,Construction & Engineering - Cluster g,NBCC,Core,0.0368,0.1812,0.1699,0.1781,0.2984,50
IND::Construction & Engineering,Construction & Engineering - Cluster g,HGINFRA,Core,0.0922,0.3242,0.1627,0.2682,0.5987,50
IND::Construction & Engineering,Construction & Engineering - Cluster g,NCC,Core,0.637,0.4263,0.2193,0.3568,0.292,50
IND::Construction & Engineering,Construction & Engineering - Cluster g,KNRCON,B,0.8438,0.1824,0.2715,0.2128,0.7445,50
IND::Construction & Engineering,Construction & Engineering - Cluster g,LT,B,1.0813,-0.2145,0.2162,0.1774,0.2373,50
IND::Construction & Engineering,Construction & Engineering - Cluster g,PSPPROJECT,B,2.2801,-0.0583,0.384,0.2724,0.6345,49
IND::Agrochemicals,Agrochemicals - Cluster s,SUMICHEM,A,-1.4342,0.5199,0.0902,0.2724,0.6834,50
IND::Agrochemicals,Agrochemicals - Cluster s,PIIND,A,-1.3107,0.3491,0.0723,0.1719,0.6047,50
IND::Agrochemicals,Agrochemicals - Cluster s,RALLIS,A,-1.277,0.4971,0.1094,0.2344,0.6138,50
IND::Agrochemicals,Agrochemicals - Cluster s,SPLPETRO,Core,-0.5437,0.3555,0.1506,0.194,0.4528,50
IND::Agrochemicals,Agrochemicals - Cluster s,BAYERCROP,Core,-0.3829,0.3156,0.1574,0.1823,0.6233,50
IND::Agrochemicals,Agrochemicals - Cluster s,SHARDACROP,Core,-0.0492,0.4661,0.1972,0.3585,0.3983,50
IND::Agrochemicals,Agrochemicals - Cluster s,DHANUKA,Core,0.2558,0.273,0.196,0.2399,0.4471,50
IND::Agrochemicals,Agrochemicals - Cluster s,RAIN,Core,0.3356,0.2187,0.2067,0.1624,0.7736,36
IND::Agrochemicals,Agrochemicals - Cluster s,EPIGRAL,B,0.3948,0.2516,0.183,0.3175,0.3678,23
IND::Agrochemicals,Agrochemicals - Cluster s,ANURAS,B,1.25,0.3013,0.2778,0.3681,0.6569,50
IND::Agrochemicals,Agrochemicals - Cluster s,UPL,B,1.9429,-0.0443,0.2349,0.3686,0.6775,50
IND::Iron & Steel Products,Iron & Steel Products - Cluster s,SURYAROSNI,A,-0.9412,0.2716,0.0467,0.2016,0.613,38
IND::Iron & Steel Products,Iron & Steel Products - Cluster s,TIIL,A,-0.8559,0.5598,0.1291,0.2298,0.5007,38
IND::Iron & Steel Products,Iron & Steel Products - Cluster s,MIDHANI,A,-0.6635,0.5462,0.1256,0.2535,0.5093,50
IND::Iron & Steel Products,Iron & Steel Products - Cluster s,LINDEINDIA,Core,-0.5059,0.3921,0.0998,0.2545,0.5016,50
IND::Iron & Steel Products,Iron & Steel Products - Cluster s,WELCORP,Core,-0.2686,0.3316,0.2758,0.1759,0.1418,50
IND::Iron & Steel Products,Iron & Steel Products - Cluster s,USHAMART,Core,0.1705,0.2538,0.1712,0.2726,0.3411,50
IND::Iron & Steel Products,Iron & Steel Products - Cluster s,APLAPOLLO,B,0.3083,0.1756,0.1942,0.2609,0.3144,50
IND::Iron & Steel Products,Iron & Steel Products - Cluster s,HITECH,B,1.3167,-0.1612,0.2704,0.2762,0.6672,50
IND::Iron & Steel Products,Iron & Steel Products - Cluster s,VENUSPIPES,B,1.3972,-0.1879,0.2765,0.2775,0.6529,50
IND::Healthcare Facilities,Healthcare Facilities - Cluster s,MAXHEALTH,A,-1.317,0.6784,0.0791,0.1699,0.2422,50
IND::Healthcare Facilities,Healthcare Facilities - Cluster s,APOLLOHOSP,A,-1.275,0.2702,0.0511,0.1317,0.3356,50
IND::Healthcare Facilities,Healthcare Facilities - Cluster s,KIMS,A,-0.7097,0.6172,0.1092,0.2151,0.2879,50
IND::Healthcare Facilities,Healthcare Facilities - Cluster s,JLHL,Core,-0.6533,0.3249,0.0928,0.1859,0.5015,32
IND::Healthcare Facilities,Healthcare Facilities - Cluster s,NH,Core,-0.3771,0.5324,0.1236,0.2314,0.2332,50
IND::Healthcare Facilities,Healthcare Facilities - Cluster s,RAINBOW,Core,-0.3536,0.5617,0.1294,0.2317,0.3462,50
IND::Healthcare Facilities,Healthcare Facilities - Cluster s,ASTERDM,Core,-0.0289,0.5867,0.1478,0.266,0.2011,50
IND::Healthcare Facilities,Healthcare Facilities - Cluster s,FORTIS,Core,0.0523,0.0302,0.1527,0.1338,0.1704,50
IND::Healthcare Facilities,Healthcare Facilities - Cluster s,HCG,Core,0.141,0.4366,0.1641,0.23,0.346,50
IND::Healthcare Facilities,Healthcare Facilities - Cluster s,YATHARTH,Core,0.3152,0.3726,0.1842,0.2089,0.4239,32
IND::Healthcare Facilities,Healthcare Facilities - Cluster s,ARTEMISMED,Core,0.5588,-0.0896,0.1428,0.2234,0.1998,42
IND::Healthcare Facilities,Healthcare Facilities - Cluster s,MEDANTA,B,0.7014,0.4004,0.1971,0.2666,0.3071,50
IND::Healthcare Facilities,Healthcare Facilities - Cluster s,POLYMED,B,0.7166,0.1238,0.17,0.254,0.3769,50
IND::Healthcare Facilities,Healthcare Facilities - Cluster s,MEDPLUS,B,1.8843,0.2414,0.2853,0.2867,0.5806,50
IND::Auto Tyres & Rubber Products,Auto Tyres & Rubber Products - Cluster s,MRF,A,-0.9133,0.4756,0.0506,0.1995,0.4287,50
IND::Auto Tyres & Rubber Products,Auto Tyres & Rubber Products - Cluster s,APOLLOTYRE,Core,-0.5754,0.6822,0.0597,0.2142,0.4256,50
IND::Auto Tyres & Rubber Products,Auto Tyres & Rubber Products - Cluster s,CEATLTD,Core,0.2021,0.4485,0.0997,0.2194,0.3251,50
IND::Auto Tyres & Rubber Products,Auto Tyres & Rubber Products - Cluster s,BALKRISIND,Core,1.4501,0.145,0.2366,0.2147,0.5356,50
IND::Auto Tyres & Rubber Products,Auto Tyres & Rubber Products - Cluster s,JKTYRE,B,3.2065,0.6387,0.1121,0.3076,0.4991,38
IND::Textiles,Textiles - Cluster s,VTL,A,-1.0075,0.5347,0.0856,0.133,0.5476,50
IND::Textiles,Textiles - Cluster s,NITINSPIN,A,-0.9863,0.6376,0.0764,0.19,0.4822,49
IND::Textiles,Textiles - Cluster s,MAYURUNIQ,Core,-0.4705,0.3693,0.1071,0.1344,0.5385,50
IND::Textiles,Textiles - Cluster s,KPRMILL,Core,-0.1694,0.386,0.1133,0.1858,0.3839,50
IND::Textiles,Textiles - Cluster s,GOKEX,Core,0.077,0.4335,0.1225,0.2348,0.4853,50
IND::Textiles,Textiles - Cluster s,ICIL,Core,0.7535,0.3199,0.1729,0.2385,0.5698,38
IND::Textiles,Textiles - Cluster s,GARFIBRES,B,0.9543,0.1738,0.1701,0.2226,0.6175,50
IND::Textiles,Textiles - Cluster s,ARVIND,B,1.2412,0.2455,0.1988,0.2593,0.1958,50
IND::Roads & Highways,Roads & Highways - Cluster s,IRB,A,-0.5843,0.6985,0.0843,0.276,0.6342,50
IND::Roads & Highways,Roads & Highways - Cluster s,PNCINFRA,Core,-0.0245,0.6722,0.0942,0.225,0.6412,50
IND::Roads & Highways,Roads & Highways - Cluster s,ASHOKA,Core,4.8446,0.6591,0.1663,0.2792,0.3428,50
IND::Roads & Highways,Roads & Highways - Cluster s,GRINFRA,B,5.8304,0.0391,0.0876,0.1866,0.7622,50
IND::Commercial Vehicles,Commercial Vehicles - Cluster s,ESCORTS,A,-3.0524,0.529,0.0457,0.2031,0.3984,50
IND::Commercial Vehicles,Commercial Vehicles - Cluster s,VSTTILLERS,Core,-0.2119,0.5409,0.1154,0.229,0.3856,50
IND::Commercial Vehicles,Commercial Vehicles - Cluster s,ASHOKLEY,Core,0.0923,0.4571,0.1272,0.1843,0.3134,50
IND::Commercial Vehicles,Commercial Vehicles - Cluster s,BEML,Core,0.4629,0.2924,0.1192,0.2091,0.3923,50
