theme,size,cohesion_pairwise_corr,A_symbols,B_symbols,top_outliers
Banks_and_Regional_Lenders,9,0.3039,"AXISBANK, FEDERALBNK, INDIANB","CANBK, IDFCFIRSTB, PNB","IDFCFIRSTB, CANBK, PNB"
Pharma_CDMO_and_Lifesciences,8,0.1983,"LAURUSLABS, SENORES","STAR, TORNTPHARM","STAR, TORNTPHARM, SAILIFE"
NBFC_and_Credit_Platforms,7,0.2378,"CHOLAFIN, MANAPPURAM","LTF, SHRIRAMFIN","SHRIRAMFIN, LTF, BAJFINANCE"
Transport_and_Mobility,7,-0.0789,"ASHOKLEY, EICHERMOT","DELHIVERY, GESHIP","GESHIP, DELHIVERY, ADANIPORTS"
Capital_Markets_and_Wealth,6,0.1701,"BSE, MCX","IIFL, MFSL","IIFL, MFSL, 360ONE"
Steel_and_Engineering_Materials,6,0.2076,"HEG, JSWSTEEL","AIAENG, PGIL","AIAENG, PGIL, TATASTEEL"
Auto_Ancillaries_and_Components,5,-0.041,FIEMIND,MSUMI,"MSUMI, CRAFTSMAN, SJS"
Base_Metals_Mining_and_Commodities,5,0.1323,HINDALCO,VEDL,"VEDL, GMDCLTD, HINDZINC"
Power_and_Electrification,5,0.0078,WAAREEENER,MTARTECH,"MTARTECH, POWERINDIA, ADANIPOWER"
Luxury_and_Discretionary_Retail,5,0.0855,THANGAMAYL,V2RETAIL,"V2RETAIL, ETHOSLTD, AVL"
Telecom_and_Digital_Consumer,4,0.0224,BHARTIARTL,IDEA,"IDEA, PAYTM, ETERNAL"
Insurance_and_Protection_Finance,3,0.0697,SBILIFE,ABCAPITAL,"ABCAPITAL, HDFCLIFE, SBILIFE"
IT_Services_and_BPM,3,0.1914,ECLERX,SAGILITY,"SAGILITY, COFORGE, ECLERX"
Industrials_EMS_and_Precision,3,-0.0122,SHAILY,SYRMA,"SYRMA, AVALON, SHAILY"
Healthcare_Services_and_Diagnostics,3,0.1975,THYROCARE,ASTERDM,"ASTERDM, METROPOLIS, THYROCARE"
Alcobev,3,0.4298,RADICO,TI,"TI, ABDL, RADICO"
