theme_id,theme_label,theme_family,primary_size,total_size,secondary_additions,cohesion_primary,cohesion_with_secondary,dominant_sector,dominant_industry,sample_symbols
IND::Roads & Highways,Roads & Highways,Roads & Highways,4,7,3,0.0955,0.1792,Industrials,Roads & Highways,"ASHOKA, GRINFRA, HAPPYFORGE, IRB, KNRCON, NCC, PNCINFRA"
IND::Transportation - Logistics,Transportation - Logistics,Transportation - Logistics,5,7,2,0.0761,0.1775,Industrials,Transportation - Logistics,"BLUEDART, DELHIVERY, GATEWAY, MAHLOG, MMFL, RRKABEL, VRLLOG"
IND::Auto Tyres & Rubber Products,Auto Tyres & Rubber Products,Auto Tyres & Rubber Products,5,6,1,0.1866,0.1666,Consumer Cyclical,Auto Tyres & Rubber Products,"APOLLOTYRE, AVL, BALKRISIND, CEATLTD, JKTYRE, MRF"
IND::Houseware,Houseware,Houseware,5,6,1,0.1755,0.118,Consumer Cyclical,Houseware,"BORORENEW, CAMPUS, LAOPALA, PNGJL, STOVEKRAFT, TTKPRESTIG"
IND::Pharmaceuticals::B::A::A,Pharmaceuticals · Group 4,Pharmaceuticals,6,6,0,0.2007,0.2007,Healthcare,Pharmaceuticals,"APLLTD, CAPLIPOINT, CIPLA, NATCOPHARM, SPARC, WINDLAS"
IND::Electric Utilities::B,Electric Utilities · Group 2,Electric Utilities,4,5,1,0.1557,0.1552,Industrials,Electric Utilities,"AHLUCONT, INOXGREEN, INOXWIND, KPIL, TECHNOE"
IND::Other Food Products,Other Food Products,Other Food Products,3,5,2,-0.0106,0.1759,Consumer Defensive,Other Food Products,"AVANTIFEED, EIDPARRY, GODFRYPHLP, MANORAMA, MARICO"
IND::Paper & Paper Products,Paper & Paper Products,Paper & Paper Products,3,5,2,0.0871,0.21,Basic Materials,Paper & Paper Products,"FINEORG, JKPAPER, SURYAROSNI, TCPLPACK, WSTCSTPAPR"
IND::Biotechnology,Biotechnology,Biotechnology,3,4,1,0.033,0.1337,Healthcare,Biotechnology,"ADVENZYMES, AMRUTANJAN, BIOCON, CONCORDBIO"
THEME::Cdmo,CDMO,CDMO,4,4,0,0.4521,0.4521,,,"ACUTAAS, GODIGIT, SAILIFE, SENORES"
IND::Containers & Packaging,Containers & Packaging,Containers & Packaging,3,4,1,-0.0185,0.1099,Consumer Cyclical,Containers & Packaging,"EPL, GRWRHITECH, MAYURUNIQ, MOLDTKPAC"
IND::Exchange,Exchange,Exchange,3,4,1,0.0996,0.1436,Financial Services,Exchange,"BSE, CDSL, IEX, MCX"
IND::IT Consulting & Software::B::B::B,IT Consulting & Software · Group 3,IT Consulting & Software,4,4,0,0.1996,0.1996,Technology,IT Consulting & Software,"ECLERX, NETWEB, NEWGEN, OFSS"
IND::IT Consulting & Software::A,IT Consulting & Software · Group 4,IT Consulting & Software,3,4,1,0.3025,0.3359,Technology,Capital Markets,"CAMS, FSL, KFINTECH, RAMCOSYS"
IND::Marine Port & Services,Marine Port & Services,Marine Port & Services,3,4,1,0.2623,0.296,Industrials,Marine Port & Services,"ADANIPORTS, GPPL, JSWINFRA, TEXRAIL"
IND::Auto Parts & Equipment::A,Auto Parts & Equipment · Group 4,Auto Parts & Equipment,3,3,0,0.1523,0.1523,Industrials,Auto Parts & Equipment,"GREAVESCOT, SANDHAR, SUNCLAY"
UNCLASSIFIED::NoRank,Cross-sector (no Rank) · Group 4,Cross-sector (no Rank),3,3,0,,,,,"BLUESTONE, PIRAMALFIN, VIKRAMSOLR"
IND::IT Consulting & Software::B::A,IT Consulting & Software · Group 5,IT Consulting & Software,3,3,0,0.2846,0.2846,Technology,Commodity Trading & Distribution,"ADANIENT, HAPPSTMNDS, REDINGTON"
IND::Realty::A,Realty · Group 2,Realty,3,3,0,0.0699,0.0699,Real Estate,Realty,"ARVSMART, MAHLIFE, NESCO"
