Symbol,Theme,source,confidence,sector_mode,industry_mode,debug_theme,locked,rank_move_corr,rank_resid,rank_obs,needs_review,review_reasons,review_priority,ff_mcap_med
ENDURANCE,Auto Comp,theme_park_manual,0.94,Consumer Cyclical,Auto Parts & Equipment,Auto Comp,False,0.2681218626263421,0.0975,50,False,,6.0,8544.3
FIEMIND,Auto Comp,theme_park_manual,0.94,Consumer Cyclical,Auto Parts & Equipment,Auto Comp,False,0.4004742666489543,0.0775,38,False,,6.0,2598.08
LUMAXTECH,Auto Comp,theme_park_manual,0.94,Consumer Cyclical,Auto Parts & Equipment,Auto Comp,False,0.2694083735040076,0.13,50,False,,6.0,4042.11
MOTHERSON,Auto Comp,theme_park_manual,0.94,Consumer Cyclical,Auto Parts & Equipment,Auto Comp,False,0.3552878256053348,0.165,50,False,,6.0,61183.59
MSUMI,Auto Comp,theme_park_manual,0.94,Consumer Cyclical,Auto Parts & Equipment,Auto Comp,False,0.0173395551791209,0.16,50,False,,6.0,10956.33
SHRIPISTON,Auto Comp,theme_park_manual,0.94,Consumer Cyclical,Industrial Machinery,Auto Comp,False,0.6913535659116363,0.1,36,False,,6.0,6814.01
SJS,Auto Comp,theme_park_manual,0.94,Consumer Cyclical,Auto Parts & Equipment,Auto Comp,False,0.5883605310645869,0.0975,50,False,,6.0,4195.66
ARE&M,Auto Components - Body / Thermal / Interior - Large Cap,industry_mode|granular_split,0.92,Industrials,Auto Parts & Equipment,,False,0.3129035077559731,0.28,39,True,rank_residual_flag,14.0,10316.68
ASAHIINDIA,Auto Components - Body / Thermal / Interior - Large Cap,industry_mode|granular_split,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.2585416964411021,0.225,50,True,rank_residual_flag,14.0,12371.56
CIEINDIA,Auto Components - Body / Thermal / Interior - Large Cap,industry_mode|granular_split,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.2382801919024729,0.16,48,False,,8.0,5441.67
GABRIEL,Auto Components - Body / Thermal / Interior - Large Cap,industry_mode|granular_split,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.0255498149373241,0.28,50,True,rank_residual_flag,14.0,6028.04
JAMNAAUTO,Auto Components - Body / Thermal / Interior - Mid Cap,industry_mode|granular_split,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.2720937946788688,0.23,50,True,rank_residual_flag,14.0,2487.83
LGBBROSLTD,Auto Components - Body / Thermal / Interior - Mid Cap,industry_mode|granular_split,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.4846442238025911,0.065,50,False,,8.0,3553.56
MINDACORP,Auto Components - Body / Thermal / Interior - Mid Cap,industry_mode|granular_split,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.2965677281879516,0.205,50,False,,8.0,4732.18
PRICOLLTD,Auto Components - Body / Thermal / Interior - Mid Cap,industry_mode|granular_split,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.055739630088526,0.2025,50,False,,8.0,4121.36
SUBROS,Auto Components - Body / Thermal / Interior - Mid Cap,industry_mode|granular_split,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.0935147853218475,0.17,50,False,,8.0,3341.27
DIVGIITTS,Auto Components - Body / Thermal / Interior - Small Cap,industry_mode|granular_split,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.3335876964349803,0.21,41,False,,8.0,740.72
LUMAXIND,Auto Components - Body / Thermal / Interior - Small Cap,industry_mode|granular_split,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.5358473393341133,0.13,46,False,,8.0,1137.94
SANDHAR,Auto Components - Body / Thermal / Interior - Small Cap,industry_mode|granular_split,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.1346425528221421,0.095,48,False,,8.0,870.66
VARROC,Auto Components - Body / Thermal / Interior - Small Cap,industry_mode|granular_split,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.1388005829928006,0.17,50,False,,8.0,2205.57
