theme_id,theme_name,symbol,role,outlier_score,corr_with_theme_moves,med_abs_resid,rank_volatility,median_rank_norm,obs_months,rank_source
IND::Other Financial Services,Other Financial Services,NUVAMA,A,-1.0265,0.4013,0.1195,0.0991,0.2629,23,dated_tabs
IND::Other Financial Services,Other Financial Services,EDELWEISS,A,-0.9483,0.4744,0.0951,0.2063,0.4108,38,dated_tabs
IND::Other Financial Services,Other Financial Services,CARERATING,A,-0.8512,0.4921,0.115,0.196,0.3713,50,dated_tabs
IND::Other Financial Services,Other Financial Services,ICRA,Core,-0.8102,0.446,0.124,0.16,0.4638,50,dated_tabs
IND::Other Financial Services,Other Financial Services,PRUDENT,Core,-0.3941,0.3624,0.1323,0.1811,0.3679,50,dated_tabs
IND::Other Financial Services,Other Financial Services,CRISIL,Core,0.2362,0.3343,0.16,0.2386,0.3879,50,dated_tabs
IND::Other Financial Services,Other Financial Services,360ONE,Core,0.2481,0.0061,0.1,0.1749,0.3073,50,dated_tabs
IND::Other Financial Services,Other Financial Services,MOTILALOFS,Core,0.3183,0.2649,0.1696,0.1965,0.2122,50,dated_tabs
IND::Other Financial Services,Other Financial Services,RELIGARE,Core,0.3805,0.148,0.1594,0.1632,0.4822,50,dated_tabs
IND::Other Financial Services,Other Financial Services,KFINTECH,Core,0.407,0.2483,0.1545,0.2358,0.2434,50,dated_tabs
IND::Other Financial Services,Other Financial Services,CMSINFO,Core,0.646,0.2881,0.1858,0.2444,0.447,50,dated_tabs
IND::Other Financial Services,Other Financial Services,IIFL,B,0.711,0.377,0.1849,0.3103,0.4645,50,dated_tabs
IND::Other Financial Services,Other Financial Services,ANANDRATHI,B,1.3355,0.2579,0.2686,0.2017,0.1117,50,dated_tabs
IND::Other Financial Services,Other Financial Services,BELRISE,B,1.3868,,0.38,0.0308,0.0108,4,dated_tabs
IND::Housing Finance,Housing Finance,CANFINHOME,A,-1.1082,0.5287,0.0956,0.2171,0.4955,50,dated_tabs
IND::Housing Finance,Housing Finance,HOMEFIRST,A,-1.0162,0.5192,0.1034,0.2157,0.5254,50,dated_tabs
IND::Housing Finance,Housing Finance,APTUS,A,-0.5939,0.3542,0.1664,0.1741,0.6627,50,dated_tabs
IND::Housing Finance,Housing Finance,LICHSGFIN,Core,-0.5727,0.3892,0.1161,0.217,0.5515,50,dated_tabs
IND::Housing Finance,Housing Finance,INDIASHLTR,Core,-0.281,0.2451,0.1661,0.1795,0.3135,30,dated_tabs
IND::Housing Finance,Housing Finance,PNBHOUSING,Core,-0.047,0.3827,0.1586,0.2169,0.4682,50,dated_tabs
IND::Housing Finance,Housing Finance,REPCOHOME,Core,0.0552,0.2757,0.1626,0.2066,0.5213,50,dated_tabs
IND::Housing Finance,Housing Finance,HUDCO,B,0.177,0.1876,0.1591,0.2054,0.3617,38,dated_tabs
IND::Housing Finance,Housing Finance,AAVAS,B,1.8915,0.4295,0.2564,0.2694,0.7565,50,dated_tabs
IND::Housing Finance,Housing Finance,LTF,B,3.7259,0.2668,0.3044,0.3255,0.1216,23,dated_tabs
IND::Holding Companies,Holding Companies,CHOLAHLDNG,A,-0.8578,0.424,0.0707,0.1776,0.2729,50,dated_tabs
IND::Holding Companies,Holding Companies,BAJAJHLDNG,A,-0.5374,0.3672,0.0795,0.199,0.3323,50,dated_tabs
IND::Holding Companies,Holding Companies,BAJAJFINSV,Core,-0.1054,0.3314,0.1281,0.22,0.5035,50,dated_tabs
IND::Holding Companies,Holding Companies,JMFINANCIL,Core,0.3403,0.2643,0.1622,0.2391,0.5181,50,dated_tabs
IND::Holding Companies,Holding Companies,RANEHOLDIN,B,0.4599,0.2207,0.2399,0.1815,0.5834,46,dated_tabs
IND::Holding Companies,Holding Companies,ABCAPITAL,B,1.6948,-0.0082,0.241,0.2835,0.3814,50,dated_tabs
IND::Department Stores,Department Stores,ABFRL,A,-0.6936,0.3982,0.0722,0.2354,0.7834,50,dated_tabs
IND::Department Stores,Department Stores,VMART,A,-0.6163,0.6285,0.1145,0.3115,0.6745,50,dated_tabs
IND::Department Stores,Department Stores,DMART,Core,-0.1793,0.2338,0.166,0.1739,0.522,50,dated_tabs
IND::Department Stores,Department Stores,SHOPERSTOP,Core,0.2218,0.1173,0.2162,0.172,0.8307,50,dated_tabs
IND::Department Stores,Department Stores,TRENT,B,0.4673,0.3809,0.2423,0.3553,0.0885,50,dated_tabs
IND::Department Stores,Department Stores,V2RETAIL,B,1.452,0.0866,0.4303,0.2338,0.039,25,dated_tabs
IND::Asset Management Cos.,Asset Management Cos.,NAM-INDIA,A,-2.1458,0.7932,0.1272,0.1879,0.1681,50,dated_tabs
IND::Asset Management Cos.,Asset Management Cos.,GVT&D,A,-0.0935,0.634,0.1327,0.0853,0.0733,22,dated_tabs
IND::Asset Management Cos.,Asset Management Cos.,ABSLAMC,Core,-0.0718,0.6343,0.1263,0.2503,0.3791,50,dated_tabs
IND::Asset Management Cos.,Asset Management Cos.,UTIAMC,Core,1.9295,0.6473,0.1552,0.1748,0.5048,50,dated_tabs
IND::Asset Management Cos.,Asset Management Cos.,HDFCAMC,B,2.2074,0.4197,0.1263,0.1509,0.1819,50,dated_tabs
IND::Asset Management Cos.,Asset Management Cos.,TARIL,B,9.2937,0.6141,0.2304,0.3774,0.2026,23,dated_tabs
IND::Cement & Cement Products,Cement & Cement Products,JKLAKSHMI,A,-1.1718,0.4969,0.0624,0.2121,0.5572,50,dated_tabs
IND::Cement & Cement Products,Cement & Cement Products,STARCEMENT,A,-0.8792,0.3747,0.0474,0.1617,0.4148,50,dated_tabs
IND::Cement & Cement Products,Cement & Cement Products,GRASIM,A,-0.6931,0.3512,0.0952,0.0917,0.3418,50,dated_tabs
IND::Cement & Cement Products,Cement & Cement Products,SHREECEM,Core,-0.631,0.4578,0.099,0.2286,0.5652,50,dated_tabs
IND::Cement & Cement Products,Cement & Cement Products,JKCEMENT,Core,-0.5849,0.4967,0.1629,0.1715,0.2989,50,dated_tabs
IND::Cement & Cement Products,Cement & Cement Products,DALBHARAT,Core,-0.3824,0.5127,0.1384,0.2837,0.46,50,dated_tabs
IND::Cement & Cement Products,Cement & Cement Products,ULTRACEMCO,Core,-0.2138,0.3331,0.1356,0.112,0.3178,50,dated_tabs
IND::Cement & Cement Products,Cement & Cement Products,RAMCOCEM,Core,-0.0963,0.3733,0.0947,0.2627,0.3854,50,dated_tabs
IND::Cement & Cement Products,Cement & Cement Products,NUVOCO,Core,-0.0164,0.3893,0.1335,0.2312,0.6829,50,dated_tabs
IND::Cement & Cement Products,Cement & Cement Products,BIRLACORPN,Core,0.1461,0.3694,0.1487,0.2187,0.5139,50,dated_tabs
IND::Cement & Cement Products,Cement & Cement Products,AMBUJACEM,B,0.3808,0.3708,0.1967,0.1901,0.5024,50,dated_tabs
IND::Cement & Cement Products,Cement & Cement Products,ACC,B,1.5197,0.3022,0.3057,0.1842,0.7822,50,dated_tabs
IND::Cement & Cement Products,Cement & Cement Products,INDIACEM,B,3.4426,-0.1661,0.2008,0.2688,0.3034,33,dated_tabs
IND::Commodity Chemicals,Commodity Chemicals,ACI,A,-0.8399,0.5335,0.0569,0.1877,0.672,50,dated_tabs
IND::Commodity Chemicals,Commodity Chemicals,TIRUMALCHM,A,-0.2195,0.454,0.1522,0.2082,0.5443,38,dated_tabs
IND::Commodity Chemicals,Commodity Chemicals,GHCL,Core,0.0677,0.1989,0.0849,0.2266,0.6324,43,dated_tabs
IND::Commodity Chemicals,Commodity Chemicals,TATACHEM,Core,0.166,0.1629,0.1605,0.1056,0.7582,50,dated_tabs
IND::Commodity Chemicals,Commodity Chemicals,DEEPAKNTR,Core,0.2226,0.4526,0.2578,0.2041,0.6559,50,dated_tabs
IND::Commodity Chemicals,Commodity Chemicals,DEEPAKFERT,Core,0.3353,0.456,0.1808,0.3855,0.5537,50,dated_tabs
IND::Commodity Chemicals,Commodity Chemicals,INDIAGLYCO,B,0.7373,0.3413,0.2548,0.3246,0.204,44,dated_tabs
IND::Commodity Chemicals,Commodity Chemicals,NAVINFLUOR,B,0.9481,0.2507,0.2292,0.3783,0.6239,50,dated_tabs
THEME::Cdmo,Cdmo,SAILIFE,A,-1.6569,0.936,0.0412,0.0852,0.183,11,dated_tabs
THEME::Cdmo,Cdmo,SENORES,Core,-0.3183,0.9476,0.0591,0.0979,0.0518,11,dated_tabs
THEME::Cdmo,Cdmo,GODIGIT,Core,0.6404,0.9251,0.0607,0.1511,0.3288,20,dated_tabs
THEME::Cdmo,Cdmo,ACUTAAS,B,11.715,0.2923,0.0667,0.056,0.0688,12,dated_tabs
IND::Marine Port & Services,Marine Port & Services,ADANIPORTS,A,-0.5059,0.7544,0.0604,0.2565,0.368,50,dated_tabs
IND::Marine Port & Services,Marine Port & Services,JSWINFRA,Core,0.0323,0.6481,0.1714,0.1559,0.361,32,dated_tabs
IND::Marine Port & Services,Marine Port & Services,GPPL,B,0.4971,0.4755,0.0903,0.2779,0.307,50,dated_tabs
