theme,size,cohesion_pairwise_corr,A_symbols,B_symbols,top_outliers
Banks_and_Regional_Lenders,9,0.3039,"AXISBANK, FEDERALBNK, INDIANB","CANBK, IDFCFIRSTB, PNB","IDFCFIRSTB, CANBK, PNB"
NBFC_and_Credit_Platforms,8,0.2508,"CHOLAFIN, MANAPPURAM","BAJFINANCE, SHRIRAMFIN","SHRIRAMFIN, BAJFINANCE, LTF"
Pharma_CDMO_and_Lifesciences,7,0.2925,"ACUTAAS, NAVINFLUOR","LAURUSLABS, TORNTPHARM","TORNTPHARM, LAURUSLABS, SAILIFE"
Capital_Markets_and_Wealth,6,0.1701,"BSE, MCX","IIFL, MFSL","IIFL, MFSL, 360ONE"
Auto_Ancillaries_and_Components,6,-0.064,"FIEMIND, LUMAXTECH","AVL, MSUMI","MSUMI, AVL, CRAFTSMAN"
Steel_and_Engineering_Materials,6,0.2076,"HEG, JSWSTEEL","AIAENG, PGIL","AIAENG, PGIL, TATASTEEL"
Power_and_Electrification,5,0.0078,WAAREEENER,MTARTECH,"MTARTECH, POWERINDIA, ADANIPOWER"
Base_Metals_Mining_and_Commodities,5,0.1323,HINDALCO,VEDL,"VEDL, GMDCLTD, HINDZINC"
Telecom_and_Digital_Consumer,4,0.0224,BHARTIARTL,IDEA,"IDEA, PAYTM, ETERNAL"
Mobility_OEM_and_Platforms,4,0.0158,ASHOKLEY,CARTRADE,"CARTRADE, IXIGO, EICHERMOT"
Luxury_and_Discretionary_Retail,4,0.0897,THANGAMAYL,V2RETAIL,"V2RETAIL, ETHOSLTD, TITAN"
IT_Services_and_BPM,3,0.1914,ECLERX,SAGILITY,"SAGILITY, COFORGE, ECLERX"
Industrials_EMS_and_Precision,3,-0.0122,SHAILY,SYRMA,"SYRMA, AVALON, SHAILY"
Transport_Logistics_Infrastructure,3,-0.0987,ADANIPORTS,GESHIP,"GESHIP, DELHIVERY, ADANIPORTS"
Insurance,3,0.1486,STAR,HDFCLIFE,"HDFCLIFE, SBILIFE, STAR"
Healthcare_Services_and_Diagnostics,3,0.1975,THYROCARE,ASTERDM,"ASTERDM, METROPOLIS, THYROCARE"
Alcobev,3,0.4298,RADICO,TI,"TI, ABDL, RADICO"
