theme,symbol,role,outlier_score,corr_with_theme_moves,med_abs_resid,rank_volatility,median_rank,obs_months
Banking_Universal_and_Retail,AXISBANK,A,-1.431,0.8452,5.0,16.5307,33.0,14
Banking_Universal_and_Retail,INDIANB,A,-1.2721,0.8434,6.0,18.6738,25.0,21
Banking_Universal_and_Retail,FEDERALBNK,A,-0.3204,0.4592,8.0,12.3252,19.0,17
Banking_Universal_and_Retail,KARURVYSYA,Core,-0.2217,0.4762,10.0,9.778,21.0,21
Banking_Universal_and_Retail,CUB,Core,-0.1293,0.4784,10.0,13.6961,22.0,21
Banking_Universal_and_Retail,UJJIVANSFB,Core,0.4989,0.5618,13.0,34.635,40.0,21
Banking_Universal_and_Retail,PNB,B,0.9083,0.4307,16.25,25.4401,57.5,18
Banking_Universal_and_Retail,CANBK,B,1.0488,-0.003,7.0,27.5282,40.0,18
Banking_Universal_and_Retail,IDFCFIRSTB,B,1.2868,0.2312,14.0,30.8493,46.0,18
Lending_Insurance_Diversified_Financials,MANAPPURAM,A,-0.9299,0.6657,3.5,6.8946,11.0,14
Lending_Insurance_Diversified_Financials,CHOLAFIN,A,-0.5563,0.8114,5.5,20.8525,35.0,27
Lending_Insurance_Diversified_Financials,SBILIFE,A,-0.5556,0.6581,5.0,15.0516,21.0,14
Lending_Insurance_Diversified_Financials,AADHARHFC,Core,-0.1034,0.4813,9.0,7.9117,22.0,15
Lending_Insurance_Diversified_Financials,MUTHOOTFIN,Core,0.0382,0.5904,10.0,14.9963,15.0,27
Lending_Insurance_Diversified_Financials,LTF,Core,0.3594,0.8466,12.0,32.5491,23.0,18
Lending_Insurance_Diversified_Financials,ABCAPITAL,Core,0.4934,0.5543,11.0,26.7584,36.0,21
Lending_Insurance_Diversified_Financials,HDFCLIFE,Core,0.7691,-0.0012,8.0,20.8448,33.0,23
Lending_Insurance_Diversified_Financials,BAJFINANCE,B,0.8089,0.7275,16.0,28.2292,35.0,27
Lending_Insurance_Diversified_Financials,SHRIRAMFIN,B,1.0831,-0.0602,12.0,14.3703,28.0,18
Lending_Insurance_Diversified_Financials,STAR,B,1.585,0.9789,7.0,105.7316,12.0,39
Capital_Markets_Wealth_Asset_Platforms,BSE,A,-0.7022,0.6341,6.0,8.3811,7.0,17
Capital_Markets_Wealth_Asset_Platforms,MCX,A,-0.4956,0.8692,5.5,14.9728,9.0,34
Capital_Markets_Wealth_Asset_Platforms,NUVAMA,Core,-0.3049,0.873,7.25,10.9737,25.0,18
Capital_Markets_Wealth_Asset_Platforms,360ONE,Core,0.2514,0.6263,8.0,12.4137,25.0,27
Capital_Markets_Wealth_Asset_Platforms,MFSL,B,0.452,0.0676,7.0,12.8268,13.0,17
Capital_Markets_Wealth_Asset_Platforms,IIFL,B,13.3858,-0.0458,44.0,31.897,67.0,21
Alcobev_and_Premium_Discretionary,RADICO,A,-1.2536,0.5328,3.5,11.2509,28.0,18
Alcobev_and_Premium_Discretionary,TITAN,A,-0.5059,0.5846,6.0,17.3016,28.0,14
Alcobev_and_Premium_Discretionary,V2RETAIL,Core,-0.1073,0.2632,20.0,8.6554,3.5,18
Alcobev_and_Premium_Discretionary,TI,Core,0.1206,0.4197,11.0,17.7997,22.5,18
Alcobev_and_Premium_Discretionary,ABDL,Core,0.1972,0.4596,13.0,17.9758,10.0,15
