symbol,theme_id,theme_label,theme_family,membership_type,assignment_order,fit_score,corr_with_theme_moves,med_abs_resid,fit_overlap_months,sector_mode,industry_mode,primary_theme_id
CIEINDIA,IND::Auto Parts & Equipment::B::B::A,Auto Parts & Equipment · Group 2,Auto Parts & Equipment,primary,1,1.0,,,,Consumer Cyclical,Auto Parts & Equipment,IND::Auto Parts & Equipment::B::B::A
CIGNITITEC,IND::IT Consulting & Software::B::B::A::B,IT Consulting & Software · Group 1,IT Consulting & Software,primary,1,1.0,,,,Technology,IT Consulting & Software,IND::IT Consulting & Software::B::B::A::B
CIPLA,IND::Pharmaceuticals::B::A::A,Pharmaceuticals · Group 4,Pharmaceuticals,primary,1,1.0,,,,Healthcare,Pharmaceuticals,IND::Pharmaceuticals::B::A::A
CLEAN,IND::Specialty Chemicals::A,Specialty Chemicals · Group 1,Specialty Chemicals,primary,1,1.0,,,,Basic Materials,Specialty Chemicals,IND::Specialty Chemicals::A
CMSINFO,IND::Other Financial Services,Other Financial Services,Other Financial Services,primary,1,1.0,,,,Industrials,Other Financial Services,IND::Other Financial Services
COALINDIA,IND::Refineries/Petro-Products,Refineries / Petro-Products,Refineries / Petro-Products,primary,1,1.0,,,,Energy,Coal,IND::Refineries/Petro-Products
COFORGE,IND::IT Consulting & Software::B::B::A::B,IT Consulting & Software · Group 1,IT Consulting & Software,primary,1,1.0,,,,Technology,IT Consulting & Software,IND::IT Consulting & Software::B::B::A::B
COHANCE,UNCLASSIFIED::B::B::B::A,Cross-Sector · Group 6,Cross-Sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::B::B::A
COLPAL,IND::Personal Products,Personal Products,Personal Products,primary,1,1.0,,,,Consumer Defensive,Personal Products,IND::Personal Products
CONCOR,IND::Defence,Defence,Defence,primary,1,1.0,,,,Industrials,Warehousing and Logistics,IND::Defence
CONCORDBIO,IND::Biotechnology,Biotechnology,Biotechnology,primary,1,1.0,,,,Healthcare,Biotechnology,IND::Biotechnology
COROMANDEL,IND::Fertilizers,Fertilizers,Fertilizers,primary,1,1.0,,,,Basic Materials,Fertilizers,IND::Fertilizers
CORONA,UNCLASSIFIED::B::A::B::NoRank::2,Cross-Sector (no Rank) · Group 2,Cross-Sector (no Rank),primary,1,1.0,,,,,,UNCLASSIFIED::B::A::B::NoRank::2
CPPLUS,UNCLASSIFIED::B::A::B::NoRank::3,Cross-Sector (no Rank) · Group 3,Cross-Sector (no Rank),primary,1,1.0,,,,,,UNCLASSIFIED::B::A::B::NoRank::3
CRAFTSMAN,IND::Auto Parts & Equipment::B::B::B,Auto Parts & Equipment · Group 3,Auto Parts & Equipment,primary,1,1.0,,,,Consumer Cyclical,Auto Parts & Equipment,IND::Auto Parts & Equipment::B::B::B
CRAMC,UNCLASSIFIED::B::A::B::NoRank::1,Cross-Sector (no Rank) · Group 1,Cross-Sector (no Rank),primary,1,1.0,,,,,,UNCLASSIFIED::B::A::B::NoRank::1
CREDITACC,IND::Finance (including NBFCs)::B::B,Finance (including Nbfcs) · Group 2,Finance (including Nbfcs),primary,1,1.0,,,,Financial Services,Finance (including NBFCs),IND::Finance (including NBFCs)::B::B
CRISIL,IND::Other Financial Services,Other Financial Services,Other Financial Services,primary,1,1.0,,,,Financial Services,Other Financial Services,IND::Other Financial Services
CRIZAC,UNCLASSIFIED::B::B::A::B::B,Cross-Sector · Group 3,Cross-Sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::B::A::B::B
CROMPTON,IND::Household Appliances,Household Appliances,Household Appliances,primary,1,1.0,,,,Consumer Cyclical,Household Appliances,IND::Household Appliances
CSBBANK,IND::Banks::A,Banks · Group 2,Banks,primary,1,1.0,,,,Financial Services,Banks,IND::Banks::A
CUB,IND::Banks::B::B,Banks · Group 1,Banks,primary,1,1.0,,,,Financial Services,Banks,IND::Banks::B::B
CUMMINSIND,IND::Industrial Machinery::B,Industrial Machinery · Group 2,Industrial Machinery,primary,1,1.0,,,,Industrials,Industrial Machinery,IND::Industrial Machinery::B
CYIENT,IND::IT Consulting & Software::B::B::A::A,IT Consulting & Software · Group 2,IT Consulting & Software,primary,1,1.0,,,,Industrials,IT Consulting & Software,IND::IT Consulting & Software::B::B::A::A
CYIENTDLM,IND::IT Software Products,IT Software Products,IT Software Products,primary,1,1.0,,,,Technology,Electronic Components,IND::IT Software Products
DABUR,IND::Personal Products,Personal Products,Personal Products,primary,1,1.0,,,,Consumer Defensive,Personal Products,IND::Personal Products
DALBHARAT,IND::Cement & Cement Products,Cement & Cement Products,Cement & Cement Products,primary,1,1.0,,,,Basic Materials,Cement & Cement Products,IND::Cement & Cement Products
DAMCAPITAL,UNCLASSIFIED::B::B::A::B::A,Cross-Sector · Group 9,Cross-Sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::B::A::B::A
DATAPATTNS,IND::Defence,Defence,Defence,primary,1,1.0,,,,Industrials,Defence,IND::Defence
DCBBANK,IND::Banks::A,Banks · Group 2,Banks,primary,1,1.0,,,,Financial Services,Banks,IND::Banks::A
DCMSHRIRAM,IND::Specialty Chemicals::B,Specialty Chemicals · Group 2,Specialty Chemicals,primary,1,1.0,,,,Basic Materials,Specialty Chemicals,IND::Specialty Chemicals::B
DEEPAKFERT,IND::Commodity Chemicals,Commodity Chemicals,Commodity Chemicals,primary,1,1.0,,,,Basic Materials,Commodity Chemicals,IND::Commodity Chemicals
DEEPAKNTR,IND::Commodity Chemicals,Commodity Chemicals,Commodity Chemicals,primary,1,1.0,,,,Basic Materials,Commodity Chemicals,IND::Commodity Chemicals
DELHIVERY,IND::Transportation - Logistics,Transportation - Logistics,Transportation - Logistics,primary,1,1.0,,,,Industrials,Transportation - Logistics,IND::Transportation - Logistics
DEVYANI,IND::Restaurants,Restaurants,Restaurants,primary,1,1.0,,,,Consumer Cyclical,Restaurants,IND::Restaurants
DHANUKA,IND::Agrochemicals,Agrochemicals,Agrochemicals,primary,1,1.0,,,,Basic Materials,Agrochemicals,IND::Agrochemicals
DIVGIITTS,IND::Auto Parts & Equipment::B::B::B,Auto Parts & Equipment · Group 3,Auto Parts & Equipment,primary,1,1.0,,,,Consumer Cyclical,Auto Parts & Equipment,IND::Auto Parts & Equipment::B::B::B
DIVISLAB,IND::Pharmaceuticals::B::A::B::A,Pharmaceuticals · Group 3,Pharmaceuticals,primary,1,1.0,,,,Healthcare,Pharmaceuticals,IND::Pharmaceuticals::B::A::B::A
DIXON,IND::Consumer Electronics,Consumer Electronics,Consumer Electronics,primary,1,1.0,,,,Technology,Consumer Electronics,IND::Consumer Electronics
DLF,IND::Realty::B,Realty · Group 1,Realty,primary,1,1.0,,,,Real Estate,Realty,IND::Realty::B
DMART,IND::Department Stores,Department Stores,Department Stores,primary,1,1.0,,,,Consumer Defensive,Department Stores,IND::Department Stores
DODLA,IND::Packaged Foods,Packaged Foods,Packaged Foods,primary,1,1.0,,,,Consumer Defensive,Packaged Foods,IND::Packaged Foods
DOMS,IND::Industrial Machinery::A,Industrial Machinery · Group 1,Industrial Machinery,primary,1,1.0,,,,Industrials,Commodity Printing/Stationery,IND::Industrial Machinery::A
DREDGECORP,IND::Forest Products,Forest Products,Forest Products,primary,1,1.0,,,,,,IND::Forest Products
DRREDDY,IND::Pharmaceuticals::B::A::B::B,Pharmaceuticals · Group 2,Pharmaceuticals,primary,1,1.0,,,,Healthcare,Pharmaceuticals,IND::Pharmaceuticals::B::A::B::B
DYNAMATECH,UNCLASSIFIED::B::A::B,Cross-Sector · Group 1,Cross-Sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::A::B
E2E,UNCLASSIFIED::B::A::B,Cross-Sector · Group 1,Cross-Sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::A::B
EBGNG,UNCLASSIFIED::B::B::A::B::B,Cross-Sector · Group 3,Cross-Sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::B::A::B::B
ECLERX,IND::IT Consulting & Software::B::B::B,IT Consulting & Software · Group 3,IT Consulting & Software,primary,1,1.0,,,,Technology,BPO/KPO,IND::IT Consulting & Software::B::B::B
EDELWEISS,IND::Other Financial Services,Other Financial Services,Other Financial Services,primary,1,1.0,,,,Financial Services,Other Financial Services,IND::Other Financial Services
EICHERMOT,IND::2/3 Wheelers,2 / 3 Wheelers,2 / 3 Wheelers,primary,1,1.0,,,,Consumer Cyclical,2/3 Wheelers,IND::2/3 Wheelers
EIDPARRY,IND::Other Food Products,Other Food Products,Other Food Products,primary,1,1.0,,,,Basic Materials,Other Food Products,IND::Other Food Products
EIHOTEL,IND::Hotels,Hotels,Hotels,primary,1,1.0,,,,Consumer Cyclical,Hotels,IND::Hotels
ELECON,IND::Industrial Machinery::B,Industrial Machinery · Group 2,Industrial Machinery,primary,1,1.0,,,,Industrials,Industrial Machinery,IND::Industrial Machinery::B
ELLEN,UNCLASSIFIED::B::B::A::B::B,Cross-Sector · Group 3,Cross-Sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::B::A::B::B
EMAMILTD,IND::Personal Products,Personal Products,Personal Products,primary,1,1.0,,,,Consumer Defensive,Personal Products,IND::Personal Products
EMCURE,UNCLASSIFIED::B::B::A::B::A,Cross-Sector · Group 9,Cross-Sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::B::A::B::A
EMIL,IND::Consumer Electronics,Consumer Electronics,Consumer Electronics,primary,1,1.0,,,,Consumer Cyclical,Consumer Electronics,IND::Consumer Electronics
EMMVEE,UNCLASSIFIED::B::A::B::NoRank::2,Cross-Sector (no Rank) · Group 2,Cross-Sector (no Rank),primary,1,1.0,,,,,,UNCLASSIFIED::B::A::B::NoRank::2
ENDURANCE,IND::Auto Parts & Equipment::B::A,Auto Parts & Equipment · Group 1,Auto Parts & Equipment,primary,1,1.0,,,,Consumer Cyclical,Auto Parts & Equipment,IND::Auto Parts & Equipment::B::A
ENGINERSIN,IND::Shipping,Shipping,Shipping,primary,1,1.0,,,,Industrials,Consulting Services,IND::Shipping
ENRIN,UNCLASSIFIED::B::B::A::B::B,Cross-Sector · Group 3,Cross-Sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::B::A::B::B
ENTERO,IND::General Insurance,General Insurance,General Insurance,primary,1,1.0,,,,,,IND::General Insurance
EPACK,UNCLASSIFIED::B::B::A::A::B,Cross-Sector · Group 5,Cross-Sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::B::A::A::B
EPACKPEB,UNCLASSIFIED::B::A::B::NoRank::3,Cross-Sector (no Rank) · Group 3,Cross-Sector (no Rank),primary,1,1.0,,,,,,UNCLASSIFIED::B::A::B::NoRank::3
EPIGRAL,IND::Agrochemicals,Agrochemicals,Agrochemicals,primary,1,1.0,,,,,,IND::Agrochemicals
EPL,IND::Containers & Packaging,Containers & Packaging,Containers & Packaging,primary,1,1.0,,,,Consumer Cyclical,Containers & Packaging,IND::Containers & Packaging
EQUITASBNK,IND::Banks::A,Banks · Group 2,Banks,primary,1,1.0,,,,Financial Services,Banks,IND::Banks::A
ERIS,IND::Pharmaceuticals::B::A::B::A,Pharmaceuticals · Group 3,Pharmaceuticals,primary,1,1.0,,,,Healthcare,Pharmaceuticals,IND::Pharmaceuticals::B::A::B::A
ESABINDIA,IND::Other Industrial Goods,Other Industrial Goods,Other Industrial Goods,primary,1,1.0,,,,Industrials,Other Industrial Goods,IND::Other Industrial Goods
ESCORTS,IND::Commercial Vehicles,Commercial Vehicles,Commercial Vehicles,primary,1,1.0,,,,Industrials,Commercial Vehicles,IND::Commercial Vehicles
ETERNAL,IND::Healthcare Services,Healthcare Services,Healthcare Services,primary,1,1.0,,,,,,IND::Healthcare Services
ETHOSLTD,IND::Specialty Retail,Specialty Retail,Specialty Retail,primary,1,1.0,,,,Consumer Cyclical,Specialty Retail,IND::Specialty Retail
EUREKAFORB,UNCLASSIFIED::B::B::B::A,Cross-Sector · Group 6,Cross-Sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::B::B::A
EUROPRATIK,UNCLASSIFIED::B::A::B::NoRank::1,Cross-Sector (no Rank) · Group 1,Cross-Sector (no Rank),primary,1,1.0,,,,,,UNCLASSIFIED::B::A::B::NoRank::1
EXIDEIND,IND::Auto Parts & Equipment::B::B::B,Auto Parts & Equipment · Group 3,Auto Parts & Equipment,primary,1,1.0,,,,Consumer Cyclical,Auto Parts & Equipment,IND::Auto Parts & Equipment::B::B::B
FDC,IND::Pharmaceuticals::B::A::B::A,Pharmaceuticals · Group 3,Pharmaceuticals,primary,1,1.0,,,,Healthcare,Pharmaceuticals,IND::Pharmaceuticals::B::A::B::A
FEDERALBNK,IND::Banks::A,Banks · Group 2,Banks,primary,1,1.0,,,,Financial Services,Banks,IND::Banks::A
FEDFINA,IND::Finance (including NBFCs)::A,Finance (including Nbfcs) · Group 3,Finance (including Nbfcs),primary,1,1.0,,,,Financial Services,Finance (including NBFCs),IND::Finance (including NBFCs)::A
FIEMIND,IND::Auto Parts & Equipment::B::A,Auto Parts & Equipment · Group 1,Auto Parts & Equipment,primary,1,1.0,,,,Consumer Cyclical,Auto Parts & Equipment,IND::Auto Parts & Equipment::B::A
FILATEX,UNCLASSIFIED::B::B::A::B::A,Cross-Sector · Group 9,Cross-Sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::B::A::B::A
FINCABLES,IND::Other Electrical Equipment/Products::B,Other Electrical Equipment / Products · Group 1,Other Electrical Equipment / Products,primary,1,1.0,,,,Industrials,Other Electrical Equipment/Products,IND::Other Electrical Equipment/Products::B
FINEORG,IND::Specialty Chemicals::B,Specialty Chemicals · Group 2,Specialty Chemicals,primary,1,1.0,,,,Basic Materials,Specialty Chemicals,IND::Specialty Chemicals::B
FINPIPE,IND::Plastic Products,Plastic Products,Plastic Products,primary,1,1.0,,,,Industrials,Plastic Products,IND::Plastic Products
FIRSTCRY,UNCLASSIFIED::B::A::B,Cross-Sector · Group 1,Cross-Sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::A::B
FIVESTAR,IND::Finance (including NBFCs)::B::B,Finance (including Nbfcs) · Group 2,Finance (including Nbfcs),primary,1,1.0,,,,Financial Services,Finance (including NBFCs),IND::Finance (including NBFCs)::B::B
FLAIR,IND::Industrial Machinery::A,Industrial Machinery · Group 1,Industrial Machinery,primary,1,1.0,,,,Industrials,Commodity Printing/Stationery,IND::Industrial Machinery::A
FLUOROCHEM,IND::Specialty Chemicals::A,Specialty Chemicals · Group 1,Specialty Chemicals,primary,1,1.0,,,,Basic Materials,Specialty Chemicals,IND::Specialty Chemicals::A
FORCEMOT,IND::Cars & Utility Vehicles,Cars & Utility Vehicles,Cars & Utility Vehicles,primary,1,1.0,,,,Consumer Cyclical,Cars & Utility Vehicles,IND::Cars & Utility Vehicles
FORTIS,IND::Healthcare Facilities,Healthcare Facilities,Healthcare Facilities,primary,1,1.0,,,,Healthcare,Healthcare Facilities,IND::Healthcare Facilities
FOSECOIND,UNCLASSIFIED::B::B::A::A::B,Cross-Sector · Group 5,Cross-Sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::B::A::A::B
FSL,IND::IT Consulting & Software::A,IT Consulting & Software · Group 4,IT Consulting & Software,primary,1,1.0,,,,Technology,BPO/KPO,IND::IT Consulting & Software::A
FUSION,IND::Finance (including NBFCs)::B::B,Finance (including Nbfcs) · Group 2,Finance (including Nbfcs),primary,1,1.0,,,,Financial Services,Finance (including NBFCs),IND::Finance (including NBFCs)::B::B
GABRIEL,IND::Auto Parts & Equipment::B::B::B,Auto Parts & Equipment · Group 3,Auto Parts & Equipment,primary,1,1.0,,,,Consumer Cyclical,Auto Parts & Equipment,IND::Auto Parts & Equipment::B::B::B
GAIL,IND::Utilities:Non-Electrical,Utilities:non-Electrical,Utilities:non-Electrical,primary,1,1.0,,,,Utilities,Utilities:Non-Electrical,IND::Utilities:Non-Electrical
GALAXYSURF,IND::Specialty Chemicals::B,Specialty Chemicals · Group 2,Specialty Chemicals,primary,1,1.0,,,,Basic Materials,Specialty Chemicals,IND::Specialty Chemicals::B
GALLANTT,UNCLASSIFIED::A::A,Cross-Sector · Group 2,Cross-Sector,primary,1,1.0,,,,,,UNCLASSIFIED::A::A
GARFIBRES,IND::Textiles,Textiles,Textiles,primary,1,1.0,,,,Consumer Cyclical,Textiles,IND::Textiles
GATEWAY,IND::Transportation - Logistics,Transportation - Logistics,Transportation - Logistics,primary,1,1.0,,,,Industrials,Transportation - Logistics,IND::Transportation - Logistics
GESHIP,IND::Shipping,Shipping,Shipping,primary,1,1.0,,,,Industrials,Shipping,IND::Shipping
GHCL,IND::Commodity Chemicals,Commodity Chemicals,Commodity Chemicals,primary,1,1.0,,,,Basic Materials,Commodity Chemicals,IND::Commodity Chemicals
GICRE,IND::General Insurance,General Insurance,General Insurance,primary,1,1.0,,,,Financial Services,General Insurance,IND::General Insurance
GILLETTE,IND::Personal Products,Personal Products,Personal Products,primary,1,1.0,,,,Consumer Defensive,Personal Products,IND::Personal Products
GLAND,IND::Pharmaceuticals::B::B,Pharmaceuticals · Group 1,Pharmaceuticals,primary,1,1.0,,,,Healthcare,Pharmaceuticals,IND::Pharmaceuticals::B::B
GLAXO,IND::Pharmaceuticals::B::B,Pharmaceuticals · Group 1,Pharmaceuticals,primary,1,1.0,,,,Healthcare,Pharmaceuticals,IND::Pharmaceuticals::B::B
GLENMARK,IND::Pharmaceuticals::B::A::B::B,Pharmaceuticals · Group 2,Pharmaceuticals,primary,1,1.0,,,,Healthcare,Pharmaceuticals,IND::Pharmaceuticals::B::A::B::B
GLOBUSSPR,IND::Breweries & Distilleries,Breweries & Distilleries,Breweries & Distilleries,primary,1,1.0,,,,Consumer Defensive,Breweries & Distilleries,IND::Breweries & Distilleries
GMDCLTD,IND::Refineries/Petro-Products,Refineries / Petro-Products,Refineries / Petro-Products,primary,1,1.0,,,,Energy,Coal,IND::Refineries/Petro-Products
GMMPFAUDLR,IND::Industrial Machinery::A,Industrial Machinery · Group 1,Industrial Machinery,primary,1,1.0,,,,Industrials,Industrial Machinery,IND::Industrial Machinery::A
GMRAIRPORT,UNCLASSIFIED::A::B,Cross-Sector · Group 4,Cross-Sector,primary,1,1.0,,,,,,UNCLASSIFIED::A::B
GOCOLORS,IND::Other Apparels & Accessories,Other Apparels & Accessories,Other Apparels & Accessories,primary,1,1.0,,,,Consumer Cyclical,Other Apparels & Accessories,IND::Other Apparels & Accessories
GODFRYPHLP,IND::Cigarettes-Tobacco Products,Cigarettes-Tobacco Products,Cigarettes-Tobacco Products,primary,1,1.0,,,,Consumer Defensive,Cigarettes-Tobacco Products,IND::Cigarettes-Tobacco Products
GODIGIT,IND::General Insurance,General Insurance,General Insurance,primary,1,1.0,,,,,,THEME::Cdmo
GODREJAGRO,IND::Breweries & Distilleries,Breweries & Distilleries,Breweries & Distilleries,primary,1,1.0,,,,Consumer Defensive,Other Agricultural Products,IND::Breweries & Distilleries
GODREJCP,IND::Personal Products,Personal Products,Personal Products,primary,1,1.0,,,,Consumer Defensive,Personal Products,IND::Personal Products
GODREJIND,IND::Industrial Machinery::A,Industrial Machinery · Group 1,Industrial Machinery,primary,1,1.0,,,,Industrials,Diversified,IND::Industrial Machinery::A
GODREJPROP,IND::Realty::B,Realty · Group 1,Realty,primary,1,1.0,,,,Real Estate,Realty,IND::Realty::B
GOKEX,IND::Textiles,Textiles,Textiles,primary,1,1.0,,,,Consumer Cyclical,Textiles,IND::Textiles
GPIL,IND::Iron & Steel/Interm.Products,Iron & Steel / Interm.products,Iron & Steel / Interm.products,primary,1,1.0,,,,Basic Materials,Iron & Steel/Interm.Products,IND::Iron & Steel/Interm.Products
GPPL,IND::Marine Port & Services,Marine Port & Services,Marine Port & Services,primary,1,1.0,,,,Industrials,Marine Port & Services,IND::Marine Port & Services
GRANULES,IND::Pharmaceuticals::B::A::B::B,Pharmaceuticals · Group 2,Pharmaceuticals,primary,1,1.0,,,,Healthcare,Pharmaceuticals,IND::Pharmaceuticals::B::A::B::B
GRAPHITE,IND::Other Industrial Goods,Other Industrial Goods,Other Industrial Goods,primary,1,1.0,,,,Industrials,Other Industrial Goods,IND::Other Industrial Goods
GRASIM,IND::Cement & Cement Products,Cement & Cement Products,Cement & Cement Products,primary,1,1.0,,,,Basic Materials,Cement & Cement Products,IND::Cement & Cement Products
GRAVITA,IND::Other Electrical Equipment/Products::B,Other Electrical Equipment / Products · Group 1,Other Electrical Equipment / Products,primary,1,1.0,,,,Industrials,Other Non-Ferrous Metals,IND::Other Electrical Equipment/Products::B
GREAVESCOT,IND::Auto Parts & Equipment::A,Auto Parts & Equipment · Group 4,Auto Parts & Equipment,primary,1,1.0,,,,Industrials,Auto Parts & Equipment,IND::Auto Parts & Equipment::A
GREENLAM,IND::Furniture-Furnishing-Paints,Furniture-Furnishing-Paints,Furniture-Furnishing-Paints,primary,1,1.0,,,,Consumer Cyclical,Furniture-Furnishing-Paints,IND::Furniture-Furnishing-Paints
GREENPANEL,IND::Forest Products,Forest Products,Forest Products,primary,1,1.0,,,,Basic Materials,Forest Products,IND::Forest Products
GREENPLY,IND::Forest Products,Forest Products,Forest Products,primary,1,1.0,,,,Basic Materials,Forest Products,IND::Forest Products
GRINDWELL,IND::Other Industrial Products,Other Industrial Products,Other Industrial Products,primary,1,1.0,,,,Industrials,Other Industrial Products,IND::Other Industrial Products
GRINFRA,IND::Roads & Highways,Roads & Highways,Roads & Highways,primary,1,1.0,,,,Industrials,Roads & Highways,IND::Roads & Highways
GROWW,UNCLASSIFIED::B::A::B::NoRank::2,Cross-Sector (no Rank) · Group 2,Cross-Sector (no Rank),primary,1,1.0,,,,,,UNCLASSIFIED::B::A::B::NoRank::2
GRSE,IND::Shipping,Shipping,Shipping,primary,1,1.0,,,,Industrials,Shipping,IND::Shipping
GRWRHITECH,IND::Containers & Packaging,Containers & Packaging,Containers & Packaging,primary,1,1.0,,,,Basic Materials,Containers & Packaging,IND::Containers & Packaging
GSPL,IND::Utilities:Non-Electrical,Utilities:non-Electrical,Utilities:non-Electrical,primary,1,1.0,,,,Utilities,Utilities:Non-Electrical,IND::Utilities:Non-Electrical
GUFICBIO,IND::Pharmaceuticals::B::B,Pharmaceuticals · Group 1,Pharmaceuticals,primary,1,1.0,,,,Healthcare,Pharmaceuticals,IND::Pharmaceuticals::B::B
GUJGASLTD,IND::Utilities:Non-Electrical,Utilities:non-Electrical,Utilities:non-Electrical,primary,1,1.0,,,,Utilities,Utilities:Non-Electrical,IND::Utilities:Non-Electrical
GULFOILLUB,IND::Oil Marketing & Distribution,Oil Marketing & Distribution,Oil Marketing & Distribution,primary,1,1.0,,,,Basic Materials,Oil Marketing & Distribution,IND::Oil Marketing & Distribution
GVT&D,IND::Heavy Electrical Equipment::A,Heavy Electrical Equipment - Group 1,Heavy Electrical Equipment,primary,1,1.0,,,,,,IND::Asset Management Cos.
HAL,IND::Defence,Defence,Defence,primary,1,1.0,,,,Industrials,Defence,IND::Defence
HAPPSTMNDS,IND::IT Consulting & Software::B::A,IT Consulting & Software · Group 5,IT Consulting & Software,primary,1,1.0,,,,Technology,IT Consulting & Software,IND::IT Consulting & Software::B::A
HAPPYFORGE,IND::Other Industrial Products,Other Industrial Products,Other Industrial Products,primary,1,1.0,,,,Industrials,Other Industrial Products,IND::Other Industrial Products
HATSUN,IND::Packaged Foods,Packaged Foods,Packaged Foods,primary,1,1.0,,,,Consumer Defensive,Packaged Foods,IND::Packaged Foods
HAVELLS,IND::Other Electrical Equipment/Products::B,Other Electrical Equipment / Products · Group 1,Other Electrical Equipment / Products,primary,1,1.0,,,,Industrials,Other Electrical Equipment/Products,IND::Other Electrical Equipment/Products::B
HCG,IND::Healthcare Facilities,Healthcare Facilities,Healthcare Facilities,primary,1,1.0,,,,Healthcare,Healthcare Facilities,IND::Healthcare Facilities
HCLTECH,IND::IT Consulting & Software::B::B::A::B,IT Consulting & Software · Group 1,IT Consulting & Software,primary,1,1.0,,,,Technology,IT Consulting & Software,IND::IT Consulting & Software::B::B::A::B
HDBFS,UNCLASSIFIED::B::B::A::B::B,Cross-Sector · Group 3,Cross-Sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::B::A::B::B
HDFCAMC,IND::Asset Management Cos.,Asset Management Cos.,Asset Management Cos.,primary,1,1.0,,,,Financial Services,Asset Management Cos.,IND::Asset Management Cos.
HDFCBANK,IND::Banks::A,Banks · Group 2,Banks,primary,1,1.0,,,,Financial Services,Banks,IND::Banks::A
HDFCLIFE,IND::Life Insurance,Life Insurance,Life Insurance,primary,1,1.0,,,,Financial Services,Life Insurance,IND::Life Insurance
HEG,IND::Other Industrial Goods,Other Industrial Goods,Other Industrial Goods,primary,1,1.0,,,,Industrials,Other Industrial Goods,IND::Other Industrial Goods
HERITGFOOD,IND::Packaged Foods,Packaged Foods,Packaged Foods,primary,1,1.0,,,,Consumer Defensive,Packaged Foods,IND::Packaged Foods
HEROMOTOCO,IND::2/3 Wheelers,2 / 3 Wheelers,2 / 3 Wheelers,primary,1,1.0,,,,Consumer Cyclical,2/3 Wheelers,IND::2/3 Wheelers
HEXT,UNCLASSIFIED::B::B::B::A,Cross-Sector · Group 6,Cross-Sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::B::B::A
HGINFRA,IND::Construction & Engineering,Construction & Engineering,Construction & Engineering,primary,1,1.0,,,,Industrials,Construction & Engineering,IND::Construction & Engineering
HIKAL,IND::Pharmaceuticals::B::A::B::A,Pharmaceuticals · Group 3,Pharmaceuticals,primary,1,1.0,,,,Healthcare,Pharmaceuticals,IND::Pharmaceuticals::B::A::B::A
HINDALCO,IND::Aluminium and Aluminium Products,Aluminium and Aluminium Products,Aluminium and Aluminium Products,primary,1,1.0,,,,Basic Materials,Aluminium and Aluminium Products,IND::Aluminium and Aluminium Products
HINDCOPPER,IND::Aluminium and Aluminium Products,Aluminium and Aluminium Products,Aluminium and Aluminium Products,primary,1,1.0,,,,Basic Materials,Copper,IND::Aluminium and Aluminium Products
HINDPETRO,IND::Refineries/Petro-Products,Refineries / Petro-Products,Refineries / Petro-Products,primary,1,1.0,,,,Energy,Refineries/Petro-Products,IND::Refineries/Petro-Products
HINDUNILVR,IND::Personal Products,Personal Products,Personal Products,primary,1,1.0,,,,Consumer Defensive,Personal Products,IND::Personal Products
HINDZINC,IND::Aluminium and Aluminium Products,Aluminium and Aluminium Products,Aluminium and Aluminium Products,primary,1,1.0,,,,Basic Materials,Zinc,IND::Aluminium and Aluminium Products
HITECH,IND::Iron & Steel Products,Iron & Steel Products,Iron & Steel Products,primary,1,1.0,,,,Basic Materials,Iron & Steel Products,IND::Iron & Steel Products
HOMEFIRST,IND::Housing Finance,Housing Finance,Housing Finance,primary,1,1.0,,,,Financial Services,Housing Finance,IND::Housing Finance
HONASA,IND::Personal Products,Personal Products,Personal Products,primary,1,1.0,,,,Consumer Defensive,Personal Products,IND::Personal Products
HONAUT,IND::Other Electrical Equipment/Products::B,Other Electrical Equipment / Products · Group 1,Other Electrical Equipment / Products,primary,1,1.0,,,,Industrials,Other Electrical Equipment/Products,IND::Other Electrical Equipment/Products::B
HUDCO,IND::Housing Finance,Housing Finance,Housing Finance,primary,1,1.0,,,,Financial Services,Housing Finance,IND::Housing Finance
HYUNDAI,UNCLASSIFIED::B::A::A,Cross-Sector · Group 10,Cross-Sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::A::A
ICICIAMC,UNCLASSIFIED::B::A::B::NoRank::3,Cross-Sector (no Rank) · Group 3,Cross-Sector (no Rank),primary,1,1.0,,,,,,UNCLASSIFIED::B::A::B::NoRank::3
ICICIBANK,IND::Banks::A,Banks · Group 2,Banks,primary,1,1.0,,,,Financial Services,Banks,IND::Banks::A
ICICIGI,IND::General Insurance,General Insurance,General Insurance,primary,1,1.0,,,,Financial Services,General Insurance,IND::General Insurance
