theme_id,proposed_theme,symbol,role,outlier_score,corr_with_theme_moves,median_rank,legacy_theme_hint
T07,Metal mines/2w Leaders,V2RETAIL,B,1.5122198892307743,0.32558673591115633,3.5,Retail
T07,Metal mines/2w Leaders,IDEA,B,1.6780375493099406,0.5507605422912989,89.0,telecom
T08,Metals/Metal mines Core,APLAPOLLO,A,-0.3372453797382976,0.8382391206387205,37.0,Metals
T08,Metals/Metal mines Core,HINDZINC,A,0.3372453797382977,0.834300712974949,29.0,Metal mines
T09,cdmo/Mine supply Laggards,THANGAMAYL,A,-0.370798980286436,0.9842722708203933,20.0,jewellery
T09,cdmo/Mine supply Laggards,BSE,A,0.03355360054813841,0.6391429180530276,7.0,Exchanges
T09,cdmo/Mine supply Laggards,ACUTAAS,B,2.303958876868803,0.9988026934100296,60.0,cdmo
T09,cdmo/Mine supply Laggards,AIAENG,B,3.2645775878709946,0.6301020359509707,75.0,Mine supply
T10,Auto comp/IT (mid) Core,RADICO,A,-0.8036142904194353,0.9610291639647208,28.0,Sin stocks
T10,Auto comp/IT (mid) Core,FIEMIND,A,-0.686183394876398,0.987008622608226,28.0,Auto comp
T10,Auto comp/IT (mid) Core,ECLERX,A,-0.6155640708445118,0.9648896051977532,28.0,IT (mid)
T10,Auto comp/IT (mid) Core,SHRIRAMFIN,A,-0.6141064592997121,0.958100878536783,28.0,NBFC
T10,Auto comp/IT (mid) Core,LUMAXTECH,Core,-0.5968304001157516,0.9848874145420597,28.0,Auto comp
T10,Auto comp/IT (mid) Core,HEG,Core,-0.2006125057194852,0.5464920072063956,27.5,electrodes
T10,Auto comp/IT (mid) Core,FEDERALBNK,Core,-0.1390213439903291,0.4718865115299934,19.0,Pvt Banks
T10,Auto comp/IT (mid) Core,NUVAMA,Core,0.2868359301240958,0.10055779011878276,25.0,Wealth Mgr
T10,Auto comp/IT (mid) Core,PGIL,Core,0.34807984326136826,0.3781315344111441,19.0,Textile
T10,Auto comp/IT (mid) Core,GVT&D,Core,0.6744311367274034,0.15553694514812436,7.0,Power equip
T10,Auto comp/IT (mid) Core,TATASTEEL,B,0.8799198051906844,-0.01872192370858947,33.5,steel
T10,Auto comp/IT (mid) Core,IIFL,B,1.9972559781689867,0.23846451270336277,67.0,GOLD
T10,Auto comp/IT (mid) Core,ETHOSLTD,B,2.2316793670742925,0.5138389439673751,42.0,Luxury consumer
T10,Auto comp/IT (mid) Core,STAR,B,5.576845127075277,0.8276277617553056,12.0,Pharma
