Symbol,Theme,source,confidence,sector_mode,industry_mode,debug_theme,locked,rank_move_corr,rank_resid,rank_obs,needs_review,review_reasons,review_priority
LGBBROSLTD,Auto Components,industry_mode,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.4846442238025911,0.065,50,False,,8.0
LUMAXIND,Auto Components,industry_mode,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.5358473393341133,0.13,46,False,,8.0
MINDACORP,Auto Components,industry_mode,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.2965677281879516,0.205,50,False,,8.0
PRICOLLTD,Auto Components,industry_mode,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.055739630088526,0.2025,50,False,,8.0
ROLEXRINGS,Auto Components,industry_mode,0.92,Industrials,Auto Parts & Equipment,,False,0.1664162792547301,0.27,50,True,rank_residual_flag,14.0
SANDHAR,Auto Components,industry_mode,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.1346425528221421,0.095,48,False,,8.0
SCHAEFFLER,Auto Components,industry_mode,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.3274813551325287,0.1325,50,False,,8.0
SONACOMS,Auto Components,industry_mode,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.1005474690996981,0.165,50,False,,8.0
SSWL,Auto Components,industry_mode,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.2867606220078492,0.175,46,False,,8.0
SUBROS,Auto Components,industry_mode,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.0935147853218475,0.17,50,False,,8.0
SUNCLAY,Auto Components,industry_mode,0.78,Industrials,Auto Parts & Equipment,,False,-0.2497023543423608,0.3,30,True,rank_divergence_flag;rank_residual_flag,36.0
SUPRAJIT,Auto Components,industry_mode,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.2166126473996686,0.085,50,False,,8.0
TIINDIA,Auto Components,industry_mode,0.92,Industrials,Auto Parts & Equipment,,False,0.3386625181458933,0.21,50,False,,8.0
TVSHLTD,Auto Components,industry_mode,0.86,Consumer Cyclical,Auto Parts & Equipment,,False,0.5049751654202058,0.19,33,False,,14.0
UNOMINDA,Auto Components,industry_mode,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.2035612068742203,0.155,50,False,,8.0
VARROC,Auto Components,industry_mode,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.1388005829928006,0.17,50,False,,8.0
WHEELS,Auto Components,industry_mode,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.3113208576437989,0.145,48,False,,8.0
ZFCVINDIA,Auto Components,industry_mode,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.1218398290969841,0.165,50,False,,8.0
BANDHANBNK,Banks,industry_mode,0.92,Financial Services,Banks,,False,0.2292563645215164,0.2675,50,True,rank_residual_flag,14.0
BANKINDIA,Banks,industry_mode,0.92,Financial Services,Banks,,False,0.606642011173391,0.08,50,False,,8.0
