theme,size,cohesion_pairwise_corr,A_symbols,B_symbols,top_outliers
Healthcare_Pharma_Diagnostics_and_Lifesciences,10,0.1556,"LAURUSLABS, SAILIFE, TORNTPHARM","ACUTAAS, METROPOLIS, SAGILITY","METROPOLIS, ACUTAAS, SAGILITY"
Banks_and_Regional_Lenders,9,0.3039,"AXISBANK, FEDERALBNK, INDIANB","CANBK, IDFCFIRSTB, PNB","IDFCFIRSTB, CANBK, PNB"
Insurance_Wealth_and_Exchanges,9,0.1553,"BSE, NUVAMA, SBILIFE","HDFCLIFE, IIFL, STAR","IIFL, STAR, HDFCLIFE"
Metals_Mining_and_Commodity_Materials,9,0.138,"HINDALCO, JSWSTEEL, TATASTEEL","AIAENG, GMDCLTD, VEDL","AIAENG, GMDCLTD, VEDL"
NBFC_and_Credit_Platforms,8,0.2508,"CHOLAFIN, MANAPPURAM","BAJFINANCE, SHRIRAMFIN","SHRIRAMFIN, BAJFINANCE, LTF"
Alcobev_Luxury_and_Discretionary_Retail,7,0.1492,"RADICO, TITAN","ETHOSLTD, THANGAMAYL","ETHOSLTD, THANGAMAYL, ABDL"
Logistics_Travel_and_Mobility,7,-0.0789,"ASHOKLEY, EICHERMOT","DELHIVERY, GESHIP","GESHIP, DELHIVERY, ADANIPORTS"
Auto_Ancillaries_and_Components,6,-0.064,"FIEMIND, LUMAXTECH","AVL, MSUMI","MSUMI, AVL, CRAFTSMAN"
Industrials_EMS_and_Exports,6,0.01,"AVALON, SENORES","APLAPOLLO, SYRMA","SYRMA, APLAPOLLO, SHAILY"
Tech_Telecom_and_Digital_Platforms,6,0.0162,"BHARTIARTL, COFORGE","IDEA, PAYTM","IDEA, PAYTM, ETERNAL"
Power_and_Electrification,5,0.0078,"GVT&D, WAAREEENER","MTARTECH, POWERINDIA","MTARTECH, POWERINDIA, ADANIPOWER"
