symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
CARERATING,31,1230.75,3672.02,47.59,31.18,5.67,3672.02,0,35,11,51,97.1613492
CEATLTD,31,2922.7,6237.30743,51.96,12.36,12.1,11815.32,47.21,30,22,44,96.166552
CENTURYPLY,31,801.55,4875.07046,57.75,15.36,2.37,17818.24,72.64,24,19,54,97.2410343
DCMSHRIRAM,31,1141.5,5966.60137,57.38,7.15,12.36,17821.39,66.52,25,28,43,95.528702
FEDERALBNK,31,184.09,45125.14,57.45,-3.8,26.22,45125.14,0,25,44,29,97.5421435
GARFIBRES,31,801.35,3738.9205,49.05,10.63,16.07,7955.15,53,33,25,39,97.5313188
JSWSTEEL,31,934.25,126072.668,57.19,5.68,13.44,228599.58,44.85,25,30,42,97.1015437
MARINE,31,220.86,961.21492,54.83,-13.49,92.81,3046.64,68.45,27,62,8,97.4914501
MOREPENLAB,31,64.67,2280.66696,41.89,13.1,22.37,3544.16,35.65,43,21,33,97.6633178
NHIT,31,130.6,14484.4798,66.15,2.23,10.21,17137.34,15.48,15,34,46,95.9007659
NAZARA,31,935.35,7283.56543,64.6,3.63,8.54,7985.49,8.79,17,32,48,97.0625661
AAVAS,32,1688.6,9835.04192,56.79,3.6,13.78,13375.55,26.47,25,32,42,99.6961684
BAJAJFINSV,32,1754,110134.85,54.84,12.14,6.21,279885.26,60.65,27,22,51,100.322508
DODLA,32,1144.3,2804.22158,63.64,-2.03,15.27,6956.64,59.69,18,41,40,99.0188309
HCLTECH,32,1694,180180.524,59.06,7.03,6.96,459761.48,60.81,23,28,50,100.326882
INOXWIND,32,171.88,11606.7748,41.84,3.43,35.14,22441.56,48.28,43,33,25,100.474615
LTTS,32,5418.6,15129.8093,67.7,9.96,-1.89,57440.43,73.66,14,25,60,98.4723201
MPHASIS,32,2798.5,31743.339,58.37,6.04,9.31,53109.15,40.23,23,29,47,100.228549
PNBHOUSING,32,893.95,16711.2834,48.78,13.04,11.62,23245.63,28.11,34,22,44,99.5780524
REDINGTON,32,204.02,15921.19,57.52,6.97,8.2,15921.19,0,25,28,48,100.795955
SPMLINFRA,32,178.86,829.901295,40.42,-3.3,61.64,1273.05,34.81,45,43,13,100.722499
SUVEN,32,129.93,842.313333,54.41,0.85,19.31,2833.21,70.27,28,36,36,100.44415
TCI,32,1050.6,2552.51967,58.51,7,9.66,8165.45,68.74,23,28,47,97.7820287
AARTIPHARM,33,588.25,2948.19976,60.87,-1.28,13.88,5327.43,44.66,20,40,42,101.986358
APOLLOHOSP,33,6841.1,69469.3238,62.03,2.75,8.24,98301.01,29.33,19,34,48,100.843323
BHAGCHEM,33,292.7,2918.92327,49.41,-13.59,93.16,3661.01,20.27,33,63,8,103.162186
BIKAJI,33,726.85,4550.43494,47.21,-1.22,32.75,18187.19,74.98,36,40,26,100.971525
FACT,33,922.5,5965.676,62.4,-1.51,12.4,59656.76,90,19,40,43,102.149974
HEUBACHIND,33,555.05,582.863931,52.92,17.45,2.61,1277.37,54.37,30,18,54,101.143913
INDUSTOWER,33,352.8,47572.94,57.58,-14.9,63.22,95145.88,50,24,66,13,103.038173
KIRLPNU,33,1135.25,4493.4768,43.45,-8.44,72.49,7350.69,38.87,41,52,11,102.923975
MANGLMCEM,33,852.85,1464.8357,49.97,-2.01,27.18,2355.42,37.81,32,41,28,101.67738
ORIENTHOT,33,149.58,864.019936,42.62,17.59,12.17,2663.44,67.56,42,17,44,102.762493
STYLAMIND,33,1986.85,1605.19685,43.64,5.93,22.08,3357.45,52.19,40,29,33,103.167455
VPRPL,33,254.25,1020.32643,55.28,-0.14,17.74,3169.7,67.81,26,37,38,101.72463
ACE,34,1269.35,5263.91658,42.35,-0.04,33.41,15218.03,65.41,42,37,25,104.910144
BDL,34,1253.35,11511.7629,46.86,-6.64,42.47,45918.48,74.93,36,49,20,105.264772
ICICIGI,34,1879.95,45081.2556,48.82,-1.74,25.41,93143.09,51.6,34,40,30,103.853811
KSL,34,870.7,1347.5069,36.21,6.15,35.07,3817.3,64.7,50,29,25,103.740702
MANAPPURAM,34,197.8,10836.8838,64.58,0.5,6.37,16736.5,35.25,17,37,50,103.933548
PGHL,34,5393.95,4312.21118,62.42,4.32,3.98,8950.21,51.82,19,32,53,103.233432
PCBL,34,389.3,7154.23611,48.04,1.03,21.66,14723.68,51.41,35,36,34,104.92838
SHREECEM,34,27363.75,36929.3851,70.25,4.84,-3.83,98609.84,62.55,12,31,61,103.976032
SYRMA,34,532.25,5058.74579,57.59,24.43,-8.45,9469.76,46.58,24,13,67,104.714807
VIDHIING,34,476.75,851.724594,50,2.59,16.44,2383.78,64.27,32,34,39,105.227705
XPROINDIA,34,1238.15,1589.23537,46.29,20.66,5.23,2750.97,42.23,37,15,52,104.255323
AJANTPHARM,35,2718.6,11440.8595,48.42,-2.5,25.37,33908.89,66.26,34,41,30,105.436018
ELECTHERM,35,790.5,709.92373,38.3,-8.61,105.86,1012.73,29.9,48,52,6,106.226211
GABRIEL,35,447.25,2883.4965,61.01,-5.65,16.41,6407.77,55,20,47,39,106.223449
HPL,35,481.7,846.9932,49.35,-11.66,53.14,3098,72.66,33,58,16,106.722115
LGBBROSLTD,35,1362.9,2836.4934,55.16,5.61,7.2,4350.45,34.8,26,30,50,106.220047
LINCOLN,35,719.85,726.321816,46.07,12.4,10.53,1446.28,49.78,37,22,46,105.279454
LODHA,35,1280.15,35774.0503,45.02,7.55,14.83,127673.27,71.98,39,27,41,106.509568
MAHSCOOTER,35,9284.85,5193.7697,42.03,5.48,21.88,10599.53,51,43,30,34,106.867178
NACLIND,35,68.87,500.063315,65.47,7.74,-7.37,1375.69,63.65,16,27,65,107.613027
PRECWIRE,35,161.43,1210.28659,49.28,9.64,8.71,2876.84,57.93,33,25,48,106.333111
SAREGAMA,35,488.05,3813.8283,42.61,-3.33,39.54,9416.86,59.5,42,43,22,106.600441
YASHO,35,1898.4,607.673664,42.12,10.8,15.43,2164.08,71.92,43,24,40,106.856401
BOROLTD,36,388.6,1639.07405,45.05,7.47,12.36,4640.64,64.68,39,27,43,109.357953
BRIGADE,36,1163.8,16680.4461,53.84,0.55,12.76,28450.36,41.37,29,37,43,107.905117
DYNAMATECH,36,7277.25,2860.60055,39.99,10.85,16.03,4921.04,41.87,45,24,39,109.011957
GICRE,36,404.25,12482.2051,50.56,7.47,7.17,70921.62,82.4,32,27,50,108.956104
ICRA,36,6245.4,2899.16349,45.86,9.15,11.19,6023.61,51.87,37,26,45,108.196
INDIGRID,36,142.72,11473.6005,59.16,1.43,5.65,11903.31,3.61,23,35,51,109.369697
KEI,36,3917.75,24291.5319,47.95,-1.78,22.4,37383.09,35.02,35,41,33,108.510902
NXST,36,138.67,16361.3745,65.53,-4.76,7.7,21057.11,22.3,16,45,49,109.834408
ORIANA,36,1657.85,1415.82678,44,-14.29,121.98,3368.61,57.97,40,64,5,108.786505
SYMPHONY,36,1328.75,2427.69027,47.95,-9.12,41.68,9136.96,73.43,35,53,20,108.444187
TITAN,36,3552,148549.321,61.18,6.5,-1.67,315391.34,52.9,20,28,59,107.650761
UDS,36,348.15,955.10863,53.85,11.12,0.16,2323.3,58.89,28,23,57,108.850959
APLAPOLLO,37,1506.2,29969.9328,53.14,6.49,1.86,41804.9,28.31,30,28,55,112.793272
BALRAMCHIN,37,482.2,5563.16515,39.71,2.94,22.67,9737.73,42.87,46,33,33,111.853904
GEOJITFSL,37,94.15,1177.80999,37.55,1.76,29.26,2620.85,55.06,49,35,27,111.193154
HBLENGINE,37,576.2,6519.46889,54.78,0.03,8.56,15943.92,59.11,28,37,48,112.706004
LEMONTREE,37,142.06,8698.36084,59.41,2.76,0.01,11262.93,22.77,22,33,57,112.98963
LMW,37,15774.9,11648.1277,41.62,7.46,14.76,16913.21,31.13,44,27,41,111.634097
PANAMAPET,37,379.85,876.422844,55.13,-4.14,13.83,2302.74,61.94,27,44,42,113.103066
PEL,37,1011.85,12255.8275,51.09,3.07,9.76,22822.77,46.3,31,33,47,110.354873
POLYPLEX,37,1122.5,2585.10775,50.92,2.49,11.46,3526.75,26.7,31,34,45,110.108435
PRAJIND,37,627.15,7759.06761,41.96,-3.84,31.41,11547.95,32.81,43,44,26,112.902996
TDPOWERSYS,37,363.15,3731.63013,47.06,-5.81,25.81,5677.21,34.27,36,47,30,113.009467
UTIAMC,37,1054.3,13491.37,41.64,7.88,13.85,13491.37,0,43,26,42,111.754549
CAMPUS,38,291.95,2333.30719,49.75,-0.44,10.44,8919.37,73.84,32,38,46,116.505884
