symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
BAJAJCON,1,380.95,2837.7557699999998,93.95,40.91,68.85,120.25,4975.9,42.97,3,2,3,9.118386728466465
MTARTECH,1,3586.5,7656.15942,93.74,36.55,132.87,165.45,11031.93,30.6,4,1,2,6.852617861854427
RMDRIP,1,114.88,2265.34118,99.9,45.66,64.28,186.48,2869.7,21.06,1,3,2,5.7203115035134156
RNBDENIMS,1,178.16,683.0255169999999,96.86,47.43,94.56,120.96,1602.97,57.39,2,1,3,6.637756775445258
SANSERA,1,2248.9,9770.345484,98.4,44.54,75.56,88.99,13993.62,30.18,1,2,6,9.351791166529956
SBC,1,30.43,719.453325,94.79,23.7,60.92,164.38,1449.05,50.35,3,3,2,7.966404562860727
SHRIRAMFIN,1,1065.8,149637.926074,96.21,31.69,70.04,97.68,200533.27,25.38,2,2,5,9.383429283547185
ASHOKLEY,2,204.63,58487.709354,91.02,38.02,55.31,91.37,120196.69,51.34,6,3,6,14.819516489191939
ATHERENERG,2,708.25,16014.467374,83.74,9.03,70.93,NA,27078.91,40.86,11,2,2,15.27365920140963
AVANTIFEED,2,1424.35,11016.871355000001,92.83,89.4,115.27,116.14,19406.15,43.23,5,1,4,9.713557698639748
GVPIL,2,479.7,1013.26358,99.93,35.15,38.06,103.18,3224.9,68.58,1,6,5,12.199954893334304
IMFA,2,1439.7,3208.865787,92.58,5.03,73.41,127.8,7767.77,58.69,5,2,3,10.019624864365793
JKTYRE,2,587.95,8183.450344,93.7,27.82,80.6,106.15,16949.98,51.72,4,2,4,9.860493814090466
KIRLOSENG,2,1379.9,11816.73006,93.74,26.36,46.16,104.44,20055.55,41.08,4,5,4,12.74070255802625
LUMAXIND,2,6174.3,1443.2425,83.66,26.07,74.12,171.09,5772.97,75,11,2,2,14.96609032513959
PFOCUS,2,261.8,7969.743189,85.41,51.62,64.83,146.33,20315.43,60.77,10,3,3,15.110720894718614
SHARDACROP,2,1256,2853.319542000001,95.13,62.6,26.26,134.5,11331.69,74.82,2,10,3,14.644161362552795
TDPOWERSYS,2,834.45,9532.751455,90.86,6.2,63.07,151.08,13035.35,26.87,6,3,3,11.114772218507156
TFCILTD,2,74.84,3331.5205800000003,97.85,11.17,22.01,189.74,3464.92,3.85,2,12,2,15.050588476151692
ACUTAAS,3,2017.6,11123.436688000002,91.39,17.91,51.64,86.45,16518.32,32.66,5,4,6,15.329286266902324
