symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
"NAZARA",7,1298.6,10436.330011,89.37,28.55,49.42,11382.19,8.31,10,10,13,32.87122066409903
NUVAMA,7,8231,13381.246758000001,92.92,17.76,66.1,29597.98,54.79,7,16,9,32.847711839748285
PARADEEP,7,159.98,5733.9543300000005,77.47,38.15,91.46,13046.54,56.05,21,6,6,32.790128812889584
AARTIPHARM,8,890.35,4497.1730370000005,86.2,27.31,45.7,8072.47,44.29,13,10,15,37.861005052552
ABCAPITAL,8,276.6,22488.418540000006,98.85,54.53,15.87,72193.96,68.85,2,3,32,37.184881078633225
CUB,8,218.71,16203.44,97.07,25.83,30.9,16203.44,0,4,11,21,35.64037247585739
FAZE3Q,8,604.6,617.84906,82.13,38.26,43.27,1469.32,57.95,16,6,16,38.102561272770814
FORTIS,8,794.5,41287.847575,97.6,12.14,67.14,59985.25,31.17,3,22,9,34.88259337742853
GRSE,8,3015.2,8809.224900000001,77.81,82.73,43.64,34545.98,74.5,20,2,16,37.76669829951499
JKCEMENT,8,6150,25778.468576000003,86.14,34.21,40.12,47456.68,45.68,13,7,17,37.46539112515133
MUTHOOTFIN,8,2623.9,28088.436415000004,95.4,18.46,46.11,105397.51,73.35,5,16,15,35.05120473287121
SDBL,8,161.46,1931.66575,84.92,48.07,41.87,3153.74,38.75,14,4,17,35.13089074589461
SSWL,8,274,1667.9668319999996,95.53,32.69,26.47,4303.32,61.24,5,7,24,35.40183698602307
SUBROS,8,957.1,3946.231905,78.21,50.03,47.85,6243.05,36.79,20,4,14,37.877713015279554
TFCILTD,8,237.05,2113.51161,96.84,43.3,19.4,2198.14,3.85,4,5,29,38.09182344650212
AFFLE,9,1998.3,12647.678810000001,94.91,12.76,48.72,28118.45,55.02,5,21,14,40.16884483938753
ALPEXSOLAR,9,1131.5,865.0855839999998,95.28,32.63,20.74,2769.16,68.76,5,7,28,40.21778898801911
BAJFINANCE,9,936.5,263582.13042,87.42,35.03,31.61,582244.6,54.73,12,7,20,38.92027961694747
DIVISLAB,9,6809.5,86969.50060900001,97.85,12.13,48.15,180772.19,51.89,3,23,14,39.00295713283131
GVT&D,9,2361.1,29615.8156,88.86,15.24,58.28,60440.44,51,11,18,11,39.63605819138158
GILLETTE,9,10909.5,8897.015,97.5,11.84,50.58,35588.06,75,3,23,13,39.19333910429752
HDFCAMC,9,5191.8,52802.578948,95.03,24.73,30.01,111093.16,52.47,5,12,21,38.49978048332091
INTERARCH,9,2194.7,1474.06798,86.02,22.94,NA,3675.98,59.9,13,13,13,38.39644179619547
KARURVYSYA,9,267.54,21072.927135,98.51,18.57,29.42,21527.15,2.11,2,15,22,39.148864478973366
