symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
VIDHIING,48,434.25,774.933678,27.68,-8.56,-5.73,2168.86,64.27,55,36,54,145.5664481
CANBK,49,97.45,32737.80704,37.17,-6.26,-21.66,88313.48,62.93,40,32,75,147.3212166
INDGN,49,547.75,13147.61,29.45,-13.94,NA,13147.61,0,52,48,48,147.7849048
MAXESTATES,49,409.15,3604.822125,28.58,-28.6,39.12,6584.15,45.25,54,79,15,147.6237192
NXST,49,129.65,15246.61257,26.81,-10.41,-2.92,19622.41,22.3,57,40,50,146.9066635
PRESTIGE,49,1375.1,23145.19049,31.85,-16.14,-0.37,59255.48,60.94,48,53,47,147.8371303
SERVOTECH,49,122,1115.987279,35.8,-36.7,42.19,2719.93,58.97,42,92,14,147.7848457
SIRCA,49,289.46,513.634825,37.73,-15.16,-8.54,1582.85,67.55,39,50,58,147.755824
SUMMITSEC,49,1948.6,539.12352,30.87,-28.82,34.88,2126.72,74.65,50,79,18,147.0174474
VBL,49,522.35,70280.96336,39.08,-14.16,-11.73,176718.54,60.23,37,48,62,147.4547146
VERANDA,49,209.62,726.673623,32.3,-26.2,20.23,1560.39,53.43,48,75,26,148.0670154
ZFCVINDIA,49,12527,8749.901556,34.14,-13.01,-8.48,23751.09,63.16,44,45,58,147.7649856
AGI,50,816.75,2104.111128,30.71,-14.73,-2.02,5292.03,60.24,50,49,49,148.3497339
BAJAJHFL,50,122,11436.129,22.22,-11.49,NA,101654.48,88.75,65,42,42,149.323653
DABUR,50,487.75,29154.82232,26.87,-10.1,-3.94,86435.88,66.27,57,39,52,148.1076305
E2E,50,2414.9,2709.016454,31.82,-46.51,117.68,4822.03,43.82,48,98,3,149.2870403
FLAIR,50,249.95,564.286242,37.55,-11.65,-16.7,2635.62,78.59,40,42,68,149.909668
JINDRILL,50,655.3,677.916525,28.77,-3.8,-16.72,1896.27,64.25,53,28,68,149.3073648
MOREPENLAB,50,60.17,2122.320915,31.25,-25.56,20.22,3298.09,35.65,49,73,26,148.3682176
OFSS,50,8721.5,20759.64053,27.41,-19.41,14.78,75737.47,72.59,56,62,30,148.0788115
