symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
KANSAINER,66,253.7,5130.9414719999995,34.65,-9.7,-5.83,20507.36,74.98,64,60,66,190.09190301380602
NIITLTD,66,136.02,1158.869624,31.74,-39.03,35.34,1845.04,37.19,68,98,24,189.94401441172934
RBA,66,81.3,4205.074414000001,36.81,-6.4,-17.29,4739.18,11.27,60,50,80,190.93422101663106
SESHAPAPER,66,287.75,1034.60632,29.97,-6.27,-8.95,1811.92,42.9,72,50,69,191.17552011038913
SIGNATURE,66,1212.2,5164.409389000001,31.66,-10.03,-3.72,17004.97,69.63,69,60,61,190.35563084526308
SABTNL,66,568.6,583.2678510000001,19.58,-70.58,248.09,1430.63,59.23,89,100,2,190.5506496039529
YATRA,66,99.91,557.8713800000002,37.54,-3.81,-23.47,1569.7,64.46,60,43,87,190.4091887099297
AJANTPHARM,67,2510.8,10583.084092,33.39,-16.93,4.09,31366.58,66.26,67,75,53,193.68427738327424
GLAND,67,1588.6,12587.297883000001,38.06,-8.6,-14.14,26130.99,51.83,59,57,77,192.4678189851986
GMMPFAUDLR,67,1132.4,3806.8715279999997,31.05,-7.31,-9.34,5088.04,25.18,70,54,70,193.8464438971787
GUJGASLTD,67,460.05,12381.881832,30.27,-4.11,-14.81,31659.12,60.89,71,44,78,193.52662638795982
HUBTOWN,67,177.33,1635.9858550000001,26.67,-36.06,49.65,2409.05,32.09,78,97,18,193.05282030492828
KICL,67,5000.5,546.031953,32.48,-20.59,12.09,2181.51,74.97,68,81,44,192.97549982848892
NMDC,67,71.17,24537.625841999998,36,-7.2,-14.41,62580.02,60.79,62,53,77,192.3321345120106
OBEROIRLTY,67,1746.3,20520.94905,33.66,-13,-3.54,63532.35,67.7,66,66,61,193.0149763139334
PIXTRANS,67,1668.2,868.8737140000001,29.92,-34.46,33.3,2275.73,61.82,72,96,25,192.81452725016393
POWERGRID,67,289.75,131086.677594,35.69,-12.04,-5.53,269393.09,51.34,62,65,66,192.73956643881513
ZYDUSLIFE,67,930,23419.988513999997,25.51,-3.72,-9.18,93605.07,74.98,81,43,70,193.80251431044394
ABREL,68,2178.2,12114.75343,35.92,-20.87,5.29,24331.7,50.21,62,82,51,195.0280870900825
BALMLAWRIE,68,212.42,3634.17,39.9,-7.41,-20.81,3634.17,0,56,54,85,194.53933943372968
CIEINDIA,68,449.75,5852.2042599999995,34.23,-6.36,-16.86,17061.82,65.7,65,50,79,194.99439102891517
GODAVARIB,68,285.17,533.454255,53.18,-19.38,NA,1453.95,63.31,38,79,79,195.94995548652287
KEI,68,3610.2,22470.317927999993,45.34,-16.3,-11.88,34580.36,35.02,48,73,73,194.40897098555064
KIRLOSBROS,68,1812.2,4900.796069999999,30.88,-20.51,12.29,14392.94,65.95,71,81,44,195.17518028103007
LATENTVIEW,68,416.05,2984.1946640000006,32.25,-7.11,-11.04,8585.14,65.24,68,53,73,193.87812950257978
BECTORFOOD,68,1459.1,4564.074424,26.49,-19.58,19.14,8956.19,49.04,79,80,37,195.27116280220093
POLYCAB,68,5991,33343.61349,47.05,-17.91,-10.77,90239.82,63.05,46,77,72,195.2712446907866
PGINVIT,68,81.98,6338.815500000001,29.95,-5.36,-13.77,7457.43,15,72,48,76,196.40899414595873
TARC,68,170.98,1760.2122239999997,39.33,-22.08,3.19,5046.48,65.12,57,83,54,194.03860256053198
TARSONS,68,376.55,1054.1266779999999,36.59,-10.28,-11.92,2000.62,47.31,61,61,73,194.93236679436046
BHARATFORG,69,1240.9,33165.198017,35.48,-6.86,-20.17,59297.69,44.07,63,52,84,198.61724778749863
CAPACITE,69,328.85,1899.687438,36.32,-24.11,7.36,2780.98,31.69,61,86,49,197.00226475704693
ESCORTS,69,3321.7,11873.338151999998,31.09,-6.53,-13.68,37150.62,68.04,70,51,76,196.8751252667893
GOPAL,69,342.3,790.6973360000001,33.45,-22.59,7.22,4267.12,81.47,66,84,50,199.98077080650413
KEC,69,832.4,11057.086510000001,32.1,-21.05,10.02,22158.49,50.1,68,82,47,196.82517086384271
MONARCH,69,309.55,1147.04463,30.24,-26.39,18.33,2429.15,52.78,72,90,37,198.65782722120514
MSUMI,69,57.88,9796.389043000001,34.83,-9.55,-13.22,25598.09,61.73,64,59,75,198.4256082977787
NEOGEN,69,1680.2,2154.185531,29,-19.85,12.11,4417.03,51.23,74,80,44,198.19494871499853
NIACL,69,186.46,4472.411216,29.37,-4.09,-18.51,30717.11,85.44,73,44,82,199.46709590071532
SHREDIGCEM,69,82.57,554.540052,37.31,-7.33,-21.17,1223.61,54.68,60,54,85,199.0759203139691
SPECTRUM,69,1710.9,734.869199,26.91,-14.03,2.7,2675.17,72.53,78,68,54,199.66700868523571
VEEDOL,69,1698.8,1057.262399,27.79,-8.59,-6.35,2960.69,64.29,76,57,66,198.70844128220324
AGARIND,70,960.2,614.49244,29.14,-19.26,8.6,1435.73,57.2,74,79,48,200.32908026628184
AUROPHARMA,70,1147.8,32409.900665999994,25.65,-9.09,-4.39,67268.37,51.82,81,58,63,201.2663278850403
DIACABS,70,113.41,598.967,28.79,-24.84,15.72,5989.67,90,75,88,40,202.17976030135662
GALAPREC,70,902.9,510.67899600000004,27.65,-11.09,NA,1142.97,55.32,76,63,63,201.52444452863068
GAEL,70,116.4,1931.3996159999997,30.49,-6.3,-18.26,5341.26,63.84,71,50,81,202.45398479370323
HATSUN,70,964.4,5764.481843,25.28,-10.33,-3.59,21485.21,73.17,81,61,61,203.53969805610558
HEROMOTOCO,70,4309.3,56260.378433999984,33.75,-9.5,-16.1,86209.59,34.74,66,59,79,203.60621997573617
IRBINVIT,70,54.89,2594.3454,27.23,-5.26,-16.38,3185.2,18.55,77,48,79,203.32575229761585
KIRLPNU,70,1253.8,4977.995245,34.81,-29.12,10.7,8140.63,38.85,64,92,45,201.8482321784589
MEDIASSIST,70,495.35,2772.877032,30.16,-16.88,0.72,3490.53,20.56,72,74,57,203.00037509935197
NTPC,70,333.9,158347.68660000002,26.45,-8.18,-7.17,323819.4,51.1,79,56,67,201.76813895450778
VAIBHAVGBL,70,254.12,1802.1663099999998,43.56,-9.9,-25.17,4220.53,57.3,51,60,89,199.99096648134756
ALICON,71,902.75,671.705622,36.1,-13.45,-13.5,1468.53,54.26,62,67,76,203.88419332753605
ALOKINDS,71,19.64,2436.715,35.65,-7.71,-23.43,9746.86,75,62,55,87,204.77860065972422
DREDGECORP,71,813.15,603.84933,33.06,-10.84,-13.22,2276.1,73.47,67,62,75,204.23054455826775
HEIDELBERG,71,197.49,1370.259711,21.36,-9.2,-1.8,4476.51,69.39,87,58,60,205.11730950171457
HINDWAREAP,71,270.6,1072.362482,32.66,-5.93,-25.09,2269.07,52.74,68,49,89,205.69069428865163
ICIL,71,291.8,2384.12658,33.8,-10.12,-15.44,5778.3,58.74,66,60,78,203.9217406998761
IRB,71,51.27,21539.143052,27.72,-3.97,-21.37,30955.94,30.42,76,44,86,205.4765398052557
JINDALPOLY,71,635.6,709.4060250000001,25.28,-27.22,25.65,2787.45,74.55,81,91,32,203.7785526845932
ONGC,71,239.4,123654.041353,24.57,-6.74,-10.24,300788.23,58.89,82,52,71,205.49496783060675
OIL,71,426.8,30044.237146000007,23.48,-13,1.76,69322.19,56.66,84,66,56,205.51912532733724
