symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
ATULAUTO,77,474.8,753.976731,23.53,-4.75,-25.58,1316.53,42.73,72,75,73,220.8951724862459
GANESHHOU,77,834.55,1878.1544279999998,8.47,-22.76,-0.38,6971.62,73.06,91,97,33,221.30933506686307
INDIANHUME,77,358.9,523.7946539999999,34.92,-10.17,-27.27,1893.69,72.34,58,86,76,220.4909782028488
INFIBEAM,77,16.18,3789.653296,21.93,3.32,-34.81,5214.88,27.33,74,59,88,221.07395972505844
MAHSEAMLES,77,597.95,2497.3108599999996,14.03,-17.75,-6.9,8022.2,68.87,85,94,41,220.5491600141413
NELCO,77,842.15,959.729372,16.99,-7.22,-18.07,1922.92,50.09,81,80,59,219.71870471703247
PIXTRANS,77,1439.2,751.222044,13.87,-10.68,-10.92,1967.58,61.82,86,87,47,219.83242869766906
REDTAPE,77,143.58,2234.7118200000004,21.18,-2.02,-26.52,7924.51,71.8,75,70,75,220.0406644975925
SASKEN,77,1377.3,1181.724475,9.01,-11.83,-6.03,2075.75,43.07,91,89,40,219.34550976214177
WALCHANNAG,77,188.08,868.301803,23.06,4.87,-38.7,1272.61,31.77,73,55,93,220.22153737393248
AAVAS,78,1633.9,6588.8354070000005,16.22,-21.99,-10.05,12911.69,48.97,82,96,46,223.92684131261063
AJANTPHARM,78,2406.3,10158.007328,26.65,-8.2,-24.84,30106.72,66.26,69,83,71,222.756606426872
ARVSMART,78,653.35,1500.364332,16.45,-5.35,-20.95,2998.33,49.96,81,77,65,222.84665795433978
ASHOKA,78,184.74,2358.8145360000003,16.58,-7.68,-19.19,5181.93,54.48,81,82,61,223.9519141287619
ASIANPAINT,78,2350,106729.579113,18.71,0.03,-29.41,225310.49,52.63,78,65,80,223.2130008312561
CEIGALL,78,261.89,819.8059739999999,19.47,0.24,-30.4,4569.71,82.06,77,65,82,223.88910982917517
EPACK,78,347.05,1731.2077749999999,8.68,-9.08,-11.51,3332.45,48.05,91,84,48,223.02199123145238
JUSTDIAL,78,829.2,1818.7568849999996,18.59,-0.76,-28.18,7035.81,74.15,78,67,78,223.38602709156459
NTPCGREEN,78,97.21,8990.133214999996,17.88,-2.88,NA,81802.85,89.01,80,72,72,223.99175839371645
SERVOTECH,78,123.79,1156.03849,26.02,-1.64,-32.56,2795.74,58.65,69,69,85,223.5217172362514
ANUP,78,2347.1,2773.58588,8.59,-31.39,1.03,4699.4,40.98,91,99,31,221.33781957128457
VENUSPIPES,78,1303.8,1384.5993799999999,27.45,2.38,-39.86,2668.85,48.12,68,61,94,222.61813157562526
MAPMYINDIA,79,1649.3,4375.452590000001,19.33,-6.43,-24,9049.54,51.65,77,79,69,225.4262171221603
ENTERO,79,1114.1,2305.717284,10.81,-5.4,-18.42,4845.98,52.42,89,77,59,225.27602073881872
ICIL,79,270.27,2176.724938,27.93,-5.1,-29.75,5275.63,58.74,67,76,81,224.25505644831077
JISLJALEQS,79,52.55,2804.262708,19.45,-10.57,-18.85,3824.69,26.68,77,87,60,224.30795563833027
LMW,79,14437,10665.18704,18.98,-7.49,-21.63,15412.12,30.8,78,81,66,224.63660863776565
NILKAMAL,79,1551.6,822.6826379999999,10.01,-3.83,-19.2,2320.03,64.54,89,74,61,224.5807069217772
PETRONET,79,278.8,20910,12.38,-6.71,-18.37,41820,50,87,79,59,225.48982506189517
PITTIENG,79,995.9,1719.9453399999998,23.75,-8.32,-23.94,3753.7,54.18,72,83,69,224.45348147516282
SCILAL,79,48.85,823.99875,18.41,0.54,-30.78,2273.1,63.75,79,64,83,225.81323704601203
SKYGOLD,79,263.25,1971.5271719999998,7.12,-23.65,-2.3,4085.22,51.74,93,97,35,225.46957386414127
TTKPRESTIG,79,635.2,2598.1461000000004,14.39,1.38,-27.43,8813.25,70.52,85,63,77,224.1895947074367
UGROCAP,79,170.83,1947.072475,23.33,-1.52,-30.85,1991.89,2.25,73,69,83,224.07491289987934
UNITDSPR,79,1324.3,41717.660369,12.53,-7.4,-16.71,96278.93,56.67,87,81,56,224.00886800816687
ARVIND,80,303.85,4813.65768,18.06,-12.18,-18.07,7963.04,39.55,79,89,59,227.20532889820555
ASTRAL,80,1366.4,16829.69859,17.46,0.59,-31.32,36666.01,54.1,80,64,83,227.51079425396347
BIRLANU,80,1927.6,860.7841200000001,21.69,1.55,-35.76,1448.4,40.57,75,62,89,226.17769074560323
DAMCAPITAL,80,233.45,990.6,14.5,-2.65,NA,1651,40,84,72,72,227.5834709568323
FCL,80,249.47,1061.294208,23.26,2.39,-38.46,2859.09,62.88,73,61,92,225.93645630643925
GALAXYSURF,80,2202.8,2274.9747230000003,16.16,-2.29,-26.11,7820.47,70.91,82,71,74,226.6551184061911
HSCL,80,440.55,10506.862632000002,27.45,-3.45,-33.42,21712.88,51.61,68,73,86,227.52441853537925
JINDRILL,80,594.4,618.3154320000001,7.74,-30.71,-3.63,1729.07,64.24,92,99,36,227.26984749661335
MONARCH,80,314.55,1170.8977200000002,15.95,-6.68,-21.51,2484.4,52.87,82,79,65,226.5178601397534
RAJRATAN,80,315.45,559.1927459999999,17.79,6.7,-44.31,1604.11,65.14,80,51,96,226.5536025470746
TATAELXSI,80,5227,18264.289423000002,18.27,0.63,-32.33,32562.47,43.91,79,64,85,227.58735788744934
TRITURBINE,80,518.95,7279.904063999999,14.84,-3.07,-24.23,16485.29,55.84,84,72,70,225.93975385644927
ARTEMISMED,81,234.18,1088.293785,18.6,-15.99,-17.66,3251.55,66.53,78,93,58,229.33874719326676
CENTRALBK,81,37.78,3668.2479320000007,17.26,2.55,-35.78,34186.84,89.27,80,60,89,230.3909101648761
GNFC,81,491,4196.89151,16.64,-2.64,-27.33,7149.73,41.3,81,71,76,228.95721747547714
GRWRHITECH,81,2940,2685.066888,20.34,-8.39,-23.87,6835.71,60.72,76,83,69,228.71725390910564
HCC,81,27.09,4101.848136,21.6,-0.59,-35.55,4925.37,16.72,75,66,89,229.7523504296612
IRCTC,81,700.4,21065.02024,16.06,-5.13,-24.57,56023.99,62.4,82,76,71,228.90149620028615
INDOSTAR,81,246.15,911.06036,18.76,-20.09,-16.19,3371.8,72.98,78,96,55,228.3477741212123
NCC,81,207.58,10133.559100999999,24.03,-3.38,-31.21,13010.09,22.11,72,73,83,227.86208445252294
POLYPLEX,81,1037.9,2390.92139,9.52,-16.86,-9.57,3261.83,26.7,90,94,45,228.85440604698556
RAMASTEEL,81,9.82,798.1575359999999,21.3,-1.41,-32.18,1530.21,47.84,75,68,84,227.9576835889206
SUZLON,81,55.05,66058.364694,25.44,-4.24,-31.23,74845.19,11.74,70,75,83,228.09517346925486
WESTLIFE,81,687.6,4679.52625,14.71,-1.53,-27.19,10696.06,56.25,84,69,76,228.672770246485
ADFFOODS,82,221.03,1557.238872,12.52,-11.01,-16.4,2438.52,36.14,87,88,55,230.5213339301865
CEWATER,82,506.35,509.155723,21.58,-6.02,NA,1047.43,51.39,75,78,78,231.09786808688847
GATEWAY,82,61.28,2071.9013760000003,20.53,-2.48,-32.9,3061.32,32.32,76,71,86,233.0998729734003
GEOJITFSL,82,78.35,1045.4538400000001,18.9,3.86,-43.6,2184.4,52.14,78,58,96,231.34154926766644
GTLINFRA,82,1.5,1846.075296,22.05,-1.32,-37.5,1908.68,3.28,74,68,91,233.12725191638876
HCLTECH,82,1385.1,147351.151149,11.61,-5.78,-22.88,375991.71,60.81,88,78,68,233.49922249925964
HEUBACHIND,82,516.7,543.275343,4.19,-11.97,-12.22,1190.61,54.37,96,89,49,233.90905628067335
GREENPOWER,82,12.83,1137.21137,17.3,1.91,-37.35,1503.85,24.38,80,62,91,232.98140257657298
SAREGAMA,82,469.15,3651.7435950000004,19.06,-7.34,-25.74,9050.17,59.65,77,81,73,231.50640696640232
SUNPHARMA,82,1594.3,173961.640008,11.6,-9.93,-17.25,382165.29,54.48,88,86,57,231.2666863610058
TIPSMUSIC,82,587.4,2693.496539999999,9.12,-10.91,-15.43,7513.24,64.15,90,88,53,231.8071203436761
VINDHYATEL,82,1384.8,928.25886,18.46,2.8,-40.54,1644.1,43.54,79,60,94,232.7323798142121
ACE,83,1072.6,4411.982172,22.77,-17.41,-22.77,12755.08,65.41,73,94,67,234.8129636643488
AETHER,83,751.95,2492.035,10.81,-9.16,-19.24,9968.14,75,89,85,61,234.7309171670281
ALEMBICLTD,83,99.78,744.4003840000001,21.06,-7.36,-29.41,2556.32,70.88,75,81,80,236.13347881281322
ANGELONE,83,2132.5,13735.646443,12.26,-13.37,-16.75,19337.81,28.97,87,91,56,234.29048609967379
JCHAC,83,1732.4,1214.01465,12.91,-3.83,-25.9,4714.62,74.25,86,74,74,233.91653778776708
LTTS,83,4113.9,11508.635520999997,14.44,-7.73,-23.02,43576.81,73.59,85,82,68,234.19418322191711
MICEL,83,57.3,524.133512,21.95,-1.04,-41.3,1381.48,62.06,74,67,95,235.83914716598522
RELAXO,83,445.95,3196.565879,15.82,4.18,-45.02,11126.23,71.27,83,57,96,236.10180155198907
ROSSARI,83,618.35,1088.6719409999998,14.45,-1.21,-31.9,3420.27,68.17,85,67,84,236.1235194152626
SPANDANA,83,250.58,1042.782336,17.54,4.75,-54.97,2011.54,48.16,80,55,99,234.57478870903793
SYNCOMF,83,16.14,749.01279,20.71,-9.22,-26,1515.3,50.57,76,85,74,234.7732695813156
UBL,83,1800.8,13883.10516,7.36,-9.19,-17.22,47610.1,70.84,93,85,57,234.3842216452959
ALLCARGO,84,31.78,1145.072808,14.39,4.82,-51.15,3118.39,63.28,85,55,98,238.46268293776143
AUROPHARMA,84,1083.9,30641.977744,16.72,-7.86,-25.8,63585.76,51.81,81,82,73,236.54332216137158
BALKRISIND,84,2294.8,18481.74271,14.97,-7.54,-24.76,44310.1,58.29,84,81,71,236.29816563789637
BLS,84,322.3,3937.1587919999997,6.56,-20.27,-12.24,13296.72,70.39,94,96,49,238.63460452660377
LINCOLN,84,532.2,534.3809759999999,6.91,-7.3,-20.59,1064.08,49.78,94,81,64,238.09312572274416
MGL,84,1295.1,8638.164,24.93,-7.23,-33.26,12797.28,32.5,70,80,86,236.911233827514
MANINFRA,84,146.46,2247.960176,8.93,-5.85,-22.94,5925.04,62.06,91,78,68,236.3544022039465
POLYMED,84,1948.1,7411.95894,8.26,-13.76,-15.84,19733.65,62.44,92,91,54,236.77188925607368
RELINFRA,84,242.1,8021.30312,19.38,-7.68,-27.97,9908.96,19.05,77,82,78,236.8165829508925
RHIM,84,440.9,4001.9351399999996,24.45,-12.54,-27.28,9109.8,56.07,71,90,76,237.12721011491118
SOMANYCERA,84,446.5,826.412312,14.87,2.77,-38.71,1836.88,55.01,84,60,93,236.5081548951863
UCOBANK,84,30.49,3462.415969999999,14.61,0.36,-36.8,38258.74,90.95,84,65,90,239.28121846263926
VOLTAMP,84,7235.5,4556.79688,15.94,3.1,-45.1,7326.04,37.8,82,59,96,237.83597266738923
ABFRL,85,84.49,5509.947378,24.79,-9.66,-31.7,10312.46,46.57,71,86,84,240.49566846347398
CONCOR,85,525.8,18097.27544,17.19,-8.01,-28.43,40038.22,54.8,81,83,78,241.62215769167818
EPIGRAL,85,1691.1,2277.595017,20.83,-12.96,-26.03,7307.01,68.83,76,90,74,239.84575942483755
GRINDWELL,85,1588.2,7387.861584000001,18.19,-3.87,-33.98,17602.72,58.03,79,74,87,240.2309157579138
HGS,85,490.15,729.741573,13.95,1.31,-39.69,2279.73,67.99,85,63,93,241.63128964246494
INDUSINDBK,85,735.55,48396.842088000005,15.37,3.69,-49.19,57233.73,15.44,83,58,98,239.38979331704405
PPLPHARMA,85,191.16,16546.83023,8.48,-16.93,-16.53,25401.95,34.86,91,94,56,240.76180173025216
SGFIN,85,356.55,1029.189236,22.6,-12.81,-28.24,1993.78,48.38,73,90,78,241.86526684620446
RENUKA,85,29.76,2364.0939280000002,15.89,2.41,-45.36,6300.89,62.48,82,61,97,239.87560913854733
SJVN,85,90.32,6439.999335000001,18.6,-5.69,-31.84,35482.09,81.85,78,78,84,239.83879788092938
TEXRAIL,85,137.5,2845.0170320000007,17.97,-3.68,-34.61,5498.68,48.26,79,73,88,240.6619792557336
VENKEYS,85,1489.6,922.0016190000001,15.22,-10.4,-24.26,2100.71,56.11,83,87,70,240.01075618090806
ABB,86,5183.3,27464.0975,13.63,-2.7,-35.65,109856.39,75,86,72,89,246.37650682527783
AWFIS,86,569.8,3247.60657,9.19,-15.2,-18.48,4075.3,20.31,90,92,60,242.46874964687865
FIRSTCRY,86,363.8,18971.22,17.35,-1.25,-43.51,18971.22,0,80,68,96,243.59006327233453
EMUDHRA,86,683.45,2577.7543200000005,14.62,-19.51,-22.34,5652.97,54.4,84,95,67,246.34209758843502
MSTCLTD,86,476.4,1188.1364999999998,16.44,-8.49,-28.69,3370.6,64.75,81,84,79,244.14712272743907
PCJEWELLER,86,12.34,4914.711942,22.56,-12.54,-30.75,8107.41,39.38,74,90,83,246.08625856926918
RVNL,86,339.45,19217.139479999998,18.53,-5.64,-36.13,70755.3,72.84,79,77,90,245.90165450652694
RESPONIND,86,184.04,2029.982997,21.05,-8.85,-33.09,4899.79,58.57,75,84,86,245.4772561936238
SFL,86,663.5,2472.735424,11.17,-5.45,-27.85,7207.04,65.69,89,77,78,243.36361874878793
SONATSOFTW,86,346.1,6964.363846,14.89,1.44,-45.15,9695.62,28.17,84,62,97,242.686294723502
TVSSCS,86,124.34,3125.414079,17.01,-2.26,-38.96,5486.07,43.03,81,71,93,244.4623414534007
VSTIND,86,258.45,2981.106688,15.52,-6.12,-31.15,4394.32,32.16,83,78,83,244.38806080761154
BANSALWIRE,87,338.45,1162.4317380000002,8.46,-10.44,-24.44,5281.38,77.99,91,87,70,248.41850460122347
BHAGCHEM,87,255.85,2662.697734,14.08,-15.34,-24.85,3317.59,19.74,85,93,71,249.161571596937
BHARATWIRE,87,170.81,688.239251,30.41,-15.61,-38.27,1171.87,41.27,64,93,92,248.84833771974667
CENTENKA,87,480.3,786.5880619999999,18.58,-12.63,-28.82,1046.83,24.86,79,90,79,247.85122676818835
EMAMILTD,87,538.25,10609.208484,11.7,-6.52,-29.75,23492.49,54.84,88,79,81,247.41161536038715
HIMATSEIDE,87,119.57,940.3070520000001,9.73,-24.78,-19.05,1504.01,37.48,90,98,61,247.99089751251273
KTKBANK,87,172.11,6500.11,12.65,-8.69,-27.32,6500.11,0,87,84,76,246.9826806634914
NEOGEN,87,1500.5,1932.9111640000003,10.73,-8.46,-27.39,3963.32,51.23,89,84,77,249.11363308264944
NPST,87,1934,1216.723836,21.95,-16.68,-29.7,3750.69,67.56,74,94,80,248.19505058909203
ONEPOINT,87,45.07,565.14483,12.59,-1.34,-38.06,1184.79,52.3,87,68,92,246.92408768747185
SESHAPAPER,87,252.25,909.47167,5.28,-6.57,-26.23,1592.77,42.9,95,79,74,248.2606596194949
TATATECH,87,669.5,12157.03113,14.4,-1.55,-39.31,27148.35,55.22,85,69,93,246.87749191080727
BAJAJHIND,88,19.79,1894.269505,11.61,0.87,-53.68,2524.01,24.95,88,63,99,250.30114356167306
BBTC,88,1768,3199.2016350000004,16.99,-5.5,-38.34,12328.33,74.05,81,77,92,250.64540190893598
CHEMPLASTS,88,388.9,2750.502587,6.56,-10.8,-24.38,6110.87,54.99,94,88,70,251.66293048206626
