symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
ABDL,1,662.05,3535.1262890000007,97.48,109.28,102.43,18518.21,80.91,2,2,3,7.385959181058441
KRISHIVAL,1,498.45,697.78527,96.78,108.56,67.86,1111.3,37.21,3,2,6,11.116082071611533
MEGASOFT,1,211.34,1012.2976580000001,97.97,210.25,192.03,1559.06,35.07,2,1,1,4.272547033099832
PROZONER,1,69.88,507.2722089999999,94.37,94.98,199.79,1066.37,52.43,5,3,1,9.28298077443274
QPOWER,1,1018.6,2058.0992140000003,92.21,184.33,NA,7888.46,73.91,7,1,1,9.897253679336112
RMDRIP,1,81.7,1611.0627779999998,98.43,63.79,180.56,2040.87,21.06,1,7,2,9.792186634015696
TDPOWERSYS,1,774.9,8849.962208,97.53,86.75,87.22,12103.34,26.88,2,4,4,9.751933124230078
BGRENERGY,2,438.3,1549.4753160000002,88.48,358.81,888.28,3162.84,51.01,11,1,1,12.876851130163677
CUPID,2,233.59,3414.62484,89.54,181.33,183.04,6271.12,45.55,10,1,1,12.854887579970129
ECLERX,2,4727.6,10705.562537,96.23,89.77,59.62,23177.23,53.81,4,3,7,13.55862646119683
GABRIEL,2,1273.9,8234.46,88.6,133.19,177.24,18298.8,55,11,2,2,14.038071019673218
GARUDA,2,216.64,653.880104,90.91,121.74,138.77,2015.66,67.56,8,2,2,12.38080876699009
HBLENGINE,2,1004.2,11382.107688,95.32,100.72,76.59,27835.92,59.11,4,3,5,11.441189325692292
JAYNECOIND,2,77.69,3383.3449650000002,93.57,90.14,80.63,7543.69,55.15,6,3,4,13.83487399530156
LTF,2,270.49,22934.84499,97.87,61.95,82,67654.41,66.1,2,7,4,13.327719134552941
MTARTECH,2,2548.1,5376.7651000000005,98.32,79.17,52.05,7837.85,31.4,2,5,8,14.251121777735852
RBLBANK,2,326.35,20017.94,97.22,59.69,85.47,20017.94,0,2,8,4,13.941599103221773
SIRCA,2,519.1,1026.237091,98.38,86.29,52.14,2948.11,65.19,1,4,8,13.283210662446509
TATVA,2,1422.3,930.9085900000001,96.88,101.93,62.25,3327.05,72.02,3,2,6,11.874228756417576
ASHAPURMIN,3,664.5,3314.139391,90.22,89.37,167.78,6347.71,47.79,9,3,2,14.675959439992141
AXISCADES,3,1601.1,2852.36256,86.89,98.12,221.02,6804.3,58.08,12,3,1,16.056057218988773
CARTRADE,3,3019.5,14431.33,92.33,66.37,177.58,14431.33,0,7,6,2,14.93844561653774
GVT&D,3,3037.4,38108.5887,90.95,89.49,68.44,77772.63,51,8,3,5,17.0852962905308
GUJTHEM,3,465.1,1476.806458,95,70.02,54.26,5067.97,70.86,5,5,7,17.569718907315956
HLEGLAS,3,573.7,1345.671604,96.8,112.21,46.5,3916.39,65.64,3,2,9,14.543118202484141
IMFA,3,1202.6,2680.407612,90.77,105.01,73.84,6488.52,58.69,9,2,5,16.087925773867617
INOXGREEN,3,266.53,4307.05863,95.3,89.43,50.65,9782.1,55.97,4,3,8,16.15728509013458
LAURUSLABS,3,953.65,37276.95764,96.2,54.36,90.81,51480.4,27.59,4,9,4,16.209375041814027
LUMAXIND,3,4991,1166.6475,89.2,111.84,99.4,4666.59,75,10,2,3,15.882359361498398
TI,3,528.1,6904.677879999999,93.75,80.21,79.41,10994.71,37.2,6,4,4,15.067748890335086
TSFINV,3,654.3,6543.8766780000005,89.77,88.26,89.65,14532.26,54.97,10,4,4,17.065149864966937
ABCAPITAL,4,324.2,26512.502239999994,95.07,62.65,57.28,84704.48,68.7,4,7,7,18.868894567863936
CHENNPETRO,4,979.35,4770.308643999999,96.7,56.56,49.37,14583.64,67.29,3,8,9,20.259279206459
GMDCLTD,4,594.3,4913.6724,86.56,92.55,59.31,18898.74,74,12,3,7,22.431021338450872
GRMOVER,4,430.25,839.679027,98.7,36.35,91.49,2639.67,68.19,1,17,4,21.590808508056387
INDOTHAI,4,401.8,1994.8225280000001,81.51,107.9,290.86,4908.52,59.36,17,2,1,20.735915577817977
PAYTM,4,1303.2,83288.52,96.98,50.48,71.06,83288.52,0,3,10,5,18.320261949906147
ORIANA,4,3001.1,2562.9809939999996,97.42,97.01,29.59,6097.98,57.97,2,3,16,21.007502859549696
PRIVISCL,4,2903.6,3415.151475,96.81,43.69,65.5,11342.25,69.89,3,14,6,22.94662986890319
RAMCOSYS,4,625.35,1095.80443,94.07,63.13,58.76,2336.47,53.1,5,7,7,19.374813675702168
SYRMA,4,813.8,8932.454919,88.23,72.43,59.88,15662.73,42.97,11,5,7,22.978503831891057
TFCILTD,4,69.01,3072.0021150000002,86.55,63.8,109.82,3195.01,3.85,13,7,3,22.56518963047443
V2RETAIL,4,2442,3866.9084159999998,96.39,43.83,114.26,8446.72,54.22,3,13,3,19.84625015024131
ZOTA,4,1511,2025.3425940000002,89.32,67.88,147.66,4583.26,55.81,10,6,2,18.278174560956998
GMBREW,5,1226.4,716.4586149999997,87.72,83.52,51.44,2801.95,74.43,12,4,8,24.048132888440367
GPIL,5,283.74,6932.994179,95.67,52.46,43.22,18999.71,63.51,4,10,10,23.656195457388947
INDIANB,5,858.7,30257.65008,94.99,48.95,46.71,115663.8,73.84,5,11,9,24.97867322813285
INDRAMEDCO,5,606.45,2724.1599,94.01,52.72,48.79,5559.51,51,6,9,9,23.94782763008873
NETWEB,5,4037.8,6633.953,86.3,151.67,48.64,22875.7,71,13,1,9,23.367752637450906
PARAGMILK,5,311.55,2236.9416810000002,93.19,49.71,49.65,3897.79,42.61,7,11,9,25.920491224808096
PREMEXPLN,5,660.15,2082.227635,93.64,60.99,41.24,3549.05,41.33,6,8,11,24.956663815054004
SBC,5,23.92,561.77946,98.86,80.12,24,1139.05,50.68,1,5,19,24.953900642491057
SENORES,5,771.2,1924.9943000000003,93.66,52.53,NA,3551.65,45.8,6,10,10,25.316973086974468
SJS,5,1614.5,3974.947,98.35,71.76,27.86,5067.5,21.56,2,5,17,23.563658576495474
TNPETRO,5,123.74,728.7596340000001,94.04,61.77,42.84,1113.29,34.54,6,7,10,23.261700202855188
TAC,5,816.05,736.489628,89.33,44.12,128.43,1710.38,56.94,10,13,2,25.8943587648519
ABINFRA,6,19.18,846.0006,77.76,88.59,133.05,1225.2,30.95,20,4,2,26.365497899436473
ANANDRATHI,6,3088.4,14686.643552000001,86.45,76.92,48.69,25640.09,42.72,13,5,9,26.365457709763582
BLACKBUCK,6,684.4,9018.537839999999,87.27,62.03,NA,12386.4,27.19,12,7,7,26.490176974920914
CHOICEIN,6,836.6,7465.310246,99.65,33.56,60.01,17205.14,56.61,1,19,7,26.536900756938607
FISCHER,6,117.71,2916.0657600000004,89.19,47.97,83.23,7633.68,61.8,10,11,4,26.007981173533825
JSLL,6,742,3356.2897290000005,81.05,64.77,115.31,9223.11,63.61,18,7,3,27.321168555276028
LUMAXTECH,6,1127.7,3383.4388280000003,76.35,108.54,113.18,7686.14,55.98,22,2,3,27.20596220690025
MCX,6,9243.5,47140.34,92.83,47.54,42.44,47140.34,0,7,12,11,28.877196680373498
PSPPROJECT,6,928.8,1148.0257740000002,94.08,45.93,51.42,3681.93,68.82,5,12,8,26.12748182557246
SAMMAANCAP,6,188.59,15622.1,96.9,56.7,29.84,15622.1,0,3,8,16,26.869958302419054
SUBROS,6,1086.8,4481.475222,82.18,82.52,67.78,7089.82,36.79,17,4,6,26.7360699065475
THYROCARE,6,1397.3,2146.1271900000006,90.6,52.99,50.62,7413.22,71.05,9,9,9,26.619069709619055
VSTTILLERS,6,5989.5,2298.0436659999996,94.3,62.16,29.63,5176.94,55.61,5,7,16,28.378402650123807
BAJAJCON,7,277.19,2337.25805,98.59,65.02,19.78,3958.1,40.95,1,7,22,29.624463204209544
BEL,7,426.1,152184.085648,94.95,35.14,47.62,311469.68,51.14,5,18,9,31.602544928853774
CANBK,7,136.99,46062.755695,97.32,40.99,31.77,124258.85,62.93,2,15,14,31.473252312212423
FORTIS,7,1023.05,53161.531917,85.97,50.23,61.02,77235.99,31.17,13,10,7,30.079285119517664
HIRECT,7,1853.4,1785.745395,80.52,97.85,52.09,3184.85,43.93,18,3,8,28.893868342873272
KRISHANA,7,505.1,857.6062040000003,74.34,69.41,130.06,3058.51,71.96,24,6,2,31.792544099417597
MANAKCOAT,7,152.5,717.4096650000001,75.9,72.9,148.9,1613.97,55.55,22,5,2,29.500662999461035
MUTHOOTFIN,7,3178.7,34009.33887000001,87.75,44.25,64.58,127614.78,73.35,11,13,6,30.955355038211703
POCL,7,1370.9,2537.280414,86.61,70.49,39.68,4182.79,39.34,12,5,12,29.291125921639136
ROSSTECH,7,656.5,623.6420400000001,70.79,113.84,NA,2474.77,74.8,28,2,2,31.47033606895603
TVSHLTD,7,15175,7844.417209999999,95.1,65.46,21.46,30702.22,74.45,4,6,21,31.6309378723377
VINCOFE,7,163.84,1404.9463680000001,93.81,65.86,23.78,2131.29,34.08,6,6,19,31.838264465129917
ACUTAAS,8,1727.7,9525.155458000001,85.2,43.72,75.27,14144.87,32.66,14,14,5,32.09875245143508
AGIIL,8,259.9,859.1901780000002,78.28,51.87,110.55,3175.13,72.94,20,10,3,33.12485884931866
APOLLO,8,276.8,4614.5963170000005,70.54,121.56,169.92,9290.51,50.33,28,2,2,31.87624004758518
AUBANK,8,877.85,50561.752546,97.15,29.36,42.2,65511.47,22.82,2,21,11,34.3513202572648
AIIL,8,2908.1,15415.446064999998,79.4,56.78,73.22,49392.65,68.79,19,8,5,32.24622569903327
CUMMINSIND,8,4344.1,59005.040499999996,96.94,47.75,24.13,120418.45,51,3,11,19,33.437120837091214
DELHIVERY,8,465.95,34836.94,90.83,52.45,27.78,34836.94,0,9,10,17,35.19443798449089
FORCEMOT,8,17654,8925.387669,72.62,73.35,123.04,23261.37,61.63,25,5,3,32.94091389773734
GOODLUCK,8,1255.7,1817.67248,87.63,69.91,31.16,4173.76,56.45,12,6,15,32.33026288827571
HINDWAREAP,8,370.6,1465.026918,89.73,88.77,21.35,3099.93,52.74,10,4,21,34.13277682220593
KINGFA,8,4647,2076.859434,86.59,46.14,46.51,6297.33,67.02,12,12,9,34.0760635205444
PENIND,8,261.38,2128.324548,94.11,42.36,32.9,3527.22,39.66,5,14,14,33.40836820133698
AVALON,9,1190.7,4411.892102,82.88,36.2,102.28,7943.63,44.46,16,17,3,35.77420042023996
BANCOINDIA,9,709.5,3259.6982000000007,70.98,84.26,92.75,10148.5,67.88,27,4,4,35.20616637024574
DCAL,9,291.8,1861.0815240000002,79.2,50.87,51.04,4574.93,59.32,19,10,8,37.83536109143777
EICHERMOT,9,7007,97899.848946,95.49,28.32,41.45,192186.59,49.06,4,22,11,37.26556256634574
INDIAGLYCO,9,969.25,2340.136911,82.3,40.5,57.72,6001.89,61.01,16,15,7,38.592807532167456
KERNEX,9,1301.6,1549.4555229999999,70.66,75.63,67.12,2181.41,28.97,28,5,6,38.7210169363851
KMEW,9,2418.5,1026.863682,83.3,69.93,28.97,2612.22,60.69,15,6,16,36.816333908257405
IXIGO,9,269.65,11774.91,68.71,84.58,80.39,11774.91,0,30,4,4,38.81294376137317
MBAPL,9,406.85,904.4658700000001,76.26,51.5,77.91,3565.1,74.63,22,10,5,36.78549702970458
MARUTI,9,16186,212309.746572,91.8,29.92,45.69,508892.01,58.28,7,21,10,37.876355300076014
