symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
ATHERENERG,1,733.7,16599.042618,88.8,5.43,75.84,NA,28067.37,40.86,7,2,2,10.356026662314223
MTARTECH,1,3647.9,7783.383500000001,93.48,39.99,139.93,148.06,11215.25,30.6,4,1,3,8.22782154593469
PFOCUS,1,273.51,8340.57261,90.17,63.35,79.98,155.16,21260.7,60.77,6,2,2,10.019062088115158
RMDRIP,1,119.51,2357.037884,99.84,51.2,65.69,230.23,2985.86,21.06,1,2,1,4.96917122789821
RNBDENIMS,1,190.33,729.449112,99.85,43.25,105.58,137.79,1711.92,57.39,1,1,3,5.67421880803907
SBC,1,31.88,752.28687,99.43,21.22,68.41,151.62,1515.18,50.35,1,2,3,5.980353011090139
TDPOWERSYS,1,884.1,10095.311293,94.29,21.98,70.69,165.22,13804.61,26.87,3,2,2,7.431352886923347
ACUTAAS,2,2102.4,11593.658440000001,94.59,23.54,47.65,84.21,17216.6,32.66,3,5,7,14.30851230452905
AUBANK,2,1017.05,58701.70522300001,96.05,11.11,37.06,90.09,76028.63,22.79,2,6,6,14.259634876017245
BAJAJCON,2,366.6,2733.425088,88.09,37.92,61.85,125.84,4792.96,42.97,8,3,3,13.754123859302734
KARURVYSYA,2,319.5,30232.993673999998,94.58,29.32,48.49,75.31,30884.66,2.11,3,4,8,15.575064082028124
KIRLOSENG,2,1422.3,12194.448503999998,94.29,22.27,49.89,139.32,20696.62,41.08,3,4,3,10.664240278482605
KRISHNADEF,2,1157.4,690.342656,93.89,45.8,45,87.54,1726.72,60.02,4,5,6,15.174073069287068
LUMAXTECH,2,1665,4994.619250000001,88.44,24.78,45.77,198.87,11346.25,55.98,7,5,2,13.974062289359317
PRECWIRE,2,291.08,2304.19377,91,14.1,63.77,103.97,5311.65,56.62,6,2,5,13.057329831761097
RBLBANK,2,332.55,20517.98,95.86,6.43,31.36,107.66,20517.98,0,2,8,4,14.537519255377454
SANSERA,2,2252.6,9754.147244,94.74,40.23,73.61,89.27,13970.42,30.18,3,2,6,10.602298696547773
SHRIRAMFIN,2,1054.7,148038.22251400002,93.56,28.11,71.26,81.58,198389.47,25.38,4,2,7,13.113135711917776
VMARCIND,2,728,624.5516789999998,87.27,-1.99,53.02,153.04,1777.83,64.87,9,4,2,14.671583078339891
ASHOKLEY,3,203.49,58173.039732,90.08,40.64,55.1,79.68,119550.02,51.34,6,3,7,17.04291255872825
BHARATFORG,3,1758.2,47001.44106700001,95.11,24.68,56.56,62.59,84036.19,44.07,2,3,10,15.99665148284231
CUPID,3,414.2,6066.7101,76.29,22.9,140.9,498.47,11141.8,45.55,16,1,1,18.38154636208511
INDIANB,3,927.35,32674.89948,94.68,8.87,38.36,76.42,124904.05,73.84,3,6,8,16.80297241409018
JKTYRE,3,557.7,7765.147596,85.75,24.92,71.63,89.18,16083.57,51.72,10,2,6,17.98603927653307
LUMAXIND,3,6001.7,1402.9425,80.12,19.38,56.6,164.35,5611.77,75,13,3,2,18.312105539714043
MRPL,3,193.75,3875.8041080000003,95.23,13.78,55.14,65.08,33938.74,88.58,2,3,10,15.57626253852507
RACLGEAR,3,1517.7,1025.036364,83.31,40.93,62.88,104.85,1788.27,42.68,11,3,4,18.220748671805303
SBIN,3,1205.7,495032.95645000006,96.37,23.97,47.71,65.23,1112433.61,55.5,2,4,10,16.09389798457027
SJS,3,1841.1,4658.214789,92.08,8.46,33.52,111.39,5910.69,21.19,5,8,4,17.252361939329127
SMSPHARMA,3,358,1070.577696,91.5,27,50.83,75.85,3351.84,68.06,6,4,8,17.507043609901082
TMB,3,685.7,10851.11,92.59,38.23,60.53,64.12,10851.11,0,5,3,10,17.92702507012205
AVANTIFEED,4,1346.75,10415.512422000002,84.27,56.38,109.53,88.66,18346.86,43.23,11,1,6,18.436219774172663
BANKINDIA,4,169.16,20506.783550000004,94.69,16.29,46.51,61.5,77035.25,73.38,3,5,11,19.038066896712962
CRAFTSMAN,4,8050.5,9876.470940000001,96.25,19.37,17.99,99.94,19252.38,48.7,2,14,5,20.657477572182252
DCBBANK,4,190.83,5148.01524,87.43,2.56,56.2,74.04,6146.15,16.24,8,3,8,20.09966606058216
FORCEMOT,4,24139,12217.077066,88.28,42.83,19.42,254.11,31840.18,61.63,8,12,1,21.18613441877082
GVT&D,4,3545.7,44487.74189999999,89.35,22.18,28,148.74,90791.31,51,7,9,3,18.390517566609635
JAMNAAUTO,4,142.82,2860.9096739999995,88.37,35.28,39.76,83.57,5713.82,49.93,7,6,7,20.187557758389612
MCX,4,2361.2,60212.53,81.1,21.93,48.32,107.51,60212.53,0,13,4,4,21.194518281851217
RHETAN,4,25.76,776.67258,87.3,12.15,44.56,80.77,2050.35,62.12,9,5,7,20.9639971520954
SMLMAH,4,5133.3,3049.51372,95.03,85.63,13.11,337.81,7432.4,58.97,3,17,1,21.26136578122777
STLTECH,4,156.72,4253.323572,92.57,47.77,20.1,128.19,7655.37,44.44,5,12,3,20.20965921585657
VENUSREM,4,770.8,597.519104,82.86,9.97,51.14,146.93,1025.96,41.76,12,4,3,18.485690098710094
ABCAPITAL,5,344.3,28330.685056,88.61,5.73,20.24,117.81,90167.68,68.58,7,12,4,22.83629270212426
ANURAS,5,1337.8,6237.934824,91.41,7.3,18.32,108.23,15244.22,59.08,6,13,4,23.163463771558654
BLISSGVS,5,226.47,1549.38848,87.35,41.73,40.4,68.1,2396.95,35.36,9,6,9,23.737730952932814
EICHERMOT,5,7897,110297.60577,92.82,10.69,33.29,61.55,216524.55,49.06,5,8,11,23.7121276651269
FEDERALBNK,5,288.3,71033.79,91.97,17.64,46.84,56.36,71033.79,0,6,5,12,22.81057365684059
IMFA,5,1317.1,2935.182906,79.82,1.13,52.13,104.49,7105.26,58.69,14,4,5,21.809717729500917
LTF,5,294.9,25084.501070000002,82.49,2.15,32.42,114.29,73843.1,66.03,12,8,4,23.680662405317445
SHARDACROP,5,1173.3,2664.678536000001,85.49,46.78,22.07,112.55,10582.52,74.82,10,11,4,25.32448691051768
THANGAMAYL,5,3494.4,4168.199116,75.07,15.5,65.17,104.24,10843.39,61.56,17,2,5,24.265506842900997
TFCILTD,5,72.57,3226.1882550000005,92.98,12.81,17.41,140.78,3355.37,3.85,5,14,3,21.619875577105876
UJJIVANSFB,5,62.22,12064.78,84.42,14.88,42.35,91.21,12064.78,0,11,5,6,22.04490059729728
UNIONBANK,5,189.52,36536.048419999985,92.93,25.6,40.64,61.87,144754.55,74.76,5,6,11,21.40923496096396
APARINDS,6,10063.5,17087.495339,94.15,9.83,22.81,57.83,40462.93,57.77,4,11,12,26.435849791917292
BELRISE,6,183.61,5483.377458000002,90.09,13.87,25.26,NA,16348.77,66.46,6,10,10,26.674547598864866
CANBK,6,149.42,50239.028532000004,86.16,2.5,35.92,69.68,135524.76,62.93,10,7,9,25.575453788097313
GMDCLTD,6,560.9,4636.3148,78.71,14.73,31.27,107.05,17831.98,74,15,8,4,27.183154850379708
GRAPHITE,6,683.05,4624.087648,93.53,23.07,27.16,60.79,13341.28,65.34,4,9,12,25.400483472117315
GRMOVER,6,160.82,1253.375816,79.35,-0.97,28.74,119.73,3332.56,62.39,14,9,4,26.203339344355513
POWERINDIA,6,22851,29180.386693999997,93.46,5.97,14.97,102.26,101709.26,71.31,4,16,5,25.545810986466602
INFOBEAN,6,868.4,538.7878399999998,78.74,57.79,28.26,154.22,2104.64,74.4,14,9,2,25.73693980211227
JAYNECOIND,6,80.08,3490.3660350000005,79.16,8.7,31.71,126.86,7782.31,55.15,14,8,3,25.525502770079875
KMEW,6,1614.1,1830.571675,73.68,17.71,65.91,94.55,3947.75,53.63,18,2,5,25.64728796853013
SIGMAADV,6,183.87,928.437044,72.89,1.97,38.53,193.16,3225.98,71.22,19,6,2,26.580646954828296
TATASTEEL,6,205.41,171341.554014,93.14,22.27,29.56,48.8,256460.94,33.19,5,8,14,27.09668357014455
APLAPOLLO,7,2203,43918.370982,89.49,27.5,33.56,49.19,61227.34,28.27,7,8,14,28.305918954603268
CUB,7,284.55,21105.38,78.17,8.31,34.44,83.29,21105.38,0,15,7,7,28.954022854120094
CUMMINSIND,7,4646,63095.0117,93.64,7.2,18.64,64.83,128765.33,51,4,13,10,27.257949289458608
HAPPYFORGE,7,1290.9,2618.93865,92.28,27.02,36.1,44.86,12181.11,78.5,5,7,16,28.174031861025412
HINDCOPPER,7,563.65,18460.698861999997,65.92,79.42,136.85,151.1,54520.67,66.14,25,1,3,28.380552199728044
INDUSTOWER,7,472.9,61075.168531999996,94.88,19.12,33.76,38.64,124719.56,51.03,3,7,19,29.108310241647718
MMFL,7,488.7,1030.057282,94.51,56.01,53.34,33.93,2359.27,56.34,3,3,22,28.67268408054663
MFSL,7,1832,62521.52825,96.39,10.26,11.8,75.1,63312.94,1.25,2,19,8,29.294760877691736
NETWEB,7,3527.9,5828.1386999999995,70.51,6.7,51.91,118.03,20097.03,71,21,4,4,28.029728833681574
RICOAUTO,7,123.83,832.614458,80.01,14.59,34.19,71.08,1676.63,50.34,13,7,9,29.327867071957655
MOTHERSON,7,129.88,70417.62478,90.75,18.29,36.49,47.81,136999.27,48.6,6,7,15,27.53779554699236
TVSMOTOR,7,3830.1,90524.04613799999,95.41,11.28,16.25,58.32,182031.06,50.27,2,15,12,29.040971050719843
