symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
RPTECH,17,351.55,837.7063340000001,64.38,8.17,18.77,26.46,2325.67,63.98,21,12,24,57.1486720360961
SCHNEIDER,17,905.85,5425.5775,72.29,20.23,1.77,42.19,21702.31,75,16,27,16,58.75830614964911
SIRCA,17,451.4,890.8261910000001,71.59,-9.98,-3.5,71.11,2559.11,65.19,16,34,8,57.77885420410911
TATVA,17,1137.6,745.5914540000001,52.76,-17.99,14.03,56.96,2664.73,72.02,29,15,12,55.65680960104916
VERTIS,17,107,6824.6449920000005,73.95,-1.83,4.9,NA,16156.83,57.76,14,22,22,58.35202026015886
VSTTILLERS,17,5333.5,2036.462274,70.26,-4.31,1.52,58.14,4587.66,55.61,17,27,11,55.73110213083069
CANFINHOME,18,827.3,7714.051850000001,61.65,-8.16,9.64,36.47,11018.5,29.99,23,18,19,59.69009799435512
COALINDIA,18,440.45,100012.19412299998,81.06,15.92,12.17,15.12,271256.29,63.13,9,16,34,59.16307777144212
EMBASSY,18,433.75,37876.473042,73.6,-1.68,10.83,21.06,41031.82,7.69,14,17,28,59.529375194237154
FIEMIND,18,2094.7,2509.559112,67.08,-7.04,2.54,47.23,5517.94,54.52,20,25,15,59.54459555117566
FLAIR,18,315.2,713.0579089999998,74.35,9.69,-1.9,41.11,3330.49,78.59,14,31,17,61.272122287992346
GRANULES,18,577.1,8672.371758,76.62,2.9,12.85,16.82,13992.21,38.02,12,16,32,59.23752861102837
IIFL,18,485.1,15478.690590000002,49.12,-14.8,11.52,48.87,20597.06,24.85,31,17,14,61.60217561512532
QPOWER,18,833.75,1685.0278680000004,69.51,16.25,-8.23,146.6,6458.52,73.91,18,41,2,61.38366678641625
SANGAMIND,18,433.4,642.0025550000001,56.14,1.88,18.72,31.71,2165.27,70.35,27,12,20,58.898110423149724
STEELCAS,18,226.81,1260.897,74.5,4.6,5.65,25.9,2292.54,45,13,21,25,59.15990960876651
SUNPHARMA,18,1799.4,196702.749208,82.96,-0.33,12.91,11.49,432123.79,54.48,7,16,38,61.01238702958106
VIYASH,18,202.87,3421.0883980000003,61.53,1.59,10.37,31.03,8865.22,61.41,23,18,21,61.48252978452126
3MINDIA,19,34320,9747.245,65.39,0.57,12.95,22.99,38988.98,75,20,15,26,62.13902481200028
ADANIPOWER,19,138.99,67145.46362400003,51.57,-3.33,13.98,38.12,268152.81,74.96,30,15,18,62.52832730430455
AMBER,19,7872.5,17105.657898,76.64,19.96,1.01,27.49,27674.58,38.19,12,28,23,62.854220328433016
ANZEN,19,120,2357.0147030000003,88.07,4.35,4.35,14.22,3068.63,23.19,5,23,35,62.36045794728827
CUBEINVIT,19,140,11026.75028,77.07,1.78,7.69,16.67,18816.98,41.4,12,20,32,63.08922090897181
GMRAIRPORT,19,95.06,33827.445728000006,61.62,-8.16,10.6,28.96,100199.78,66.24,23,17,22,62.52551509286684
MINDSPACE,19,460.41,13004.950769999998,67.22,-6.76,9.19,26.96,36582.14,64.45,20,18,24,61.78719847862082
NMDC,19,79.79,27512.798301,74.19,4.36,7.06,19.27,70167.81,60.79,14,20,29,63.346121340259
SANDHAR,19,498.1,888.745138,60.69,-9.25,8.44,32.79,3000.49,70.38,23,19,20,62.18405362688766
SANDUMA,19,200.89,2519.6340800000003,51.03,-0.53,30.36,25.03,9773.6,74.22,30,8,25,62.86008467424223
