symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
HCC,81,17.27,3767.4372959999996,20.51,-14.12,-26.2,-18.54,4523.82,16.72,74,82,77,233.35387523503448
INDIGOPNTS,81,807.6,1774.3286399999997,16.39,-33.97,-20.93,-18.07,3847.2,53.88,85,72,76,232.50939137740198
KPEL,81,310.99,1156.4120879999998,21.12,-2.33,-22.72,-22.7,2097.99,44.88,73,75,83,230.516559095334
KRSNAA,81,594.75,1402.957564,23.6,-17.95,-28.55,-20.68,1924.76,27.11,67,86,80,233.1897751670245
MTNL,81,30.77,848.098125,27.63,-8.67,-26.93,-27.7,1938.51,56.25,57,84,89,230.3027097307605
PACEDIGITK,81,157.75,1034.7015120000003,19.69,-11.05,-23.49,NA,3394.69,69.52,76,77,77,230.04311565696298
SFL,81,520.25,1943.0370580000003,20.27,-8.67,-22.77,-20.88,5663.18,65.69,74,75,81,230.20719372174585
SUNTECK,81,313.8,1691.63512,20.87,-25.37,-29,-15.98,4609.36,63.3,73,87,74,233.81365466935154
VADILALIND,81,4456.8,1128.326097,13.69,-3.01,-15.06,-22.91,3199.11,64.73,90,58,83,230.99332502100305
BALUFORGE,82,454.65,2537.9714129999998,25.65,-2.17,-27.47,-27.57,5516.13,53.99,62,85,89,235.290511274987
INA,82,131.4,982.1508000000001,25.54,4.7,-23.25,-44.79,2897.2,66.1,62,76,97,235.8112176452546
KFINTECH,82,900.55,11976.191063999999,6.8,-14.62,-20.15,-9.8,15527.28,22.87,99,70,65,233.83609796103428
NSIL,82,5598.3,1277.0478140000002,22.8,-9.11,-28.64,-21.17,2877.53,55.62,69,86,81,235.97181920014935
NIBE,82,1003.85,699.634744,16.3,-17,-23.61,-17.68,1501.04,53.39,85,77,76,238.28129992398885
