symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
KIRLOSENG,1,1451.3,12435.254544,91.73,26.8,63.19,122.47,21105.32,41.08,2,2,3,6.937345069050764
MCX,1,2498.8,63745.12,88.49,22.95,61.08,159.83,63745.12,0,3,2,2,6.560836066688082
SBC,1,32.07,758.9350049999999,96.22,14.7,44.52,158.63,1528.57,50.35,1,3,2,6.200986873444906
STLTECH,1,186.94,5064.338448,87.76,85.81,53.7,222.92,9115.08,44.44,3,2,1,6.2044302163273475
SWANDEF,1,2394.6,640.8666300000004,99.8,99.67,335.66,2962.15,12590.7,94.91,1,1,1,3.1608448415921995
VENUSREM,1,894.45,696.3232639999999,92.27,8.37,97.41,208.01,1195.61,41.76,2,1,2,4.568232299129809
ACUTAAS,2,2083.8,11480.540708,84.38,25.23,42.77,90.95,17048.62,32.66,4,3,5,11.105756415920021
AGIIL,2,305.9,1036.5116520000001,91.79,15.89,32.04,87.34,3830.42,72.94,2,4,5,11.43272721171856
CUPID,2,76.25,5620.780935000001,69.39,-3.24,83.82,496.17,10322.83,45.55,11,1,1,12.993561436941444
GESHIP,2,1459.9,14579.139266999999,93.03,31.59,46.62,62.74,20848.19,30.07,2,3,9,12.639641532358866
GVT&D,2,3604.3,45225.9955,85.63,18.14,26.42,153.55,92297.95,51,3,6,2,11.732747420903486
MTARTECH,2,3388,7231.79924,80.68,44.45,102.62,169.4,10420.46,30.6,5,1,2,7.976178503425256
NATIONALUM,2,387.35,34651.88076,84.94,39.26,78.68,106.18,71124.55,51.28,3,1,4,8.752533978821578
PFOCUS,2,257.45,7834.466379999999,82.49,28.15,34.58,174.03,19970.6,60.77,4,4,2,10.085579042839132
SAKAR,2,518.75,544.094594,85.77,22.82,51.75,117.27,1154.21,52.86,3,2,3,8.83050137003399
TDPOWERSYS,2,780.5,8933.465731,75.48,13.59,42.04,143.22,12215.87,26.87,7,3,3,12.586718859642074
THANGAMAYL,2,3504.1,4187.376832,74.45,9.62,61.46,98.15,10893.28,61.56,8,2,4,13.527561730938164
VMARCIND,2,691.2,592.9803479999999,81.18,4.62,51.16,175.82,1687.96,64.87,5,2,2,8.727630186153107
ATHERENERG,3,705,15948.289713999999,83.09,9.29,28.9,NA,26967.01,40.86,4,5,5,14.847134309525075
BAJAJCON,3,334.1,2486.302692,71.05,31.51,45.29,110.38,4359.64,42.97,9,3,4,15.627269127133342
BSE,3,2797,113921.55,77.68,2.27,25.57,113.72,113921.55,0,6,6,3,15.596347730709589
DATAPATTNS,3,3215,10377.061474000002,82.35,23.93,18.32,93.31,18018.86,42.41,4,9,4,17.348453712176557
POWERINDIA,3,24165,30905.410240999994,86.44,23.7,19.75,100.81,107721.89,71.31,3,7,4,14.636659399483076
LUMAXTECH,3,1434,4302.431162,71.64,-3.19,29.93,175.16,9773.81,55.98,9,5,2,15.679145200953425
PASHUPATI,3,988.45,526.464597,77.6,18.52,42.68,59.94,1547.97,65.99,6,3,10,18.435635759429935
PRECWIRE,3,283.15,2249.660772,69.36,20.03,56.05,116.19,5185.94,56.62,11,2,3,16.141195707493033
SHREEJISPG,3,361.95,590.737,70.06,9,41.75,NA,5907.37,90,10,3,3,16.10803811848729
SHRIRAMFIN,3,1003.6,140948.844946,80.72,18.35,60.92,61.99,188888.83,25.38,5,2,9,15.358511929454025
SMSPHARMA,3,368.75,1109.1803799999998,74.84,14.98,26.3,93.2,3472.7,68.06,7,6,4,17.816982668842464
VEDL,3,689.55,117625.49134799998,80.27,26.85,51.75,55.67,269659.54,56.38,5,2,11,18.34088932780885
AEROFLEX,4,234.19,1072.046004,92.76,32.96,30.77,43.93,3104.68,65.47,2,5,15,21.16318154808017
BHARATFORG,4,1675.1,44827.85584899999,74.32,17.42,35.39,61.18,80149.93,44.07,8,4,9,20.601252166959412
BLISSGVS,4,203.34,1389.4885120000001,70.71,40.85,34.3,77.92,2149.58,35.36,10,4,6,20.030270074839475
CCL,4,1022.6,7371.3005379999995,91.36,-0.26,13.14,79.28,13678.42,46.11,2,11,6,19.490404393532472
HAPPYFORGE,4,1217.2,2459.4925,76.63,13.53,31.35,57.65,11439.5,78.5,6,5,10,21.448907184805005
INDSWFTLAB,4,137.34,639.419118,82.74,40.27,29.98,56.75,1122.97,43.06,4,5,11,20.209022604834423
INDIANB,4,870.3,30674.823599999992,74.56,10.26,24.94,77.47,117258.5,73.84,8,7,7,20.632925483064952
JINDALPOLY,4,929.65,1036.68539,94.47,87.98,53.39,38.96,4073.42,74.55,1,2,17,20.91926778850996
KARURVYSYA,4,282.1,26680.859244,67.4,14.97,34.84,81.31,27255.96,2.11,12,4,6,21.501320538341105
KMEW,4,1525.3,1725.362782,67.01,-7.09,31.74,101.28,3720.86,53.63,12,5,4,20.948175967276256
PRIVISCL,4,2845.3,4382.249239999999,70.87,-7.5,21.95,89.47,11122.46,60.6,9,7,5,21.260424329399548
SANSERA,4,1953.4,8489.399835999999,69.32,14.96,39.55,69.76,12158.98,30.18,11,3,7,21.514945240216758
AUBANK,5,884.35,51065.99911000001,72.39,-8.65,23.96,75.87,66139.1,22.79,8,7,7,21.860443053231414
BELRISE,5,176.72,5271.119568,78.33,10.52,19.16,NA,15715.92,66.46,6,8,8,21.57472155442936
CUMMINSIND,5,4649.7,63144.653600000005,85.99,1.08,14.78,64,128866.64,51,3,10,8,21.5236128879449
GRMOVER,5,154.44,1200.981325,69.36,2.75,34.03,69.58,3193.25,62.39,11,4,7,22.277676013737427
JBCHEPHARM,5,2121.8,17447.24787,97.71,18.01,26.34,39.79,34063.35,48.78,1,6,17,24.522946843595555
LAURUSLABS,5,1003.4,39313.776342000005,77.95,-0.88,12.11,74.79,54218.42,27.49,6,12,7,24.571420894647787
NAVINFLUOR,5,6172,23059.946896,75.97,0.81,29.07,49.56,31636.64,27.11,7,5,13,24.765231857647485
RHETAN,5,24.52,741.9290440000001,75.64,-1.05,26.39,59.95,1958.63,62.12,7,6,10,22.49409983801662
SEAMECLTD,5,1323.3,921.234688,82.21,28.83,38.02,39.45,3376.96,72.72,5,3,17,25.226075213886634
SGMART,5,452,3633.11984,85.67,35.27,24.02,47.88,5700.8,36.27,3,7,13,23.241408868912703
TORNTPHARM,5,4390,47097.46567699999,93.57,15.79,24.31,43.65,148619.33,68.31,1,7,15,23.02818011214931
