symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
ACUTAAS,1,2558.6,14109.68286,98.7,54.5,85.2,109.65,20952.9,32.66,1,1,3,5.543402388349028
JAINREC,1,456.5,4164.901897,93.93,14.18,43.53,NA,15770.17,73.59,1,2,2,6.405074432610954
MTARTECH,1,3467.7,7398.005300000002,83.56,46.45,82.65,170.67,10659.95,30.6,3,1,2,6.371947278936109
NATIONALUM,1,386.1,34553.154552,84.52,21.95,80,119.96,70921.91,51.28,3,2,3,7.432763216506256
PFOCUS,1,329.35,10050.694615999999,94.49,36.17,89.96,262.76,25619.92,60.77,1,1,1,3.8494994577227835
VENUSREM,1,820.05,633.7793280000001,80.44,10.59,80.65,173.85,1088.22,41.76,4,2,2,7.195497836559711
CPPLUS,2,1798.3,4887.954426,89.53,20.89,35.16,NA,21169.14,76.91,2,4,4,9.550522117675236
ATLANTAELE,2,1202.55,1175.3659920000005,86.92,35.38,37.92,NA,9233.04,87.27,3,3,3,8.67729058658699
BAJAJCON,2,347.9,2592.304353,76.41,36,47.38,121.24,4545.51,42.97,6,2,3,10.496419292989664
BLISSGVS,2,215.59,1466.7139200000001,79.53,32.74,40.93,83.04,2269.05,35.36,4,3,4,11.284540543866477
CUPID,2,83.1,6046.757269999999,76.56,-18.37,91.21,563.21,11187.34,45.95,6,1,1,7.9727024178668815
POWERINDIA,2,24235,30983.604836,86.88,33.82,33.64,91.53,107994.44,71.31,3,4,4,10.644445694824956
KIRLOSENG,2,1328.9,11406.847188,78.86,8.54,43.52,84.63,19359.89,41.08,5,3,4,11.181607389955802
MCX,2,2389.4,60918.86,82.42,9.72,49.37,124.92,60918.86,0,4,2,3,8.170950958567605
SAKAR,2,498.45,522.80617,78.14,22.35,35.89,135.43,1109.05,52.86,5,4,2,10.942125183275568
SBC,2,30.21,714.0216149999999,87.74,6.64,36.39,139.95,1438.11,50.35,2,3,2,7.9469731469970615
STLTECH,2,176.36,4788.916416,80.86,72.95,45.07,200.75,8619.36,44.44,4,2,1,7.6149498711788794
TDPOWERSYS,2,851.35,9729.251764999999,86.87,21.15,42.28,107.39,13304.05,26.87,3,3,3,8.57097001531136
ATHERENERG,3,754,17048.607156,90.15,3.02,28.41,NA,28827.54,40.86,2,5,5,11.692603489249588
CCL,3,1041.2,7502.916085,89.33,9.85,21.97,87.6,13922.65,46.11,2,6,4,12.202104528249219
