symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
APLAPOLLO,8,2226.4,44336.391902999996,91.99,29.52,38.74,52.01,61810.11,28.27,8,8,15,31.30902736306023
BPCL,8,386,78752.993958,96.29,7.49,25.24,55.36,167488.29,52.98,4,13,14,31.276285897654812
BEL,8,449.05,160380.805046,94.22,9.06,21.56,74.97,328245.61,51.14,7,14,9,30.059977083662346
GRMOVER,8,161,1251.882699,79.5,2.89,31.91,110.1,3328.59,62.39,16,10,4,30.47576210874294
IDBI,8,113.71,6470.128114000008,90.94,13.28,32.73,58.15,122308.66,94.71,9,10,13,32.12266319490159
IMFA,8,1274.9,2848.609539,75.43,-5.43,47.93,107.47,6895.69,58.69,20,5,4,30.128145459788428
JAYNECOIND,8,78.24,3404.21367,76.47,9.27,35.43,135.38,7590.22,55.15,19,9,3,30.732158965215255
JINDALSTEL,8,1261,47975.966402000005,97.79,20.74,33.33,47.18,128587.42,62.69,4,10,17,30.154824176216923
MFSL,8,1856.9,63325.985250000005,96.22,9.09,15.9,82.8,64127.58,1.25,5,19,8,31.524557198744997
PRIVISCL,8,2997.2,4612.2034,78.77,-4.96,35.46,99.44,11706.1,60.6,17,9,5,30.874966054678474
RACLGEAR,8,1425.4,963.801408,74.46,34.18,58.6,102.79,1681.44,42.68,21,4,5,29.84412030374685
SCI,8,268.2,4528.96625,91.35,15.7,26.81,71.97,12493.7,63.75,9,12,10,30.816036457198965
TFCILTD,8,71.75,3195.247185,83.56,-1.69,19.17,143.06,3323.19,3.85,13,16,3,31.736948974645095
ADANIENSOL,9,1023.95,35465.844655,89.79,2.96,34,52.9,123102.55,71.19,10,9,15,33.78614065597178
BGRENERGY,9,326.3,1150.662423,61,-23.9,89.91,276.62,2348.77,51.01,30,1,1,32.25876238336021
CCL,9,1033.75,7435.806868000001,93.22,2.49,18.62,75.09,13798.12,46.11,7,16,9,32.66450151772626
GVPIL,9,471.5,1008.8962000000001,77.38,31.28,39.23,85.78,3211,68.58,18,8,8,33.59249357062628
LGBBROSLTD,9,1928.2,4008.5504460000006,83.41,-1.7,51.67,54.47,6149.97,34.82,13,5,15,32.77826870154295
M&MFIN,9,386.65,25526.662152999997,85.81,3.98,52.25,46.64,53729.03,52.49,12,5,17,33.582682219555124
