symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
DLF,69,687.4,44119.842048000006,30.11,-4.83,-17.78,-16.67,170215.44,74.08,63,75,62,200.500304510277
DOLLAR,69,351.35,552.4318520000002,25.07,-5.64,-7.3,-28.32,1987.88,72.21,69,50,80,199.17397729587043
GATEWAY,69,59.66,2013.3649440000002,24.99,-3.99,-9.84,-25.39,2974.83,32.32,69,56,75,200.37420611918787
GENUSPOWER,69,301.6,5572.433968000001,33.51,-2.33,-16.43,-21.43,9189.37,39.36,59,72,69,200.02655182745332
HONDAPOWER,69,2349.9,793.8139439999999,37.12,-14.23,-21.75,-17.55,2381.68,66.67,55,82,64,201.08352814810755
MEDIASSIST,69,459.45,3261.444186,25.88,-14.42,-12.76,-20.32,3419.78,4.63,68,65,67,200.49947733895223
NUCLEUS,69,915.4,638.1830400000002,29.28,-8.84,-23.67,-10.03,2417.36,73.6,64,85,52,200.95135521760244
SKFINDIA,69,1851.1,4298.992876,26.81,-16.73,-19.92,-11.38,9065.78,52.58,67,79,54,199.36888923267327
ALEMBICLTD,70,101.19,757.3267520000002,30.13,-2.18,-15.54,-23.14,2600.71,70.88,63,70,72,205.46560394864645
CAMLINFINE,70,148.4,1419.338988,15.88,-22.05,-51.34,15.96,2787.39,49.08,79,100,24,202.30355415387265
CAMS,70,740.9,18339.66,29.87,-3.1,-12.46,-27.01,18339.66,0,64,64,78,205.48071921215063
CENTRALBK,70,37.4,3633.325001000002,19.6,-0.61,-5.27,-29.84,33861.37,89.27,75,45,83,202.7496644512157
GOODYEAR,70,848.65,509.03839999999997,16.09,-13.42,-12.46,-15.54,1957.84,74,78,64,60,202.6317279146823
GREAVESCOT,70,191.7,1972.19516,21.68,-10.87,-6.33,-30.91,4461.98,55.8,73,48,84,203.89105748292394
JWL,70,339.75,4623.513292999999,33.44,0.43,-10.85,-32.18,14489.23,68.09,59,58,85,201.9977075565547
"NATCOPHARM",70,903.05,8173.186224000001,31.98,11.96,-9.57,-34.91,16178.12,49.48,61,55,87,203.00073679737437
POWERMECH,70,2291.6,3017.549718,34.53,-16.08,-28.84,-10.83,7241.54,58.33,58,91,53,201.2670567857814
PFS,70,33.5,754.202925,36.44,-4.75,-18.15,-21.97,2154.25,64.99,56,76,70,201.5157477832435
TIMETECHNO,70,188.01,4877.225152,34.47,-15.2,-16.18,-23.82,9282.88,47.46,58,71,73,202.37774431319713
WINDLAS,70,795.05,635.842683,27.36,-15.49,-11.98,-23.64,1672.83,61.99,66,63,73,202.03897241978945
ABB,71,5170,27368.385,24.6,-0.56,-11.8,-25.21,109473.54,75,70,62,75,206.71635161439403
AARTIIND,71,373.9,7839.9467859999995,19.69,-1.5,-21.54,-8.82,13559.23,42.18,75,82,50,206.61668070090238
GILLETTE,71,8362.5,6806.4875,23.23,-12.87,-21.77,-12.46,27225.95,75,71,82,55,208.8858798290826
JINDRILL,71,573.7,590.8247199999998,16.71,-3.31,-9.73,-25.59,1659.62,64.4,77,55,76,208.58628871490788
KCP,71,180.13,1294.732425,17.05,-8.98,-11.66,-22.05,2322.39,44.25,77,61,70,208.96409275520114
OBEROIRLTY,71,1670.6,19615.94504,25.53,4.7,-10.64,-27.73,60730.48,67.7,69,58,79,205.72473475294524
PDSL,71,373.45,2035.8231680000004,23.79,17.4,-7.24,-35.49,5275.52,61.41,70,50,88,208.28076523138864
SANOFICONR,71,4519.9,2985.6474570000005,10.01,-4.82,-15.85,-8.27,10392.09,71.27,87,71,49,207.06902386342273
SOTL,71,383.9,825.5700780000001,30.45,-4.93,-13.67,-27.59,2655.42,68.91,63,67,79,208.25500983049255
SUZLON,71,52.67,63214.225073999994,23.57,-4.55,-19.62,-15.35,71614.62,11.73,71,78,60,208.61888120378492
TANLA,71,525.5,3749.6255440000004,30.16,-23.88,-17.81,-21.82,6965.68,46.17,63,75,70,208.1894758898358
