symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
BAJAJCON,1,395.1,2943.894303,94.72,47.78,68.54,147.53,5162.01,42.97,4,3,3,9.897478584972292
LUMAXTECH,1,1757.4,5276.052316,95.16,14.39,49.6,236.67,11985.58,55.98,4,5,1,10.300152509401084
MTARTECH,1,3806.8,8126.10846,96.35,50.32,172.69,178.45,11709.09,30.6,3,1,2,5.726865195904831
PRECWIRE,1,312.25,2476.4514120000003,95.69,21.96,83.02,131.42,5708.74,56.62,3,2,3,8.474179280561254
SANSERA,1,2342.2,10174.575356,96.26,33.91,84.38,102.93,14572.58,30.18,3,2,5,10.018413886259388
SBC,1,32.24,762.9566550000001,98.61,21.8,68.71,135.84,1536.67,50.35,1,2,3,7.0797537610310615
TDPOWERSYS,1,903.3,10315.783617,95.36,16.26,79.99,185.18,14106.09,26.87,4,2,2,6.92994467486314
ACUTAAS,2,2158.8,11899.71874,96.76,17.49,53.54,94.49,17671.1,32.66,2,4,7,13.134706016201129
ASHOKLEY,2,211.1,60342.672348,96.41,33.51,66.25,87.28,124008.78,51.34,3,3,7,12.895538090482544
BANKINDIA,2,176.05,21347.901014000006,97.2,19.65,59.62,82.28,80194.97,73.38,2,3,8,14.09470216880549
BHARATFORG,2,1911.2,51099.186075,98.34,33.3,72.69,84.05,91362.75,44.07,2,2,8,11.729008470267948
FEDERALBNK,2,299.85,73854.4,98.34,16.26,56.41,67.79,73854.4,0,2,4,11,16.346219391591724
GVT&D,2,3850.2,48302.592800000006,96.66,33.62,38.54,179.48,98576.72,51,3,8,2,11.760142420600657
POWERINDIA,2,25562,32706.551226999996,98.46,15.9,33.76,121.02,113999.83,71.31,1,9,4,14.348150827935115
INDIANB,2,990.5,34910.632487999996,98.18,13.82,51.66,89.9,133450.43,73.84,2,4,7,13.174865526137857
KIRLOSENG,2,1393.2,11911.750344,91.16,23.86,55.07,141,20216.82,41.08,8,4,3,14.703483892046847
SHRIRAMFIN,2,1079.4,151526.782134,94.72,26.74,86.02,77.88,203064.57,25.38,4,1,9,14.923390838020616
THANGAMAYL,2,3959.2,4731.149071999999,92.55,21.67,75.54,106.12,12307.88,61.56,6,2,5,13.24468559522743
