symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
ASIANENE,53,295.35,513.111798,39.63,-19.99,-3.23,-11.81,1314.66,60.97,54,51,56,161.44033869495962
FINEORG,53,4418.6,3384.31,49.72,-5.87,-5.6,-14.71,13537.24,75,43,57,61,161.42520922039972
GRAVITA,53,1823.3,5939.721179999999,40.51,12.57,-0.36,-16.46,13462.65,55.88,53,46,64,162.67226607839746
INDOCO,53,256.15,971.5382400000001,40.09,-3.92,2.18,-18.99,2363.84,58.9,53,41,68,162.60356841357083
INFIBEAM,53,19.27,3917.208708,48.23,23.29,-0.41,-20.86,5385.96,27.27,45,46,71,162.32789620769466
KAYNES,53,5490,17129.34951,41.62,-10.34,-8.19,-5.96,36805.65,53.46,51,63,48,162.46494740565902
OIL,53,413.2,29143.406578000002,50.14,5.87,-3.19,-18.14,67243.67,56.66,43,51,67,161.36009441270295
SHANTIGEAR,53,474,1073.8082490000002,37.49,-15.25,-4.31,-9.44,3636.33,70.47,55,54,53,162.2315886138131
SIYSIL,53,719.7,1064.53292,26.55,17.06,0.17,-6.57,3269.45,67.44,67,45,49,160.93805262358484
SUNTECK,53,423.05,2272.1960900000004,38.22,11.29,1.85,-17.25,6191.27,63.3,55,42,66,162.50533045171932
UTIAMC,53,1141.1,14638.43,40.02,-11.44,-4.13,-11.36,14638.43,0,53,53,56,162.10861231979166
VIPIND,53,377,2689.6360260000006,46.67,-10.05,4.23,-24.63,5350.38,49.73,46,38,77,161.48805363502112
AKZOINDIA,54,3310.8,4564.870127999999,30.86,-2.93,-1.05,-11.36,15095.47,69.76,63,47,56,165.8885731330307
COALINDIA,54,376.15,85412.241921,35.11,0.36,-5.32,-9.41,231657.83,63.13,58,56,53,166.61382861402328
DEEPINDS,54,459.1,1073.561946,32.07,-14.49,6.64,-18.99,2940.46,63.49,61,33,68,162.84270708466522
ENGINERSIN,54,196.84,5389.357932,48.27,-0.76,-14.22,-1.06,11070.99,51.32,45,76,42,162.9908386659577
HEMIPROP,54,138.99,1937.764504,36.41,4.8,4.23,-19.42,3964.33,51.12,56,38,69,163.65309203952637
HOMEFIRST,54,1111,10107.066323000001,40.03,-8.83,-12.85,1.7,11536.43,12.39,53,73,39,165.64357737891993
INFY,54,1560.1,555564.32194,36.17,6.16,-0.17,-15.97,648266.42,14.3,57,45,63,165.3887167901672
KFINTECH,54,1056.3,14047.560516000001,31.77,3.44,-2.08,-8.57,18217.56,22.89,62,49,52,162.97468418818136
LTTS,54,4440.4,12443.967952,32.66,5.14,1.67,-15.42,47100.56,73.58,61,42,62,164.86570807764264
MAZDOCK,54,2679.6,20326.196838000003,40.95,2.94,-22.96,18.53,108233.21,81.22,52,90,22,164.2103619773517
PNBHOUSING,54,905.3,16971.866744000003,40.22,20.13,-13.36,2.48,23585.14,28.04,53,74,38,165.21731867619513
SUVEN,54,172.14,1283.120832,34.73,-19.54,-29.7,35.16,3931.13,67.36,58,96,13,166.75498283634803
ADVENZYMES,55,311.7,1988.3827239999998,34.98,-9.9,2.16,-18.94,3492.68,43.07,58,41,68,167.48347649523708
AEGISLOG,55,763.65,11237.57162,36.01,13.61,-4.17,-12.45,26819.98,58.1,57,53,57,167.43994944892626
AJAXENGG,55,620.8,1420.2479999999998,34.53,-13.69,-4.92,NA,7101.24,80,58,55,55,169.2323865907193
BAJAJHLDNG,55,11499,62115.851652,29.01,-9.95,-14.28,11.35,127968.38,51.46,64,76,28,168.37699074407905
