symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
JGCHEM,14,464.2,527.697702,66.11,52.65,19.75,1819.02,70.99,23,12,18,52.365318539093835
MANAPPURAM,14,261.45,14329.200900000002,83.94,32.33,21.07,22130.04,35.25,10,26,17,53.52984113365562
MARUTI,14,14791,194011.70502,96.45,27.33,19.25,465032.85,58.28,2,32,18,52.57111107173734
SAGCEM,14,254.96,1721.913084,80.61,44.62,10.24,3332.52,48.33,12,16,25,53.94200646986748
SPMLINFRA,14,260.7,1212.568272,66.49,79.13,10.92,1868.94,35.12,22,6,24,52.298877802144084
SWARAJENG,14,4011.6,2333.230704,67.66,50.67,17.81,4873.08,52.12,21,13,19,53.773504493379974
AMBER,15,7267.5,14864.41019,76.74,26.14,62.68,24630.34,39.65,15,34,6,54.90778973680302
CARERATING,15,1563.2,4688.13,60.11,36.55,60.82,4688.13,0,27,23,6,56.1125648928935
DECCANCE,15,1010.4,619.2025,80.08,25.35,56.17,1415.32,56.25,13,35,7,54.58456117025505
DYCL,15,419,646.0796439999999,59.84,40.9,44.43,2030.42,68.18,28,19,8,55.126504229424285
EICHERMOT,15,6103,85252.674298,90.59,26.75,23.03,167391.86,49.07,5,33,16,54.27055742353804
GRSE,15,2351.7,6869.49345,49.68,86.08,29.86,26939.19,74.5,39,5,12,55.20219829432832
KAYNES,15,6123,19055.791384,57.45,51.29,28.8,40997.83,53.52,30,13,13,54.98321115728442
LLOYDSME,15,1288.8,24659.398272000002,63.14,32.78,66.41,67449.12,63.44,25,26,5,56.158857428490045
MOLDTKPAC,15,784.4,1744.256416,77.53,75.34,0.29,2606.48,33.08,14,6,33,53.94339354339846
RALLIS,15,348.3,3042.5888200000004,80.2,64.08,-1.16,6773.35,55.08,13,8,35,56.20559024990379
SOLARINDS,15,13795,33517.13155499999,56.91,52.63,28.58,124831.03,73.15,30,12,13,54.726822157467524
SABTNL,15,1091.05,1128.6481410000001,39.66,150.76,92.39,2768.33,59.23,49,2,4,54.64316268438849
ABSLAMC,16,835.1,6055.402080000001,78.38,37.92,11.63,24105.9,74.88,13,22,24,58.84122082687642
AFFLE,16,1907.6,12072.838499999998,79.93,32.81,16.92,26828.53,55,13,26,20,58.700145879815196
BEL,16,369.4,131933.350178,65.99,39.55,23.42,270023.23,51.14,23,20,15,58.73983850091339
CARYSIL,16,859.75,1434.686845,81.22,74.21,-4.38,2445.35,41.33,12,7,39,56.92639355884508
GOKULAGRO,16,326.35,1267.8105639999999,72.62,33.5,25.91,4815.08,73.67,17,26,14,57.124955306985925
INDIASHLTR,16,942.15,5307.976209000001,82.96,25.49,28.16,10190.01,47.91,10,35,13,58.34798622478395
MARATHON,16,634.75,1886.4124160000001,66.91,65.21,8.66,4279.52,55.92,22,8,27,56.494357606353475
MOTILALOFS,16,857.3,16574.351080000004,64.12,49.13,19.05,51473.14,67.8,24,14,18,56.43343654182607
MUTHOOTFIN,16,2637.8,28222.176775000007,83.97,22.59,34.18,105899.35,73.35,10,38,11,59.190620702485596
PANACEABIO,16,426.8,719.422336,57.14,35.6,90.31,2614.18,72.48,30,23,4,57.41969397949323
POLYCAB,16,7091,39481.664895,83.09,44.56,4.07,106736.05,63.01,10,17,30,56.62621023230372
PRUDENT,16,2803,5186.851001,56.79,67.51,15.08,11606.29,55.31,30,8,21,59.15497424728332
SIMPLEXINF,16,290.25,1431.4176,68.93,27.67,79.78,2236.59,36,20,32,4,56.407851864067815
STYLEBAAZA,17,324.5,1317.929919,57.37,47.7,NA,2421.33,45.57,30,15,15,59.36828224813926
CUMMINSIND,17,3826.2,51970.507399999995,92.07,33.73,2.18,106062.26,51,4,26,31,60.887276892700875
DEEPAKFERT,17,1387.8,9525.237973,56.11,42.22,32.66,17519.29,45.63,31,18,11,60.6296737989221
DCAL,17,264.6,1687.6016639999998,70.44,30.6,30.3,4148.48,59.32,19,29,12,60.179504805947126
INDIANB,17,653.1,23013.009551999996,85.66,29.44,15.12,87970.22,73.84,9,30,21,60.02519141330782
JKLAKSHMI,17,921.15,5816.303988,72.26,35.03,16.92,10839.18,46.34,18,24,20,61.680542058681766
KARURVYSYA,17,214.05,20245.678323,77.79,31.93,15.59,20682.07,2.11,14,27,21,61.83314025042626
LANDMARK,17,603.05,1208.631284,74.82,44.03,3.9,2495.11,51.56,16,17,30,62.771501769320906
METROPOLIS,17,2188.5,5794.882465999999,87.06,35.62,2.28,11338.06,48.89,8,23,31,62.00841069143216
SUBROS,17,872.85,3599.2406100000003,63.75,60.07,10.12,5694.1,36.79,24,9,26,59.2547042946636
TATVA,17,1040.3,680.8877040000001,69.1,48.3,8.38,2433.48,72.02,20,14,27,61.22542594089301
WEBELSOLAR,17,1330.5,4175.860766,48.52,57.32,40.3,5776.54,27.71,40,10,10,59.25100709772767
DEEPINDS,18,536.9,1254.5420159999999,65.64,26.94,42.55,3436.16,63.49,23,33,9,64.71155673888876
GLENMARK,18,1923.9,28965.107435,64.19,44.19,11.1,54292.61,46.65,24,17,24,64.93534630214431
GLOBUSSPR,18,1204.5,1717.9442080000001,72.87,35.03,12.34,3488.92,50.76,17,24,23,64.52824734783592
INDIACEM,18,381.5,2188.3595580000006,88.36,29.23,5.18,11822.58,81.49,7,31,29,66.27521219811487
INDIAGLYCO,18,816.3,1970.8548230000004,55.33,49.76,17.66,5054.77,61.01,32,14,19,65.41437125163611
INDNIPPON,18,800.25,536.3859639999998,83.68,40.72,-0.26,1810.28,70.37,10,19,34,63.451830187444884
IPL,18,211.23,884.97988,72.48,69.79,-5.48,2432.6,63.62,18,7,40,64.8457943930541
KOVAI,18,6343.55,3015.3604800000003,89.62,22.94,17.58,6939.84,56.55,6,38,20,63.07982246140271
MRF,18,140955,43173.85986599999,77.06,37.3,4.54,59781.03,27.78,15,22,29,65.73581868515538
PGHL,18,6370,5094.461657999999,80.33,24.89,22.08,10573.81,51.82,12,36,17,64.82995500713952
SGLTL,18,178.6,1410.560028,60.85,41.39,NA,3562.92,60.41,27,19,19,63.722176639512384
STEELCAS,18,209.7,1167.1879999999999,63.03,25.51,56.4,2122.16,45,25,35,6,66.19571633077057
CAMLINFINE,19,203.65,1947.94809,45.69,36.18,102.21,3827.01,49.1,42,23,3,67.62494156402605
CENTRUM,19,36.26,927.896803,71.08,46.8,0.17,1508.53,38.49,19,15,33,67.34776815467713
DIVGIITTS,19,647.55,781.2678000000001,76.75,35.2,5.69,1980.4,60.55,15,24,29,67.51528756632399
EMCURE,19,1393.4,5833.105281000001,73,47.28,-1.21,26406.09,77.91,17,15,36,67.55549850144948
FLAIR,19,309.6,698.616864,70.91,47.09,0.62,3263.04,78.59,19,15,33,66.99644233385897
INDIGRID,19,164.34,13540.947849,96,17.29,19.41,13715.13,1.27,2,46,18,66.41233365907556
ONESOURCE,19,1892.2,15214.829966000001,67.1,36.87,NA,21670.46,29.79,22,22,22,66.32847389087499
THANGAMAYL,19,2255.4,2696.839328,70.12,32.46,14.34,7010.24,61.53,19,26,22,67.4461534931878
ULTRACEMCO,19,12640,151857.841419,89.42,21.89,11.84,372474.47,59.23,6,40,23,68.87699630689188
UPL,19,715.75,35726.9521,90.18,16.69,24.7,53724.74,33.5,5,48,15,68.15824927412186
UTIAMC,19,1288.5,16516.4,65.01,36.29,12.35,16516.4,0,24,23,23,69.49647629373499
WINDMACHIN,19,324.1,1519.009112,57.66,26.65,59.08,2737.94,44.52,30,33,6,69.00556987397819
BEML,20,3839.4,7377.319986,59.05,54.1,1.08,15988.99,53.86,28,11,33,72.02992574940019
IOLCP,20,90.74,1261.952086,66.43,43.71,2.86,2663.47,52.62,22,17,31,69.90961499495485
JIOFIN,20,311.7,104719.252856,68.8,51.03,-3.11,198031.87,47.12,20,13,37,70.89729176235628
MANINDS,20,382.5,1460.496825,67.67,77.36,-8.01,2571.75,43.21,21,6,44,70.53840260012258
MARICO,20,725.85,38597.169189,81.27,23.5,12.16,94208.37,59.03,12,37,23,71.82537326333282
MINDSPACE,20,422.99,9160.47423,90.98,15.53,24.84,25767.86,64.45,5,50,15,69.8068401437082
OLECTRA,20,1542.2,6326.713302,69.9,45.24,-1.26,12658.49,50.02,20,16,36,71.58597198162576
PFOCUS,20,144.74,1453.0251170000001,62.23,53.26,1.15,4486.03,67.61,26,11,32,69.5634943485769
KALAMANDIR,20,176.24,1054.949676,71.76,35.47,3.31,2702.92,60.97,18,24,30,72.15838607904043
SAMHI,20,211.38,4675.86,67.81,40.19,2.3,4675.86,0,21,19,31,71.53149517270018
SHILPAMED,20,846.25,4616.107368,66.8,35.95,10.27,8275.56,44.22,22,23,25,70.44842477285499
TECHNOE,20,1512.7,7578.909312,69.97,61.36,-7.49,17592.64,56.92,20,9,43,71.05074559532457
APOLLOHOSP,21,7610,77316.25679199999,81.25,22.98,9.85,109420.12,29.34,12,38,26,75.12210563043386
BLISSGVS,21,155.7,1060.46256,58.95,29.39,24.31,1642.6,35.44,29,30,15,74.04965723240866
INDIGO,21,5646,123220.18411799999,76.1,22.77,16.89,218243.33,43.54,16,38,20,73.54850015469349
ITDCEM,21,708.1,3958.256712000001,50.59,35.83,27.71,12164.28,67.46,37,23,13,73.39530261088979
M&M,21,3199.5,324540.152685,78.3,22.43,14.05,397867.05,18.43,14,39,22,74.34476179702487
MASFIN,21,310.1,1877.6865190000003,69.05,33.9,6.84,5626.87,66.63,20,25,28,73.65120112333364
"NAVINFLUOR",21,4687.5,17496.662673000003,66.87,20.18,42.11,24010.79,27.13,22,42,9,73.51723094578368
POWERMECH,21,3003.9,3962.2401839999993,75.29,63.71,-11.37,9497.22,58.28,16,8,49,72.85535619934697
SHREDIGCEM,21,97.22,651.803306,77.55,39.18,-3.14,1437.59,54.66,14,21,38,72.63310811915896
SHYAMMETL,21,905.3,6421.058720999999,74.33,25.03,13.54,25269.81,74.59,17,36,22,74.75975699039628
TEGA,21,1846.9,3096.68688,57.3,45.39,8.19,12288.44,74.8,30,16,27,72.8315016012252
TIMETECHNO,21,456.8,5015.128856,72.58,26.28,14.06,10366.12,51.62,17,34,22,73.16297316102161
DBREALTY,21,168.94,4788.769524,57.75,60.47,-1.1,9109.32,47.43,30,9,35,73.49266881238566
ASKAUTOLTD,22,481.95,2000.021545,67.05,34.87,4.41,9501.29,78.95,22,24,29,75.37151252517461
CUB,22,196.05,14527.46,59.18,33.33,14.86,14527.46,0,28,26,21,75.44612140735178
COFORGE,22,1724.3,57682.03,65.49,19.54,35.9,57682.03,0,23,43,10,77.05076302957531
LALPATHLAB,22,3308.9,12809.633807999999,74.64,38.64,-3.17,27720.48,53.79,16,21,38,75.2865230516004
GILLETTE,22,10095,8224.9025,65.55,29.7,13.61,32899.61,75,23,30,22,75.38905813930774
HINDWAREAP,22,310.25,1226.4584380000001,73.61,60.46,-12.08,2595.13,52.74,17,9,50,76.16884623195298
INTELLECT,22,977.2,9529.19427,60.31,50.92,-1.59,13587.9,29.87,27,13,36,76.29391920593405
KPIL,22,1249,14179.844951999998,70.53,47.99,-7.31,21329.49,33.52,19,14,43,76.21209248716679
NSIL,22,6691.5,1526.419034,41.21,39.08,46.36,3439.43,55.62,47,21,8,75.84917714879695
SBFC,22,105.6,5384.203225,65.26,23.01,25.15,11502.25,53.19,23,38,14,75.56632335390006
SCHNEIDER,22,857.1,5123.315,63.24,38.42,3.31,20493.26,75,25,21,30,76.5562572036961
UNIVCABLES,22,711.95,941.3703539999999,66.2,42.03,-0.31,2470.14,61.89,23,18,34,75.13772859312525
ASIANENE,23,369.15,645.107355,69.61,47.87,-9.69,1652.85,60.97,20,15,45,79.82481377721503
AVALON,23,830.7,3066.2404199999996,58.35,19.6,59.4,5534.73,44.6,29,43,6,78.20413639240262
DODLA,23,1362.7,3313.8326970000007,71.17,28.64,6.76,8220.87,59.69,19,31,28,77.7983534116841
MEDANTA,23,1374,24738.770595000005,84.17,13.58,21.09,36929.05,33.01,9,54,17,80.25494899885376
HDFCLIFE,23,772.05,82739.713276,79.4,25.23,4.51,166411.33,50.28,13,35,29,77.74590539301003
JSL,23,762.95,24448.455499999996,82.63,28.37,-3.84,62849.5,61.1,11,31,38,79.8061681016134
LTFOODS,23,421.35,7169.435,57.79,31.88,11.06,14631.5,51,29,27,24,80.4418140684295
NORTHARC,23,236.15,3814.75,45.19,42.06,NA,3814.75,0,43,18,18,79.15504307566079
RAMCOSYS,23,420.35,735.483882,59.43,39.33,3.46,1570.54,53.17,28,21,30,78.99095690525809
SOUTHBANK,23,29.27,7658.58,70.44,24.45,14.2,7658.58,0,19,36,22,77.28621587941088
TARIL,23,490.2,5244.115932,54.44,25.84,31.69,14714.13,64.36,33,34,12,79.42665870710776
RAMCOCEM,23,1046.8,14210.309205,61.45,23.66,25.93,24735.09,42.55,26,37,14,77.26964062046397
AUBANK,24,718.05,41307.290395000004,66.1,30.95,4.26,53541.53,22.85,23,28,30,80.68177086101802
DMART,24,4755.6,78448.77416999999,66.05,39.53,-3.49,309462.62,74.65,23,20,38,81.16850271474567
BHARTIARTL,24,1888.8,552677.4142499999,70.65,19.9,18.86,1133697.26,51.25,19,43,18,80.52053107340012
CIGNITITEC,24,1629.4,2001.6845040000003,62.92,24.24,18.09,4464.06,55.16,25,36,19,80.44701129239704
